STNAME,2009_R1A,2009_R1B,2009_R1C,2009_R1D,2009_R1E,2009_R1F,2009_R1G,2009_R1H,2009_R1I,2009_R1J,2009_R1K,2009_R1L,2009_R1M,2009_R1N,2009_R2,2009_R3,2009_R4A,2009_R4B,2009_R4C,2009_R4D,2009_R5
alabama,,,1043596176,501397938,4025811,727973,,68802,47466026,128942617,168944599,368894988,1263362,,30943176,4166017520,19495654,736281511,491591,21321839,547045259
alaska,,,227279320,193353620,161223,134678,,,7526907,12871329,9744450,37419624,,,,1459658387,50379738,143752223,3437508,117379668,
arizona,3168999325,,,34369753,644637,23657622,237818,487284,60631080,123876903,108331565,490117177,836809,6974163,4663469,4628420749,21041552,972282218,828241,170047375,868252078
arkansas,1317525203,2681742,,3219282,8260554,3121194,91111,541642,31544938,57429696,79368856,79353610,26755,329044,3316329,2684309152,21082147,520346263,,15071643,332534433
california,16285388529,661263714,168400,,214551,275869794,21910215,41645158,740707049,505645480,,2680531436,,,,40605912598,412582827,8528137643,16087558,228462125,8605025483
colorado,3302064394,44032221,,,68195551,4583483,5871364,181650,53522994,99097620,149060112,363488354,3071533,2992506,13979336,3670240349,58312133,507664156,,12256372,835709231
connecticut,,,5411897457,,4159198,190449803,,10899175,416602,121415088,,50150839,,712039,,3842177218,35386603,391165513,,14274063,654727320
delaware,435192051,,,,,58422520,,,8725543,17943925,829140,55105523,,,,1094909162,9351801,131115360,,1960683,150990242
district of columbia,,,307126725,1121605882,804530,,61700,,1290094,3054380,6435882,34412124,2203,489250,,,5405272,102684144,8023846,59618277,4757580
florida,12467922670,,,,367936,,12185715,6907863,162818383,355542363,597407694,981734264,1944267,,,9047588162,204221483,2443132772,,47224507,1099240007
georgia,5941227031,1605889910,158421469,,22951252,4394014,3223852,,112571303,224069910,224666057,251879266,50128,3528012,,7780724578,36218773,1576912758,,75142776,452212196
hawaii,,,,,,,,,,22093578,676468,66725764,,1745305,,2205031512,100748834,156472928,,48328268,57278730
idaho,411165731,2908127,,,3525032,338248,1144846,,16974083,31076566,2109221,35908560,,,,1509815356,15996555,207399324,,5760273,156001590
illinois,13799480937,734577230,,,21063720,429126416,7174034,24205491,339837345,276531431,83298202,657510938,100343093,21403573,,7324749806,121725711,2987225563,,37789296,2216281349
indiana,4391143728,2761231,403786328,99420645,9416260,16621193,330800,3548810,25880562,206988262,63296673,893586677,61368572,,14061800,4964927860,13915591,1334534685,5530239,78832464,258677095
iowa,1686819803,545865936,,,8738114,201679223,2286514,1623564,36179389,115867443,8116025,111209890,10913647,1386134,3283289,2545360499,22138493,400681917,8105520,12901034,939627451
kansas,1506566732,,,,4016077,282874845,479505,,28105584,92383200,10765686,218572416,11315850,1874281,103415803,3323345959,8067845,431541904,,13997832,935111250
kentucky,1454252093,400621639,,32443586,4114193,927110,1918,44262,34540451,111197754,986423,68152951,1275726,,40756,3802149543,38861236,675724104,11979905,4785829,753577443
louisiana,1201567764,1604628310,,,13302068,2544603,39122,413033,70308634,51785299,,150961505,585587,2483831,,3740261661,60950071,1184506164,,18600992,1220466079
maine,521472335,42145,611290651,335697,5157188,59903673,71578,2209135,3091353,37429526,1304668,20423549,117131,197561,1831201,1127032407,16063173,224423284,3161587,2070502,102089345
maryland,,,3176195697,3116914598,14827855,6397005,1817087,,9681797,125065154,160019390,95561770,,3842530,,5698735025,23887789,601314529,42407619,27236775,166084078
massachusetts,,,7205304657,,3332962,180825324,991974,,4409686,151206731,33145616,375490589,,16145859,,6036201749,43839799,1130301064,85863016,16245939,1645929
michigan,5481638516,11337171,884704,12640918,28379182,50226972,13383191,41338607,116444835,218180080,62927378,468956429,,1726291,10504982,10904986731,96424649,2023619561,93965924,39634365,980296553
minnesota,1801168483,,,,93563668,176212891,2295934,,136686206,199809766,30284771,578020470,,,153577466,6914839399,53620121,559310876,,19125685,1307608959
mississippi,1053179922,1901827,,16774926,3034019,4381899,772765,608389,38136099,58407214,52888032,120096510,,1074357,4108846,2334355424,40550217,626153148,,9268593,15337589
missouri,4461471421,562150504,,,24311519,71280545,651562,5134058,143630198,158542647,172858463,217564280,,,41947077,3425715950,57034971,776874385,,,651024243
montana,387229202,3215119,,,1767862,1923093,134864,556631,14279073,20659095,36069693,25880684,191960,461783,132199601,774091367,13142326,134598098,,51276447,31159687
nebraska,1701528821,23121718,,,1271662,3212633,41523,22882,17430074,70517728,80831613,44194250,,547825,22325174,1213317455,26930525,240721988,4657655,8356056,178518258
nevada,1449300986,934070224,,1928470,7154484,604031,469220,,83494913,36465920,83647741,55431031,,2171041,,1362122996,13083922,411505311,541628,9353021,267630775
new hampshire,1256775286,,227120370,,4734886,99503362,275448,179477,3019329,43226882,1060350,29395760,303326,635309,,1003249445,3245807,143116284,207342,748847,47396183
new jersey,12868317081,309614,,,9412842,755398921,4077247,204584108,19703203,273663280,273957406,286028335,14839,561387,581796,10558101458,18569366,1009812670,,12350954,647239551
new mexico,442388505,,,,2907690,,,,23452429,27520408,22320157,51807202,12280,573919,4169633,2675916432,173488724,387201392,133766,8223564,564297629
new york,15471277406,279074005,8815469382,,32237740,307132596,,3017799,170220857,310224886,14520379,1606162252,232100,3783867,288013790,25346556089,30957995,3156118708,,33340262,315627796
north carolina,,,2751449716,173633983,5380399,,,,21997730,278426420,,284759647,,,,8401248921,138760221,1259749365,,7539512,1105624587
north dakota,426615381,6366940,,1531397,599077,40030641,175243,38004,7679897,23619459,22985939,23881913,,198422,19336418,408004228,38766404,116336777,5957462,423753,4281362
ohio,8411115780,364410049,,,103553770,628431853,7225945,1078222,230623994,305735336,255566276,561518562,12847066,6963286,93064681,10297734842,68693279,1578076899,33529987,5316528,1996563132
oklahoma,1356941703,,,59567408,20312739,2487407,2109164,,31034961,82518419,148342646,99701183,437427,1481260,113931116,3042487056,81990097,636776754,15922134,36056021,485494097
oregon,1831814676,1505337,5842389,,9985707,6584140,1013440,477867,63216450,55533582,79542537,238283353,320252,791428,69507512,3117302545,28324245,588167881,7885197,46169813,920694055
pennsylvania,10437513977,2253178604,,,52108499,1745164259,,3660566,168398699,330595001,13052411,579345237,,4730716,4776006,9920339714,99566162,1750092577,17007642,1367124,250257938
rhode island,,,1163573920,,909544,20714477,136654,455239,777210,19000335,657748,13179549,37104,772339,,817589803,4657046,207736965,,3120315,148043452
south carolina,1626602913,58510405,858377117,143887403,7401973,13932469,481946,103171,123919424,95260149,141218192,200862671,,2241224,1994699,3679907003,3531658,698502482,,60262846,781249315
south dakota,515511861,,,20063273,834490,848433,120450,35651,9267930,27865032,5988244,34661944,,1804142,12242041,410178842,53060186,145034388,1533754,3725298,82037157
tennessee,,,1677864727,1090810981,5719948,348274,162267,515381,15145965,177061209,259737635,311826702,,995555,,3809467432,67457259,838218495,112800,29346895,467798360
texas,19519789748,261203335,,,67924384,14275116,,,501166569,659550016,216529045,663243454,,,84764328,19973128668,203720212,4631414563,70003969,109681125,6651038612
utah,1156660171,108261429,,,114308962,901279,1537963,1095336,45457740,69238100,2426465,90681262,1398178,,,2387698266,26967681,521751559,9954047,6348536,332796358
vermont,1298216,2883598,732146,,2307987,125303700,6602,2916217,7522782,19444169,1096071,86570073,140,59750,,1346299966,5383671,95538320,105026,1757946,24986832
virginia,,,3908139480,3324776391,24657490,332990099,3072425,,22096530,253143661,,201015715,330293,9039603,,6303648271,64192874,798365356,,51965561,1048344053
washington,2723519240,656976,9176506,677201,67321051,96007149,1578647,3356508,84016856,119880021,121018481,241132795,,2688953,,7146394356,130483927,1196036995,38635093,20293064,807924034
west virginia,864307190,15526311,497076,4470511,1766757,529803,361,442474,10927279,26191184,1914233,47821465,137778,302757,2483985,1938999399,11472042,351242381,376559,2947494,173226511
wisconsin,4277159869,,31753816,,3087666,200550080,,1023410,38393888,175803713,58252308,131114145,2850083,2055551,,4809185063,59685420,1190434767,19480712,32848165,680073435
wyoming,411981420,4214943,,,107549,1581286,26529,,10729886,17918795,1200498,13080428,,90297,160744302,945166746,140882,97629709,,12863594,53333125
