STNAME,2008_R1A,2008_R1B,2008_R1C,2008_R1D,2008_R1E,2008_R1F,2008_R1G,2008_R1H,2008_R1I,2008_R1J,2008_R1K,2008_R1L,2008_R1M,2008_R1N,2008_R2,2008_R3,2008_R4A,2008_R4B,2008_R4C,2008_R4D,2008_R5
alabama,,,1008349501,521992210,4472406,857859,,65547,100677170,140198902,170649308,323567193,1271119,,19327842,4658854378,19043053,702466104,227284,22645757,259009303
alaska,,,204158329,188533620,228576,49614,,,17421375,12298977,9839048,33378846,,,,1517297244,43583090,136059487,2247043,124173173,
arizona,3044518935,,,40212134,689620,23288205,149629,566006,93197609,129373526,111014030,440952579,1044425,5821945,5786803,5318990801,19120939,901612051,885721,170471258,858264025
arkansas,1239857080,1132351,,2203046,8008882,2468600,73462,572812,52563575,55772763,78450054,77456532,43615,386864,2569492,2649410718,17399690,475462814,156417,13105329,331329168
california,15501564240,545474779,168400,,306800,269251711,23228644,37828861,1448680619,537297927,,2824140093,,,,43660964040,409832956,6016244216,16322879,239798344,8646186603
colorado,3225502425,35437616,,,56059445,4882506,5645378,172758,141276020,99800848,154953510,388629174,2702902,3172385,17267086,3423454123,56198075,491351519,,12160616,1073178761
connecticut,,,5130008260,,4330121,178218992,,13366619,1300687,120225255,,43741203,,761347,,3743349955,34129655,372046684,,14171783,738845470
delaware,422756736,,,,,61716590,,,16621469,17241090,1048218,51127594,,,,1048770532,,131330006,,1661484,201281810
district of columbia,,,345498271,855718609,506804,,126236,,17958,936056,5318908,,508517,143874,,,349660,135246955,17736324,1939706,
florida,12602203590,,,,313785,,12564724,6142914,513545572,371543031,778673846,1122646801,2173123,,,11389950872,161240210,2318979400,,47354088,2100515689
georgia,5704872829,1828480320,150195991,,22669395,9357811,1240527,,279954935,226917043,244530673,236159340,51413,4107719,,8476711434,28151764,1390187975,,77113669,1175499994
hawaii,,,,,,,,,,23053043,1394034,50824788,,1386456,,2110692806,188096909,72662939,,49972280,81482576
idaho,378353123,2748834,,,4361660,260018,1005299,,43937626,30718984,2080600,36614321,,,,1454112171,16530490,192124250,,4867369,230227273
illinois,13030161244,853132911,,,19625188,422731054,6895543,20922246,566093230,275104063,87534928,544551051,97172991,17032194,,7929343471,115121536,1842638516,,42551745,4266284401
indiana,3164849007,320022713,81677777,35188861,19885664,16106548,96352,1320631,111311099,206467060,70567188,757401721,63302897,2044482,8015750,6578455448,13650976,733188058,,129775697,382390799
iowa,1592649898,518638051,,,7526982,195992631,2004224,1204477,71209718,108066710,9914149,103284310,10685870,1552318,3482739,2465113035,21088649,367749595,2971750,11588905,583957390
kansas,1433752624,,,,4051146,265410958,4647775,,63444699,89302853,10742140,194326413,10639585,2513052,102371994,3176569694,8904357,415531719,,11273439,432870000
kentucky,1395140766,400169426,,28345049,4831116,926832,188,55165,77117036,111032589,909122,72205689,1275304,,142000,3759235003,35969536,658117175,11484381,5293825,792363431
louisiana,1082080467,1582255941,,,13530873,1836967,20938,830660,132690148,50345231,,156907038,200910,2516139,,3523670283,57558299,1242256753,,17096508,1289459309
maine,484486996,37101,637275624,299258,5685802,61320445,47576,2104658,5519913,38695321,1385440,23737397,110097,188231,1726336,1168948957,12799149,212044158,2593115,5982420,115512644
maryland,,,3239141322,3178685394,12141900,6622287,2006577,,35304821,130314626,172894354,92356845,,4030295,,5502429811,21766147,616829001,53669436,22447556,100278598
massachusetts,,,7072846424,,3255219,179572144,573585,,9757871,153619147,30527056,366769832,,7022884,,6127024008,44960999,689153126,78635381,18791922,1384413
michigan,5675456287,11487786,1022937,10785562,32192933,49467262,11270649,40009969,282917243,225595547,62298227,473572294,,2023716,11314977,11287552834,64120078,1343047331,93041071,32355484,1897955073
minnesota,1666460551,,,,89429580,211752118,2410258,,203786837,197390145,30217370,562857088,,,149965861,6783079148,52624202,537793612,,17639988,1103492515
mississippi,982600977,1997799,,15815057,3352197,4160455,779774,582836,51327217,55994144,53667605,122292875,,822189,1641059,2389463687,33859303,664635568,,9766705,13768651
missouri,4362708610,577740225,,,23574434,68193078,987527,4683800,251949143,154556054,170700154,198164256,,,44107777,3292455928,49175570,750810419,,,778256756
montana,357783666,2902422,,,1845854,2116770,123333,484758,24924555,20771454,37419639,26173986,197061,458516,122553242,774708113,12668099,126583358,,49977814,86080226
nebraska,1630441815,21567338,,,918633,2140563,38675,27661,39247628,66147970,77675666,41462099,,553545,21122163,1089025633,27939956,257371413,5890729,7458319,253122274
nevada,1283257556,1152710419,,947954,6516861,541051,435351,,113725960,39365447,86448975,44631293,,2482444,,1344110544,15381366,265735986,528158,7987389,1690389663
new hampshire,1169816127,,207129850,,5098645,102497688,230986,158934,12624988,44083493,1104428,27036661,274347,592113,,1009290767,2414245,133367425,85044,649120,23179046
new jersey,12512768709,13179,,557858,30102423,696650421,3671978,207100678,53323675,247331019,247848195,333872873,14564,427220,197227,10472031230,16900359,963907924,,9389361,621114041
new mexico,406998274,,,,2879299,,,,65908490,26898201,21345112,43981181,8280,679134,2337147,2587683230,159471377,329950462,7368,7459398,328593411
new york,14765652237,281915788,8469773305,,31558193,295720581,,3289020,388598778,307145680,13976276,1414501149,210311,3782233,284134525,23641251326,25353548,3101119925,,37275409,311859248
north carolina,,,2306097995,139846115,5173461,345246434,,,38113979,262633884,,269472550,,,,8158250955,80682411,1151200971,,15259133,1040250819
north dakota,413116771,6247437,,1452570,577031,36686748,313442,44903,12325836,22037167,23759597,31162406,,188599,16547602,383230972,37624969,100452952,7212044,476807,4373293
ohio,8590872132,349604865,,,101716392,579142024,8001351,1541844,456267244,312578009,257461625,559313657,12818209,7291346,89403969,10392394987,63276070,1554896254,35467117,4674073,1466699036
oklahoma,1303927756,,,31858700,18939059,2147913,2024149,,60519687,78875211,147457938,102207952,462996,1864958,114101851,2973756707,83955781,516389445,15981933,30090223,405185257
oregon,1761032147,1913302,8569112,,9461483,7293370,1078586,624458,143386890,60027188,82673250,213333111,360907,496515,81714483,3200000765,27902075,470708667,8283259,47550465,419980254
pennsylvania,10476322248,2282766637,,,56664577,1655929075,,2401256,337825922,328335976,13248706,549319285,,5395787,5384002,9122495763,90059824,1685785010,17287891,2499956,242608391
rhode island,,,1124285136,,1092592,17612889,84096,515889,1770568,20085106,425913,14293051,2920,730446,,887762002,3808457,166596829,,2637995,173565366
south carolina,1511081283,49112100,792441363,141378013,6812809,13458939,403219,111194,187955775,94719377,144471959,176214585,,2163620,1613319,3949713306,4357684,656612359,,54721737,564288805
south dakota,501752992,,,18872270,668134,824733,117515,19773,18087816,26812652,5957493,25472158,,1760065,13224932,409679904,58251007,121038998,1821978,3437415,90184878
tennessee,,,1683742595,1132347884,5499684,294470,141357,436130,37922820,179555750,267939550,305747138,,1150759,,3752492655,34406754,810204308,42900,19147152,659755141
texas,17653716994,277364359,,,68584361,13883653,,,1101940839,655499641,212932749,555633413,,,77047784,20400120483,183285488,4211016733,71810566,105768555,8632127037
utah,1087987917,112881748,,,117484035,830602,1658448,537902,87474910,67120363,2221945,85294088,1250860,,,2490823491,21701003,314326661,3933552,2204801,730455691
vermont,1366691,2504190,656573,,1869889,396117245,13927,3516200,16527823,18393568,922186,75906693,,96231,,1291689773,5095298,87724444,144574,1659838,14990129
virginia,,,3718937541,3434318649,24705125,317747450,2721834,,46698701,247281153,,193145336,328919,10590947,,5951316820,60152879,783742435,,53531249,807461201
