STNAME,2006_R1A,2006_R1B,2006_R1C,2006_R1D,2006_R1E,2006_R1F,2006_R1G,2006_R1H,2006_R1I,2006_R1J,2006_R1K,2006_R1L,2006_R1M,2006_R1N,2006_R2,2006_R3,2006_R4A,2006_R4B,2006_R4C,2006_R4D,2006_R5
south carolina,1527059351,27063668,774227558,117274817,5348610,12710752,306767,32703,117074349,89620177,136634314,192138710,,2469543,1341607,3033281183,3824994,622482009,,56111762,2273746904
south dakota,460891253,,,17126681,307838,688584,111418,17328,11800387,24778766,5796260,17692191,,1586737,11870720,361530800,55306348,120505112,1741502,2974642,59053442
tennessee,,,1581389730,1071440006,5332952,741241,125312,411067,28320956,173967915,258291109,265319341,,1094646,,3105334373,28994089,770622656,19539,17078745,544245167
texas,18796472030,282526250,,,82277869,24233291,,,890196392,602281979,178345606,592502844,,,72164064,13421855212,191272389,4397165876,84698798,99676235,4766117630
utah,900622193,103024074,,,11603866,1080288,1669027,1041755,50415814,58993396,1003179,85081546,1622943,,,1897355305,22374495,300586709,2677178,4658543,183171298
vermont,1166703,1903765,433459,,1743716,386878192,31306,2632204,10387150,18428064,762284,57303874,,114415,,1154694040,8305045,91573603,229965,1758975,24212209
virginia,,,3025448260,3231412533,22826214,265461678,1876744,,252293779,229942126,,167895785,995983,9909316,,5112422687,65992049,754282638,,46718709,775528594
washington,2263610041,1850373,9911558,798815,55688392,73231902,5171053,4030629,135718816,119325718,123165615,229205730,,3960485,,5933610143,125785631,707593619,29290015,15253125,1564663830
west virginia,705333480,7858291,561381,625254,1700914,159035,787,107907,21453615,24512116,1731835,54110423,176425,274442,2727936,1739375653,10981109,333601828,2797155,3082398,148875793
wisconsin,3594860180,,21575666,,4547940,143400217,,816907,78158239,168300020,52206064,129640843,2430907,2053241,,5086692416,16260466,527975508,15331953,26918158,699849477
wyoming,349664475,6920015,,,97659,1393242,27226,,18274231,14287182,1309146,12457793,,108850,122690395,507043408,105454,103005923,,13162893,39531369
