STNAME,2006_R1A,2006_R1B,2006_R1C,2006_R1D,2006_R1E,2006_R1F,2006_R1G,2006_R1H,2006_R1I,2006_R1J,2006_R1K,2006_R1L,2006_R1M,2006_R1N,2006_R2,2006_R3,2006_R4A,2006_R4B,2006_R4C,2006_R4D,2006_R5
alabama,,,837722644,507421446,3563199,902980,,86597,80153773,129652208,162052015,233545389,1945426,,84058553,3547078153,18646756,722134379,320732,17738068,580959698
alaska,,,169308873,180834960,,,,,11988478,12186450,6943996,34964440,,,,1005181375,45529754,137031654,2109687,106521415,
arizona,2610582721,,,40960642,580878,21656088,129949,403161,59366011,117771588,99618284,380943727,877800,6064136,204055366,4272319972,18931770,835576202,596874,185144404,665225931
arkansas,1094994437,1245972,1520969,792048,4678927,2982173,60826,135367,45949378,54430437,83205566,73396000,46094,392402,3773441,2432919630,29364086,455589818,104272,41798,248061055
california,13875619650,450091925,168400,,199551,216962720,23243683,36124922,1056239256,573634361,,3069683317,,,,37847078336,399317041,6256207122,21089540,213299345,9846494050
colorado,2828139818,71445787,,,47598986,5266907,5184240,111686,106929973,94630866,141872958,327321769,2950071,3460933,19398046,3089571355,54407135,466552838,,10010277,612260974
connecticut,,,4771725433,,3053979,160635678,,9311737,1146385,126561878,,39501614,,551496,,3351643794,41257086,360438755,,15933361,750226442
delaware,355448768,,,,,47385484,,,9687604,16674931,811086,53981943,,,,969854219,,125194405,,1745666,193814336
district of columbia,,,228167996,815773094,557725,,233388,,45624,988870,7686766,,719954,218977,,,384278,125898200,18942952,1472874,
florida,9914711981,,,,338296,,10111304,4953368,403759340,360923200,467833193,1358847620,2332975,,,9795679424,161702458,2298309425,,42257795,3203217955
georgia,4876837311,1618500584,132094835,,20664992,8055368,,,186809638,214256224,246463559,172627386,18654,5880615,,7155590663,26364552,1357777583,,103572473,715167368
hawaii,,,1817682,,,,,,,20563864,750563,22671402,,2599748,,2431734896,140137838,35275685,,48166060,36536672
idaho,543730597,4107381,,,1671144,223936,718216,,19830760,28857058,2227183,28137071,,,,1073734322,19864390,182993681,,3559464,395570105
illinois,11732704185,740142328,,,17196971,380998013,7145541,16881433,375050197,259226550,87089111,531305920,93258369,15265594,,6619662786,105290092,1703373995,,58235663,2687745779
indiana,3656477762,464869884,,,9191937,20312451,,1948307,104852269,199067852,17767531,345884302,64049292,3621923,69715810,5504584843,12150560,663376524,,95702926,784983467
iowa,1479264688,404154862,,,7189196,171185725,2111557,1303636,56899871,102541330,10566033,92114616,10300056,1783685,2576761,2158230098,26666839,357387544,13115722,10031121,776765098
kansas,1264570805,,,,6667267,165933254,4741004,,49322328,85277271,10306350,142851566,11765103,191723,111495576,2692219273,9713576,423038496,,11582647,404905000
kentucky,1214766002,356098725,,22497352,4912422,700048,7079,946860,64383587,104743051,799484,65486992,1415316,,22894,3383793017,39367538,636487958,8119901,7029015,651771338
louisiana,907314320,1442904264,,,10615120,1622900,377169,235052,98596480,41853409,,72963218,95771,2202057,,2933287059,74639652,1159868767,,15996260,1284905282
maine,1066044224,,,,3840533,76002821,,1562456,3992975,38471078,920496,20076256,,167117,,1004898659,5420973,221972191,343887,6003984,66074570
maryland,,,2664868066,2615130480,12876475,6683926,1762218,,25637961,124088739,163235224,216141800,,4448412,,4189323306,29743036,604273187,9830823,19356686,193353270
massachusetts,,,6112905021,,2450912,174867730,1502144,,9131525,169261500,26456944,329231498,,9120400,,6507611736,46342864,709625605,,16336338,1129702
michigan,5103408554,8402771,1583433,8417155,32581289,48915073,10435018,72470365,249397405,233864393,62070212,435617382,,2133523,10806224,11259665575,53403143,1386889845,77694093,42422853,2868270254
minnesota,1052819314,,,,74704695,305386165,2390545,,160295025,188841545,30424559,423946465,,,118949629,6543837574,47781838,531557053,,15835843,1474499578
mississippi,913882250,2252692,,14133525,3099558,4690298,480660,517126,37705504,46459459,53151820,94174460,,1244823,305540,2108727194,30477261,818013180,,8236848,10857947
missouri,3845474026,525403870,,,23440318,64391332,622355,3804927,205445885,147365700,166313091,176253911,,,41004381,2982806225,57936210,736381375,,,1085502128
montana,338798395,3488093,,,1927865,2267060,193566,449113,17138085,17132452,34206364,21412990,212885,528855,111033454,633922831,15529023,132309611,,44726357,48783173
nebraska,1490551048,19108199,,,3386024,2913690,18422,22596,31301583,61605798,74126250,27653374,,806016,19467697,946683011,31056720,252273377,6241593,7746723,362447157
nevada,1047562089,1185180848,,251690,2824712,314070,447110,,70794697,37996833,80050778,47359715,,1995215,,958743167,19963426,235512131,23753,8261608,829254574
new hampshire,1020914475,,195082434,,4718738,96133273,263080,165324,16979912,42220888,1183249,24952300,249025,559132,,926256143,6918437,122932576,83658,650089,115621406
new jersey,11257739938,,,94330,37804292,650594580,2461573,188498775,46851241,253158916,194733749,360819786,181189,804498,632025,9642529539,10067454,985926637,,5819118,841357664
new mexico,324431517,,,,4777997,,,,35022415,28646929,17770153,39622246,3280,878656,,2241202835,133122722,315907609,,7365327,154007981
new york,13313276758,271045369,7892380017,,31572895,274668845,,5314328,336831617,300072891,13189528,1134051060,209430,3650667,236824896,19859480902,22403888,3313356089,,48105899,627452964
north carolina,,,2282428834,183025982,5074170,1218220,,,28193609,252644386,,217631822,,2286524,,6966132759,83374231,1101462390,,14855582,720221058
north dakota,361292262,7405872,,1219811,319539,41131008,285887,113243,9896621,20572741,23205607,22049331,,173594,13359537,347093337,40201070,101560854,9006353,466316,5684096
ohio,8364396472,239313223,,,98138510,420323982,6110742,2892349,348300072,307099123,256051481,575807358,12705024,4541336,73372934,9217115327,62749763,1505971847,30266062,4486275,1496806423
oklahoma,1104772721,,,32742539,15807502,3167020,,,53121325,73702867,139082123,92542569,520182,2408777,103748447,2591377221,74499944,524290288,26048122,24881097,345601314
oregon,1540678594,1653694,11569415,,7501459,6910436,912045,927667,83409827,56461574,77117486,218777835,333243,868803,161549226,2737046012,25519383,454073210,6511655,43602056,284171499
pennsylvania,9449637341,2226231014,,,73799446,1477149500,,3614976,265502588,326959017,13626568,449724932,,4234330,5933889,8028829439,97569683,1691923006,48289279,1726246,300648466
rhode island,,,1011993464,,919722,15651416,45090,160582,968076,21236829,406496,13572634,39377,608927,,840434632,5881077,148302131,,2610562,176364104
