STNAME,2007_R1A,2007_R1B,2007_R1C,2007_R1D,2007_R1E,2007_R1F,2007_R1G,2007_R1H,2007_R1I,2007_R1J,2007_R1K,2007_R1L,2007_R1M,2007_R1N,2007_R2,2007_R3,2007_R4A,2007_R4B,2007_R4C,2007_R4D,2007_R5
alabama,,,894501933,530029150,4085621,597700,,51942,127830437,134694732,166901600,414531127,1533359,,34677523,4070906870,17951268,680820941,316410,21387684,1377692804
alaska,,,187315856,184230186,336566,30500,,,16994123,12056955,7434521,57647671,,,,1146630399,55345585,128048697,1971027,98837475,
arizona,2810552162,,,39050757,834239,22890172,147721,280762,90253074,124883913,107924754,417489551,960924,6072398,5475696,4958859248,23259559,883736844,857130,168186040,950222670
arkansas,1123841510,2745192,,2045634,7764888,2683091,50728,142542,61267036,54812524,79848830,67890806,50921,391159,2190917,2556916708,20807521,466360538,79835,12856682,266844597
california,14538258925,484878875,168400,,208845,251471631,23625969,37473985,1502185396,571237368,,2972148183,,,,42754127073,384007024,6096830824,18303985,211276005,9938489933
colorado,2946345943,66604201,,,51947185,4958860,5314885,231392,161011424,97181229,149385358,350525226,2772356,3481577,18719392,3323181556,50102084,481307391,,10109361,1330160383
connecticut,,,4952897014,,3591511,160531060,,10988469,1559310,115646609,,46585754,,857491,,3509494988,41038101,362641894,,16226082,858287402
delaware,388680319,,,,,64123238,,,16612517,17241090,888460,56235152,,,,1029607288,,120499768,,1661484,235944685
district of columbia,,,305754464,813901639,527228,,133777,,54475,736526,5634247,,416443,139171,,,494836,133453262,19824957,1246269,
florida,11736491327,,,,328942,,10598331,5144079,630439111,379506432,545372883,1269324229,2237533,,,11133825727,168847115,2320191483,,44463992,3396375601
georgia,5349636128,1773565768,145769293,,21732963,8935190,,,281482141,222520379,235814695,228804265,17201,4587005,,7941065629,27695471,1408555335,,73558522,2344613942
hawaii,,,,,,,,,,19142427,562223,40597279,,1550193,,2028636985,269319573,41440968,,41139459,80880942
idaho,343613036,3882191,,,4281516,296900,857715,,46174760,29909105,3012617,26734824,,,,1371187202,18064017,187387394,,4233712,306120182
illinois,12258106059,802869926,,,18076099,396229415,5682313,17216780,606684045,271936064,86573108,679224678,95191361,15759990,,7316137770,104158847,1689798055,,76346782,2358067254
indiana,2647990981,370436528,,,8006762,24702006,,2580794,143943748,205181266,20475937,371957234,64308464,2802646,68179373,5354404485,12924200,688239488,,103915264,557457234
iowa,1552868817,448909596,,,7312952,184692795,1972558,1365824,85676633,105300939,9170699,102043390,10828446,1663639,3276817,2279209684,23123147,364855849,2431463,10871470,603585802
kansas,1366298535,,,,4072296,226154796,2663502,,66826447,86831608,10195296,174529239,11033646,2336904,108896691,2980533515,10481083,424151781,,10377429,381959000
kentucky,1301610753,372954408,,23880745,4491600,980586,1875,60900,88118647,107189120,961794,69502626,1137206,,144525,3483545526,36792249,630877923,8621319,11414278,939337403
