STNAME,2007_R1A,2007_R1B,2007_R1C,2007_R1D,2007_R1E,2007_R1F,2007_R1G,2007_R1H,2007_R1I,2007_R1J,2007_R1K,2007_R1L,2007_R1M,2007_R1N,2007_R2,2007_R3,2007_R4A,2007_R4B,2007_R4C,2007_R4D,2007_R5
louisiana,991688650,1542494793,,,13382618,1556898,27731,2877186,149990201,47670073,,117592048,118839,2667815,,3043752084,53363464,1162837674,,16966106,939941459
maine,1090359299,,,,3587443,77118994,,1997642,4735119,38683231,1027552,19730303,,119217,,1147115825,5787395,219176379,300489,6605869,44608074
maryland,,,2907749918,2853479140,17519692,6459024,1811024,,41960278,129385944,168090817,127198413,,4428994,,4684822591,24545165,593595804,43645089,26390179,223828427
massachusetts,,,6207055040,,3799007,183481028,1128718,,12051396,158682885,28390096,355618216,,8103665,,6641467362,45052259,700214292,,17764581,1338109
michigan,5394865239,10243648,1825090,10290679,31511319,50863420,11629910,79040330,307793104,230491541,61044296,451409819,,2761692,10329868,11484248506,62774032,1402442991,79112594,32171258,2129563892
minnesota,1523695391,,,,79232388,246858619,2367914,,216337380,193016740,30000871,464151907,,,129150540,6488997966,49452810,522561827,,16267502,1241869393
mississippi,934664627,2461035,,12266436,3408185,4337103,673847,567203,54815049,54335735,55176672,110566038,,970978,781754,2214690894,33981311,669867584,,9006315,6800260
missouri,4037913053,559907652,,,26202956,63948973,541846,4139869,277562265,152801570,168222478,184693254,,,39326607,3111234983,56103769,731205632,,,918155769
montana,340971693,3288637,,,1731100,1972761,133274,502034,26057895,18457222,35500344,26636030,195564,404451,118234895,709780527,13433796,131166464,,48339390,80499564
nebraska,1578017421,19735919,,,739272,2073548,37081,73695,50256252,64720562,76734748,29186233,,792745,19609287,990277255,28785586,250724190,6143847,7568910,200907459
nevada,1171057604,1192572972,,240485,3366465,405194,469912,,110361838,38705746,84674949,46248850,,2359640,,1077524000,19473828,253988035,47822,6943630,1240988474
new hampshire,1125822216,,204765459,,4620921,99133542,348459,130354,20481837,43106852,1259054,25789308,255765,599045,,937660103,5132090,131476736,99440,840827,73733724
new jersey,11996871453,35720,,17752068,31845810,695625712,3129354,213228233,70973007,254813713,219732863,341842152,1686322,1326796,303977,10194360778,17793194,1028235348,,9787088,693040947
new mexico,339837189,,,,2861438,,,,48478234,26281092,20166623,41287643,5027,763654,4599435,2399420178,132327693,327957133,654604,7453705,207127758
new york,14117031701,278448735,8292929721,,32583088,287491748,,3540108,457793864,304880607,13731441,1042124792,179294,3975061,253277554,21632213296,27935456,3239703142,,52513949,723752625
north carolina,,,2475290924,78446491,5203842,1401697,,,38050457,257315069,,324008754,,2587824,,7613226803,74439821,1107041123,,15461537,926593137
north dakota,388700327,8448946,,1310044,257748,38308011,171453,123343,12559578,21405751,22997893,22030946,,210356,13613111,353519376,38256036,103134184,8172440,606620,6782092
ohio,8641676066,285020192,,,102482404,457861316,6215416,2076890,476640337,307513619,256025405,544212108,12960922,4768463,127150621,9888710271,66990872,1478258847,38942843,5008392,2415147402
oklahoma,1189402350,,,54353321,16656973,2326734,2351975,,70942549,77962207,144287709,92827919,510815,1930173,111735582,2820217677,81339279,548511016,19939900,80644,382333487
oregon,1603307111,2108655,12091630,,8243330,6622324,896293,731069,126617227,59388220,75163679,214967750,399978,851767,101994950,2908102582,30662952,464250466,7397153,45114752,1343664884
pennsylvania,10014529839,2237424132,,,69978551,1596190071,,3996750,380371593,332950970,11750311,495171837,,4472719,4610183,8675315551,90171845,1648251719,21896178,1706463,185378566
rhode island,,,1071498869,,886594,17739660,76902,389290,1897521,21063883,414933,10932415,2334,602112,,865043922,5188731,165483192,,2729785,203494107
south carolina,1656284325,42763344,833533135,122325385,5907761,11377235,394779,43052,196982993,92858054,143060125,184901752,,2459686,1730844,3147685299,4036129,638453940,,56641549,1889626031
south dakota,483748273,,,18269511,341169,765252,138969,23815,18141460,25925534,5837355,20471270,,1627729,12841108,374228424,55047862,117265494,1813063,3003315,78347025
tennessee,,,1655523671,1109068841,5704209,601149,133085,416771,42936064,171304356,261445523,300643798,,1444036,,3349704524,39572897,769622776,44356,18689414,509817629
texas,19362707638,296428235,,,72835135,12275219,,,1264782624,620147109,195478579,570522069,,,84000983,16349077373,177351078,4098945250,80971376,109030683,7940009323
utah,982464616,101471680,,,11161978,1057183,1645249,1098004,80291315,63474691,1770598,94727434,1234396,,,2104004956,23177750,305557445,3102255,3846287,579950967
vermont,1424516,2182814,396668,,1553083,406909486,26379,3335016,17074689,17741792,781166,64094361,,88985,,1238581819,5408788,89612945,558116,1672478,32429782
virginia,,,3394370237,3338454502,24788884,285903329,3164915,,49660778,242780779,,195162919,470301,9804702,,5813437103,61684943,778275994,,50167529,941512451
washington,2413141434,920788,10123561,1401141,60579436,79584557,5093035,4236869,208199252,123342937,126526003,243530949,,3139236,,6383842739,124184568,704602665,25255695,16217965,1089146007
west virginia,753124942,8093279,462311,5741581,1711371,385728,743,171202,29296297,25099138,1557777,47792146,184257,298501,2563164,1808685469,10168271,341494136,2175987,933466,134489744
wisconsin,3783785609,,24759010,,6396022,161831595,,917748,103323687,171340300,56960917,142644617,2583047,2079370,,5197594694,13407895,520691833,15012393,28765908,1052745795
wyoming,427128248,6080816,,,91198,1612072,29149,,26586481,15711666,1206743,16214271,,137856,149670255,721925227,104705,97228771,,13930790,77867621
