STNAME,2010_DRP912,2010_DRP9,2010_DRP10,2010_DRP11,2010_DRP12,2010_DRPAM,2010_DRPAS,2010_DRPHI,2010_DRPBL,2010_DRPWH
alabama,1.7999992370605469,1.3999996185302734,2.0,2.0999984741210938,1.7999992370605469,1.2999992370605469,1.3999996185302734,0.8999996185302734,2.0,1.5999994277954102
alaska,6.8999977111816415,4.0,5.5,9.29999542236328,8.699996948242188,11.599998474121096,3.5,6.099998474121094,6.3999977111816415,5.099998474121094
arizona,7.799999237060548,5.099998474121094,5.699996948242188,7.0,13.599998474121096,14.599998474121096,4.8999977111816415,8.099998474121094,8.799995422363281,6.799999237060548
arkansas,3.5999984741210938,1.8999996185302732,3.1999988555908203,4.3999977111816415,5.299999237060547,4.8999977111816415,1.3999996185302734,4.099998474121094,5.0,3.0999984741210938
california,4.599998474121094,2.5999984741210938,3.0999984741210938,4.199996948242188,8.899993896484375,6.5,1.7999992370605469,5.799999237060548,8.399993896484375,2.799999237060547
colorado,5.299999237060547,3.0999984741210938,3.69999885559082,5.299999237060547,9.699996948242188,10.099998474121094,2.399999618530273,9.899993896484377,8.599998474121094,3.1999988555908203
connecticut,3.0,2.799999237060547,2.5999984741210938,3.399999618530273,3.1999988555908203,3.0,1.0999994277954102,6.8999977111816415,6.799999237060548,1.3999996185302734
delaware,3.8999996185302734,4.699996948242188,3.69999885559082,3.399999618530273,3.5,10.29999542236328,3.1999988555908203,4.699996948242188,4.8999977111816415,3.0999984741210938
district of columbia,7.0,8.099998474121094,5.8999977111816415,4.199996948242188,4.0,,5.3999977111816415,8.299995422363281,6.8999977111816415,4.8999977111816415
florida,2.299999237060547,1.8999996185302732,2.1999988555908203,2.399999618530273,2.799999237060547,2.6999988555908203,0.7999997138977051,2.799999237060547,3.5,1.5999994277954102
georgia,3.799999237060547,4.0,4.199996948242188,3.799999237060547,2.899999618530273,4.199996948242188,1.5,4.299999237060547,4.599998474121094,3.0999984741210938
