STNAME,2007_DRP912,2007_DRP9,2007_DRP10,2007_DRP11,2007_DRP12,2007_DRPAM,2007_DRPAS,2007_DRPHI,2007_DRPBL,2007_DRPWH
alabama,2.299999237060547,1.8999996185302732,2.5999984741210938,2.5999984741210938,2.5,1.0,0.6999998092651367,2.5,2.799999237060547,2.0999984741210938
alaska,7.299999237060548,4.599998474121094,6.599998474121094,8.699996948242188,9.599998474121094,9.5,6.699996948242188,9.0,10.0,5.199996948242188
arizona,7.599998474121094,4.699996948242188,5.699996948242188,7.5,13.199996948242188,13.199996948242188,4.099998474121094,8.5,7.8999977111816415,6.299999237060548
arkansas,4.599998474121094,2.899999618530273,4.0,5.599998474121094,6.599998474121094,4.5,2.899999618530273,5.5,6.5,4.0
california,5.5,3.1999988555908203,3.5,4.5,11.599998474121096,7.6999969482421875,2.6999988555908203,6.799999237060548,10.0,3.5
colorado,6.8999977111816415,5.3999977111816415,6.3999977111816415,7.099998474121094,9.199996948242188,12.5,4.0,13.79999542236328,10.0,4.299999237060547
connecticut,2.0999984741210938,1.8999996185302732,2.0999984741210938,2.399999618530273,1.8999996185302732,3.399999618530273,1.0999994277954102,4.699996948242188,3.5999984741210938,1.2999992370605469
delaware,5.5,6.699996948242188,5.699996948242188,4.5,4.3999977111816415,2.299999237060547,2.299999237060547,8.599998474121094,7.099998474121094,4.3999977111816415
district of columbia,7.099998474121094,7.6999969482421875,7.599998474121094,6.099998474121094,6.5,,6.099998474121094,11.0,6.8999977111816415,1.5999994277954102
florida,3.799999237060547,3.5,3.69999885559082,3.8999996185302734,4.3999977111816415,3.0999984741210938,1.7999992370605469,4.5,5.799999237060548,2.6999988555908203
georgia,4.599998474121094,4.799999237060547,4.8999977111816415,4.599998474121094,3.69999885559082,5.199996948242188,1.6999998092651367,5.799999237060548,4.8999977111816415,4.299999237060547
hawaii,5.3999977111816415,3.799999237060547,5.8999977111816415,5.599998474121094,6.799999237060548,10.79999542236328,5.099998474121094,6.599998474121094,6.599998474121094,5.8999977111816415
idaho,2.5999984741210938,1.5999994277954102,2.299999237060547,3.0999984741210938,3.799999237060547,3.69999885559082,2.0,5.199996948242188,2.6999988555908203,2.299999237060547
illinois,4.0,3.799999237060547,3.5999984741210938,4.0,4.699996948242188,3.5,1.5,6.8999977111816415,7.6999969482421875,2.1999988555908203
indiana,2.6999988555908203,1.2999992370605469,2.0,3.0999984741210938,5.0,4.299999237060547,1.3999996185302734,4.3999977111816415,5.199996948242188,2.299999237060547
iowa,2.299999237060547,0.6999998092651367,1.3999996185302734,2.799999237060547,4.5,5.8999977111816415,2.0999984741210938,5.5,5.599998474121094,2.0
kansas,2.6999988555908203,1.2999992370605469,2.299999237060547,3.0,4.3999977111816415,4.599998474121094,2.299999237060547,4.299999237060547,3.799999237060547,2.1999988555908203
kentucky,3.0,2.299999237060547,3.399999618530273,3.69999885559082,2.799999237060547,2.399999618530273,1.2999992370605469,5.299999237060547,4.599998474121094,2.799999237060547
louisiana,7.3999977111816415,8.299995422363281,6.5,6.699996948242188,7.799999237060548,7.299999237060548,4.3999977111816415,8.099998474121094,10.099998474121094,5.199996948242188
maine,5.299999237060547,2.1999988555908203,3.299999237060547,5.799999237060548,10.199996948242188,13.0,5.0,6.5,6.599998474121094,5.199996948242188
maryland,3.799999237060547,4.5,3.799999237060547,3.399999618530273,3.0999984741210938,,,,,
massachusetts,3.799999237060547,3.8999996185302734,3.69999885559082,3.5999984741210938,4.099998474121094,5.0,2.5999984741210938,9.099998474121094,6.3999977111816415,2.6999988555908203
michigan,7.3999977111816415,5.299999237060547,7.099998474121094,6.799999237060548,11.199996948242188,10.199996948242188,6.0,11.79999542236328,16.599990844726562,4.699996948242188
minnesota,3.0,1.0999994277954102,2.0,2.899999618530273,6.099998474121094,10.0,3.1999988555908203,9.599998474121094,8.0,1.8999996185302732
mississippi,4.299999237060547,4.199996948242188,4.599998474121094,4.599998474121094,4.0,6.299999237060548,3.0,4.799999237060547,5.199996948242188,3.399999618530273
missouri,3.69999885559082,3.0,3.69999885559082,4.3999977111816415,4.099998474121094,4.599998474121094,2.399999618530273,6.799999237060548,6.5,3.0
montana,3.69999885559082,2.6999988555908203,3.799999237060547,4.3999977111816415,4.299999237060547,7.5,1.5,6.799999237060548,5.299999237060547,3.1999988555908203
nebraska,2.799999237060547,1.7999992370605469,2.5,3.0999984741210938,4.099998474121094,8.199996948242188,1.8999996185302732,5.8999977111816415,8.299995422363281,1.8999996185302732
nevada,5.099998474121094,4.5,4.699996948242188,4.299999237060547,7.6999969482421875,4.8999977111816415,3.5,7.099998474121094,6.3999977111816415,3.799999237060547
new hampshire,3.1999988555908203,0.5999999046325684,2.0999984741210938,3.69999885559082,7.0,11.79999542236328,0.7999997138977051,4.599998474121094,5.599998474121094,3.1999988555908203
new jersey,2.0,1.6999998092651367,2.0,2.0999984741210938,2.0,3.5999984741210938,0.5999999046325684,3.69999885559082,3.1999988555908203,1.1999998092651367
new mexico,6.099998474121094,6.3999977111816415,6.599998474121094,6.0,5.199996948242188,8.099998474121094,3.0999984741210938,6.3999977111816415,6.699996948242188,3.8999996185302734
new york,5.299999237060547,,,,,,,,,
north carolina,5.699996948242188,6.299999237060548,5.799999237060548,5.8999977111816415,4.5,8.699996948242188,2.5999984741210938,,,
north dakota,2.299999237060547,1.1999998092651367,2.399999618530273,2.899999618530273,2.799999237060547,7.8999977111816415,,3.8999996185302734,3.799999237060547,1.7999992370605469
ohio,4.5,5.199996948242188,3.299999237060547,3.799999237060547,5.599998474121094,9.099998474121094,2.0,19.59999084472656,9.5,3.0
oklahoma,3.5,2.799999237060547,3.399999618530273,4.099998474121094,3.799999237060547,3.69999885559082,2.799999237060547,5.299999237060547,4.5,3.0999984741210938
oregon,4.599998474121094,2.0,3.0999984741210938,4.8999977111816415,8.699996948242188,7.3999977111816415,3.1999988555908203,8.299995422363281,7.8999977111816415,3.799999237060547
pennsylvania,,,,3.0999984741210938,3.5999984741210938,,,6.5,5.099998474121094,
rhode island,5.799999237060548,5.699996948242188,6.3999977111816415,6.099998474121094,4.8999977111816415,9.599998474121094,6.8999977111816415,11.5,8.299995422363281,4.099998474121094
south carolina,3.8999996185302734,4.099998474121094,4.199996948242188,4.199996948242188,3.0999984741210938,6.0,2.0999984741210938,4.599998474121094,4.3999977111816415,3.5999984741210938
south dakota,3.8999996185302734,2.5999984741210938,4.3999977111816415,3.799999237060547,4.799999237060547,15.5,2.1999988555908203,9.29999542236328,4.299999237060547,2.6999988555908203
tennessee,3.0999984741210938,2.1999988555908203,2.299999237060547,3.69999885559082,4.799999237060547,3.799999237060547,2.299999237060547,5.3999977111816415,5.699996948242188,2.1999988555908203
texas,4.0,2.399999618530273,3.69999885559082,3.5,7.199996948242188,2.899999618530273,1.5,5.599998474121094,5.799999237060548,1.8999996185302732
utah,3.0999984741210938,0.3999998569488525,0.8999996185302734,1.8999996185302732,9.699996948242188,6.0,2.799999237060547,6.0,4.3999977111816415,2.6999988555908203
vermont,,,,,,,,,,
virginia,2.5999984741210938,2.299999237060547,2.1999988555908203,2.6999988555908203,3.5,3.0,1.5,5.699996948242188,3.799999237060547,1.8999996185302732
washington,5.099998474121094,3.69999885559082,4.199996948242188,5.699996948242188,7.099998474121094,10.099998474121094,3.5,7.799999237060548,7.799999237060548,4.3999977111816415
west virginia,4.0,3.399999618530273,4.0,4.5,4.0,3.399999618530273,1.0999994277954102,4.099998474121094,5.0,3.8999996185302734
wisconsin,2.1999988555908203,1.2999992370605469,1.0999994277954102,1.7999992370605469,4.699996948242188,5.099998474121094,1.8999996185302732,5.199996948242188,7.799999237060548,1.2999992370605469
wyoming,5.099998474121094,1.7999992370605469,5.699996948242188,6.099998474121094,7.099998474121094,12.29999542236328,2.0999984741210938,8.0,7.8999977111816415,4.5
