STNAME,2010_E212,2010_E213,2010_E214,2010_E215,2010_E216,2010_E217,2010_E218,2010_E222,2010_E223,2010_E224,2010_E225,2010_E226,2010_E227,2010_E228,2010_E232,2010_E233,2010_E234,2010_E235,2010_E236,2010_E237,2010_E238,2010_E242,2010_E243,2010_E244,2010_E245,2010_E246,2010_E247,2010_E248,2010_E252,2010_E253,2010_E254,2010_E255,2010_E256,2010_E257,2010_E258,2010_E262,2010_E263,2010_E264,2010_E265,2010_E266,2010_E267,2010_E268
hawaii,107356307,43589499,2985968,77733657,49557634,525311,21885081,46218488,17010233,1269195,33461955,20989707,228062,9350002,60468277,20447918,945549,6940951,30113680,61818610,16327725,1669952,3418277,265756,7828462,48148834,,3132422,62933,291983,45645,805032,151381,,331950,176336,448881,89986,193586,799645,,747803
idaho,75206749,40715608,24886376,80101802,64258688,32374966,19983760,24168955,14099956,7853726,26299702,26468719,14093309,7701021,11359861,14005374,10900431,1978708,65863332,36024137,12527319,1313689,10283881,1929750,694042,15751897,10579822,2859385,102984,3662911,458062,178775,10690551,3526555,2293565,,32695,1610854,27986,6728846,749952,1134663
illinois,1082627697,612467422,411956887,839018019,703979414,256073623,337331765,427314790,272137468,220228083,370882394,337800102,122882478,179499210,81973565,165339178,336862896,25278267,591065823,716858240,208018700,18078439,95697787,16973705,16591125,519658863,69322839,51532465,4573385,48596008,9869234,2986400,205704905,64429332,58422667,4539831,6156383,23166818,2389237,4240574,2862332,39272146
indiana,301644297,211062782,99587308,380057846,356548755,248577540,85973584,132637835,91030014,57901649,173588479,218710620,110771978,96885850,23195884,57732013,36751280,7193510,233490036,137043482,33380981,7059245,26714126,7146500,4183204,303554117,72635038,8292296,4560385,86563451,2683278,346789,15240159,85217917,20199326,291936,2166511,111671075,1348874,442344,2119414,25353805
iowa,198504038,135330914,68632655,202315358,154639859,77242565,74866942,56983143,37829647,23713587,66068050,57056746,19084651,28478195,16349989,23034073,26541798,6472431,82373356,40330571,25008242,3392433,24761155,3007402,2801342,115555574,30127639,9998523,1606854,23428265,918806,685597,11682816,25671073,8764353,430674,710581,2740229,714164,497679,325562,4459360
kansas,202340317,133658360,82228810,209617424,174768927,52437059,65177226,47820928,32458335,21004811,50573969,51511811,13138075,18884490,17108450,26481027,30121396,5869473,74439144,83970002,19390080,5246524,18194033,4483724,3355707,129241329,24915237,12192661,4779313,6226421,3106540,1466119,28021114,12537682,7943171,1535600,1695919,9481935,891140,5807863,3692199,3110968
kentucky,198835147,217689680,40050367,245990016,195644954,191248540,81567123,53396125,58492571,32590292,81260759,88257936,91500602,33604843,13264939,20702844,52580957,6170044,100302180,17483051,21645908,4168561,23120295,5014570,6593986,163768422,53449408,7448473,749846,14359175,1485394,2726463,8518366,40853170,10139781,701802,4898933,1711121,480447,884504,1864680,259870
louisiana,251972277,272521820,32217142,290120720,181136479,174990007,98788758,76767199,80883483,17951679,99694995,78180978,93533300,35611978,17708689,32953644,110168670,16995325,253082271,106383068,50464540,8879601,26904440,2603330,4028298,174492746,30403897,20035831,471724,3257719,419845,1061606,5842638,18838808,8673423,1448207,3269712,7710251,5097597,4445212,2551350,11353605
maine,92482953,58651247,40937756,85404765,73136956,41436397,15179264,35878641,26745199,16813189,33877307,26131768,17033406,5254308,20876488,24329962,26207731,5058726,54353479,33433430,5144854,1901439,13708252,2093330,1499768,64381277,14485230,732521,649210,20585597,1206310,189360,2324486,5543348,856606,327284,1277673,3073180,949374,3165074,3522672,1383080
maryland,365812280,391424362,47000559,557782375,439494723,201357320,177617031,144396519,154833204,18316307,219835586,157466988,77371950,71927233,25555717,46742384,16943770,14080099,171017097,279276915,53282932,4051837,28166395,1161555,11627899,224427500,27175522,11655252,373517,4365050,246280,1272781,13435216,21539973,7573746,645912,5099478,1981590,2266700,85287625,1923504,1805194
massachusetts,608467406,410607134,113658418,427640115,461806086,74217754,187308862,301858115,203700467,27877985,104890993,113271177,18204031,45942866,67985705,14622415,26179429,4427140,343823608,369880286,43157827,14889062,5882274,6222076,10801275,150874594,6651284,15095518,330950,214802,74404,217045,476434,1926308,124801,2003270,15054043,15491374,4829980,143209946,81043257,26233898
michigan,825320465,414544379,125711768,563769279,494829997,292680579,302328450,370661442,186137057,55673493,269710899,289357536,167789284,158484214,100031727,205389250,161819567,101374663,467350499,180898158,236418934,11585187,68619064,5022639,13055501,417561315,81678370,24473015,1796573,13926405,1020657,1228938,38609766,56756975,36702876,1487752,4258389,11465283,3185485,4923446,1564753,123921361
minnesota,150035543,214799661,122615369,279931002,249342925,102318190,89420839,50646262,82296375,42683579,70253548,95138434,31302071,38101515,27191680,54642631,86803339,6130410,210407370,321806070,74075040,6222955,33987010,6527085,2984963,80226643,30351884,8286991,1968650,21755127,4197899,1032949,9838724,19901151,14787811,619988,5200375,3626932,1743471,1299740,272457,42584198
mississippi,135842005,103961818,66100038,175354158,95409773,82001227,53195499,38269439,29899602,18930903,50195395,38318850,35767599,16075694,14897933,38348824,24543862,5027076,231517271,25610212,13221377,3162340,19238793,4064718,3044820,34188638,36296292,4979953,688867,12106487,1559423,861383,10637243,18903499,5658122,274348,2646402,3250237,304082,751709,389784,963617
missouri,307340220,229227014,146346562,381901006,331427473,138821506,93517685,81667533,56342513,46793666,98828636,107229629,42575765,32368473,18092926,67951343,73310336,14550748,203691851,221324219,59940841,9085032,53141812,10345333,10254868,247110923,49941628,14188597,459329,25070191,3483852,2562700,58740477,37672259,13877549,,,,,,,2114281
montana,52781083,31927200,21521439,58337582,52206437,19056343,19110647,15358850,8536559,6337499,17185251,19742417,6183995,5929414,16977934,7200299,10850618,2296952,40031798,37813751,6297831,3047564,10591858,1855886,1862570,46203187,6393443,3661006,475795,758880,236810,114634,8051932,11620943,919808,164175,108155,2057873,333428,1065219,187280,411629
nebraska,80237455,56461403,50911177,117006920,107043314,30807178,22808489,22494087,17031804,15062707,35438922,37883605,8689343,9092176,11889088,10389481,17916878,1087992,108425390,40370919,27086126,5895738,13167404,5513328,1592085,20929702,2441799,3272674,1114817,5165696,2941712,314614,30872905,10725976,4850719,2618338,3158317,9099096,1793925,5540934,1934850,2208373
nevada,126674710,98822390,23413600,188154002,161112467,86943038,69023664,45141465,31619659,9695722,67481387,63778820,37809847,26321777,9543904,22321609,8130384,6369174,57398896,10614980,28837701,2822724,23769470,1257376,1220570,96452242,13829757,4883852,133577,6068684,77467,150864,1462012,24255027,2186455,3103212,3950997,530539,221205,331064,264176,4251894
new hampshire,109785774,38894402,26520269,90643932,65814857,7901183,13317198,39837020,18121552,9611798,36247811,27987142,3018599,6488470,31697920,14099882,46875147,6975425,62835559,94083811,4772038,1904711,8386156,1297260,1786570,58506602,3195353,1280500,567029,6671259,502557,438354,3236073,1780565,2194922,231132,562583,1935877,1103625,255978,23034,1088448
new jersey,1535969889,527315395,198313085,798492697,919212790,230044861,324230017,558951071,192037747,72326881,290247335,334791018,83791765,117868197,197290739,43587949,191540637,22626689,536844631,897510797,66486922,24226763,38997388,8580931,19768544,586958947,18721565,12951788,2041238,1748273,2735129,3118861,20840630,18349042,13696092,3767180,4500394,28774830,7403450,24263546,7817853,14989549
new mexico,204060742,55771733,31566339,136744046,111485919,24101070,57598781,62765749,18699338,8956374,43116237,38540004,9350908,17769607,57491183,15093229,29720288,7357521,96287813,65135308,12235319,16371053,14629969,2441578,4045149,75875628,5817663,6809839,1016542,316478,93114,300487,1028244,5909507,1262887,1213596,87131,262793,6760,863231,1649,1040361
new york,991668672,727032034,308782439,1345067444,1818585002,511175021,629532900,500047568,296851324,245973024,586536872,850396154,244480512,136107902,164909310,125128973,294277024,21713536,1523649075,1751490218,381498310,11913361,172321370,5938953,13662347,177793050,99503993,36148441,745554,127924508,3481203,2359537,62192601,40213025,14548076,231758,138275,87722952,318747,1816262,118800,88611010
north carolina,413880761,329213381,81141809,588245824,358350612,276683340,166014867,101998323,81034776,21409043,147030006,112931998,75788239,52669602,42996495,43400221,58087173,11281941,242420017,81059996,114372321,7516694,20258345,5196640,7044245,322825676,67206595,31087996,218100,6731119,450916,573673,7705064,35704088,8106400,,,31677096,346062,366076,475457,2490450
north dakota,27447222,19360140,24182192,36187927,31907071,14386587,13238987,8025329,5675439,9196740,11033251,8892975,2687866,3790705,5898914,4436823,8604815,780262,28594287,16391498,4515639,2130237,4383855,1743677,512788,28568388,8316275,2345666,1041153,5587874,1059354,103324,9395116,9596029,5098815,258439,428282,2632680,252698,1125698,468060,821888
ohio,745087406,743788508,292139580,663611180,650299615,408398677,302455733,248901326,317848713,103638771,265778249,276859463,195845594,132497697,198798545,190106906,141025578,144591928,755525826,193712208,182454287,21762196,45707842,7262805,16372173,108500486,122054397,28262170,7384686,23883769,2808207,4121795,52732465,86643314,34185218,17306151,11595548,39140496,33023301,4278865,1525356,218813585
oklahoma,193332623,104036443,99494755,206775746,167107681,79302749,65373019,56563135,31702768,28987912,59967972,53011453,24270207,19627720,40548629,41777868,25168257,1758511,181869919,21854035,28127404,35848915,15328369,3452395,4229708,154764892,33120086,12190885,911080,359969,402702,382927,9523726,38400902,5724030,25929386,5887512,5966429,568810,1652263,627625,18838433
oregon,237591793,115624777,34851280,220231991,148888513,72057919,147144976,105461494,54364593,13709032,99937455,79601492,45013195,90143571,33482819,29671690,15258586,7690354,167039979,105159215,58117803,8156881,16357871,1632098,6450708,30733301,17906911,38309477,464046,556438,34195,345577,4640104,8847744,10006164,3429450,2616877,6131545,1885322,12534322,2312685,19394944
pennsylvania,770856723,466151043,298756463,679164565,861190563,165580978,389139033,263501281,164660394,117161312,235892008,353128703,63039809,148377874,113547951,146994265,215921372,54063652,748658648,861999898,210781152,19427337,88667192,21911512,14604105,335700963,44792990,50233448,3780886,41714523,2816093,3207306,36230757,16605203,45027014,2451509,3176778,27151687,3207769,2912805,1084906,32736250
rhode island,153646475,47359328,15565783,73056723,53948697,14579746,38955906,70312538,15019755,6766020,29866366,23977887,7351936,17897274,22318205,13074087,5541323,2293816,56560825,59367051,9436534,1490192,2244259,269641,1222858,42573996,2591229,797782,793599,557871,57276,305933,1378408,589472,2274531,510974,207142,879435,366116,183489,4630,1118434
south carolina,279569591,264511123,27942379,291803397,185080531,151367465,111392819,79243501,74743463,18028748,84479207,65489143,48416235,39678870,22368360,48100566,16498219,6710774,177785411,43873506,31839273,15980155,30235832,1814308,4508879,186802375,2607277,18103710,922302,1787975,434017,743477,11374294,4872898,10890243,83425318,1214088,9054698,423254,3669221,684573,3262003
south dakota,33786743,24903464,20171008,38696291,38264295,11327686,16956207,9196142,6681049,5991723,11932241,12451961,2765997,6082477,16795795,8465270,7325434,1486539,48268312,17533695,13080744,1686984,4921855,934202,648471,11200246,5638642,1334366,94367,3745413,82592,106117,11819928,6653475,1837953,32293,269877,2974139,234593,3217732,542999,2139119
tennessee,215041445,302287875,29702713,333175886,219878812,110123213,78765374,58340287,79301825,24621419,91236983,75077078,39079465,23856871,32061100,68188897,18512582,22342229,103750451,88331101,25710584,9229261,21404682,1101612,2677810,276347736,37073076,5405321,1928487,10963054,246430,1193764,5448354,29075578,8605963,7038645,15770527,82039141,1663410,19806272,5058039,7292439
texas,1604979273,1442582363,208747400,1933194035,1700937219,639515119,857331748,235132635,220437840,30693865,287556040,364157732,149066226,125122964,145731799,327596312,344511027,35328033,798482624,187389843,285093433,64940142,215465169,9689372,42343591,1787486261,182024462,107738395,3501191,26374847,720673,1941419,50360041,131170621,47903423,7222792,46581216,24199794,15355148,12494476,2101167,175546432
utah,85747519,87283880,22804663,152975309,126178797,59264421,50423748,34308963,36647035,10489594,61864450,52675788,25072275,21699704,14888089,12141784,10513965,4803315,56796112,8640093,14750167,4447981,10941844,1575223,1251406,94913209,17384378,3317442,554989,1489908,86383,271001,10057359,16558821,1544063,700104,659437,78074,427634,490863,292094,19370
vermont,68616170,33222645,15852052,67540186,37250372,8879979,15403646,21070853,14196835,5535147,22697213,14244742,3191177,7125851,20987743,12072011,10931344,5938548,35873949,31672370,5943217,1738773,6112426,1178063,1966486,32737427,2392189,852378,575120,6364621,263054,884371,5115858,5183077,1388246,258107,515102,1438878,857054,141185,226576,4070374
virginia,468101571,540062645,109255203,571092357,482006868,368247847,122635013,146635538,171331538,39520402,181459929,181817058,143375344,50906310,19675459,95326650,38286506,11882470,499361330,52323725,31252420,5611568,72229647,19265714,7609994,89300536,85399903,5988143,462273,55678487,12330646,970848,36239077,57224532,1035262,2402791,1830548,2196050,4229690,7717547,24498039,1613937
washington,451439536,282227333,92388865,420767557,319168398,182416522,196468572,146652260,84761575,25282685,127841574,128748081,77864890,61999972,52868745,28589970,60580081,7757705,354169577,79919818,84970810,7194537,16965512,7126300,7558430,66900288,49016831,22305492,428692,1254477,5675951,279798,20922794,47534259,5846350,399529,1495113,2840755,621839,3226941,1623118,1843470
west virginia,84329968,63332359,29801022,106992079,100082065,103209548,26276563,45745720,33812407,22605601,52247378,70776258,78943448,21053704,13815830,20749491,17672775,741329,68427354,16051065,7115365,2717451,11436432,2237204,753468,92751853,36266705,2101104,96037,697011,162611,31313,3338052,23194633,132124,10442,124314,549075,27048,617540,122806,223773
wisconsin,285248432,250503708,96120277,317572401,308027415,34650031,145600156,138653469,119363931,39855968,155424124,166380926,13679600,271670096,36155918,51501963,113152802,7597111,158432642,305520938,84946391,8136507,56435970,5112237,11226640,239332408,4310606,30443361,1103994,13783692,2854325,4449959,21497424,13843775,42964756,555728,4350786,4627086,1602753,513584,1495970,14362690
wyoming,51303580,48640231,14082224,49541351,52521472,32965215,26650330,18416736,16781785,5152307,19033843,22380273,13244725,11024150,5909198,14655908,5896874,2111525,14512959,4417478,7268349,1390360,6653812,1094761,1465311,40538510,10415848,4092112,409093,3072138,339322,302714,4657401,10796450,6704558,13259,188666,1009255,449530,46713,82117,885969
