STNAME,2010_E212,2010_E213,2010_E214,2010_E215,2010_E216,2010_E217,2010_E218,2010_E222,2010_E223,2010_E224,2010_E225,2010_E226,2010_E227,2010_E228,2010_E232,2010_E233,2010_E234,2010_E235,2010_E236,2010_E237,2010_E238,2010_E242,2010_E243,2010_E244,2010_E245,2010_E246,2010_E247,2010_E248,2010_E252,2010_E253,2010_E254,2010_E255,2010_E256,2010_E257,2010_E258,2010_E262,2010_E263,2010_E264,2010_E265,2010_E266,2010_E267,2010_E268
alabama,220488723,184476547,71493964,280776328,165131520,149547462,62316315,85123368,68865117,23191359,107013111,86236304,99001716,25160680,37516631,38546821,19007797,13204357,98856315,34480262,29342504,36805545,14017666,2952577,9848269,246923962,40345037,8824680,1367897,194267,102484,220791,2591054,28081293,1005098,2623851,2420693,44556645,2321614,102694,32899,12467481
alaska,95734277,52637955,12806684,75052699,73973820,6539742,35131039,57222518,30263959,7999478,45636647,46904710,5405386,21443019,18207429,32843400,6812648,3501777,51631603,47795891,17576632,6080299,13365267,728487,1693738,85419162,2225401,2400719,492175,2740143,113926,142843,3112254,881388,2552213,699036,937807,1594375,202034,97588,19146,1192126
arizona,668304116,143684549,55706616,291270090,285247340,160075206,145323561,90869569,40678470,15432502,79727602,100508412,59121998,46396224,56449641,18819621,39797123,26417552,286164003,53397881,56850230,11345084,4162959,1806170,5544303,263089454,48360154,6126508,2432033,21732860,2620193,1768569,29557098,37906410,15331541,166015761,617284,14084639,3796531,20684173,4740376,116972608
arkansas,148990616,202960147,60390984,171815993,136138317,80375581,58876822,39778419,51935012,19632452,46406907,40530834,22982674,17168574,27556671,70918214,16045798,3683111,112656073,22440023,20315172,6300508,56861897,3734995,3872773,126140951,32609717,12919226,1168607,26810472,1027082,374871,14933203,26643636,8632978,389568,4183023,8998587,534305,2224300,1094394,8623816
california,2027949626,2063980966,272519858,2707883115,2251783898,541300725,1355186206,664384854,683154304,108123418,953472852,960611884,235482314,552958281,274073909,660609769,145070768,177348096,1126134664,493359367,525151084,38402872,143046814,7926176,66064274,1538125489,132452533,94259308,1156756,8483261,361037,5239247,39876486,54394672,37914004,301854,2461823,10959161,1752262,211580,105304,6609466
colorado,260010247,270814705,53039842,375110918,274723582,135569776,185876478,61025965,61123963,12094263,86111097,71648594,37724521,46685956,28644222,61217951,50355154,23868669,174602447,19196733,243054675,8709627,28336092,3801846,13980847,184018088,23169802,27107023,2502432,9210870,3203841,3646401,17433800,17608108,35004708,4050893,2997323,4572864,3276488,626892,157431,35316609
connecticut,355547687,149722949,89891269,340049560,291176470,26569799,98928319,139441128,56642141,38943095,132639719,122136351,12064173,44555531,36922832,33976079,41255281,18462307,216039499,376761952,48033105,5839444,26971362,4452310,7956595,182785657,15171897,6997505,1407748,13135447,3281276,3055072,25090172,1824001,6179027,1405946,2232680,4235978,1745798,2476017,665253,5706487
delaware,47162177,10671441,9582691,56766545,52523940,16049399,33558605,20624203,4637840,4060189,24781487,22922822,9300100,14501161,10426142,19151,4836056,5623400,76024503,67254773,25810406,557689,1496489,334356,650796,8064735,3081008,1763877,1652972,68619,,224401,1350757,780225,52751,,,,,,,4360901
district of columbia,55398742,57226609,31672538,76356603,47340896,62866053,31776004,7679387,7694583,3892164,10493024,8548077,15036807,4725344,36796266,29056714,6168244,2626574,46258448,11106894,35949160,1593085,1292963,2526218,2802700,44556584,3648260,1897771,788566,2568053,1794718,759499,6589045,291792,3653975,1177247,3238653,4790979,2719073,9453403,9096991,1343261
florida,754322297,1006255042,83370889,984555309,817316097,468604552,328479400,234224181,289730611,34009396,300584365,326446187,204676098,108100492,62586169,144494278,32901706,15153685,573694378,101184378,136278458,14765790,91836481,2545489,13789913,728713938,143591730,15869181,5870436,8563638,1377629,7248065,13664588,5138183,3288934,2112243,23728794,96640103,2914120,40081507,16935019,9493009
georgia,585419173,498302239,114689084,698640501,442357577,376144035,207660425,85003685,132534792,27200173,185164846,109606981,90523521,50091676,58472195,93121825,48305690,18415860,246844803,71063331,176121512,27969083,70218772,5693312,19206890,359391481,106601762,44969241,1063320,4138496,866988,899130,8490676,43615256,24195305,7854732,21056356,25971945,6324037,1309289,593754,42998121
