STNAME,2009_E212,2009_E213,2009_E214,2009_E215,2009_E216,2009_E217,2009_E218,2009_E222,2009_E223,2009_E224,2009_E225,2009_E226,2009_E227,2009_E228,2009_E232,2009_E233,2009_E234,2009_E235,2009_E236,2009_E237,2009_E238,2009_E242,2009_E243,2009_E244,2009_E245,2009_E246,2009_E247,2009_E248,2009_E252,2009_E253,2009_E254,2009_E255,2009_E256,2009_E257,2009_E258,2009_E262,2009_E263,2009_E264,2009_E265,2009_E266,2009_E267,2009_E268
georgia,597063963,504285512,114124042,712074026,455363623,387272970,215407249,81349335,119864621,26322367,175625127,113821806,93378564,53226212,51143473,86419304,65464158,17958623,258380592,68416654,169036167,28726291,74737892,6705799,21439077,356678623,110894172,49161541,1154355,5062620,1703717,1218374,13986216,93205729,17117910,8091249,23212391,21914981,6296252,1587792,702649,44936159
hawaii,111992312,47326285,7075097,87081588,54484790,667793,32231764,44974181,18476815,2828564,34993461,20445557,270199,12919140,50331670,4525946,1106788,8003251,31851379,61681101,24001987,3574626,2360235,484615,7058850,58283635,,4542054,263887,1010835,34036,1012792,1167496,,1178994,254125,485739,192762,295946,1139823,,206397
idaho,76411934,41461692,24280395,81031580,64353673,33047317,19741027,24185628,13524761,7678235,25940645,25784008,13993375,7641774,11487871,13273943,9486238,1934665,70471138,34176914,10130321,1315715,12461116,1953119,650485,17158234,10598401,2659076,142470,2366008,499271,70357,13034507,4403302,2600928,,420804,1862663,23155,6938107,805501,1260710
illinois,1041769567,604731519,411826058,818478035,691777457,252567272,341168585,358274366,228824234,191232234,318425266,303043311,106837403,173177838,86735634,146979061,332872915,25924048,612425698,697546869,247980027,19980914,97188878,19042071,17100980,589340392,71470992,54893558,3347056,49351316,6087467,4345550,244540025,67088153,54268977,2161682,6677955,21902800,2306017,2648062,1538612,50701772
indiana,295701717,194510676,98734299,376710709,370394687,242473853,83679466,126362273,81308172,57323539,168894997,214337318,106615352,194126928,23198135,51637912,36034673,7585016,227780010,134851410,28058657,6220207,28108163,7545583,4499268,342192913,77681464,8450414,2340886,67299271,1341435,488701,21289057,71708712,12998645,133396,1845188,4402924,984492,571193,1929266,14500799
iowa,192744390,131573022,68340439,199993097,154540352,76802595,74637517,54980500,35633256,22863800,64175060,56028587,18989693,27390514,17893983,21686989,27287742,6545346,90240647,39727597,24430892,2916552,24466545,3221216,3040104,123314139,31109651,11229902,664650,21347386,935417,929813,11757994,24982218,9311757,395424,711721,2856510,718478,368790,290508,6493023
kansas,203725965,141383076,80096834,216825421,183337031,57724076,65241027,48080986,33862669,21620815,50038274,52404109,14204090,18184218,17953583,29958057,31889150,6986434,75097209,83144458,18164731,5214880,19172326,4858787,4239562,134015649,27496931,12329311,6839768,8421503,4220895,1867255,29687819,15636779,15855914,1647317,1479355,8817203,893290,7099586,4115491,3289134
kentucky,194920105,211181744,40747124,243127409,194477705,182093670,78291023,50331697,54433652,30171585,74342827,81841638,83300755,30461050,11040818,16839181,46832482,5740276,97367745,18257858,16226951,3507520,20787832,3639496,6120542,172933248,50849553,6827039,678106,11061952,1527105,2123306,8532338,31969649,10301374,1015283,6913693,4593839,791421,1015473,744436,861608
louisiana,239635777,260236899,32119611,288526690,184404765,176077668,91678324,68382491,73238317,18608574,94866943,73766629,89787537,30702341,17737729,28038894,120497533,14678465,277426987,96443893,66897794,7773904,30166240,2810649,4414543,185278408,28311664,20347179,840678,2129310,516125,1401565,9088026,17585673,9245436,725639,2737339,11100440,4660900,8211334,2751243,11601642
maine,89596481,55428010,44503215,84370157,72545843,40916319,11066243,34742826,24900373,18800973,33547719,26024411,16616489,3733013,21229222,19773261,25100495,5981758,58173134,33146356,4156187,1826320,11600816,1952146,1668396,80462104,16040977,871227,267547,17831583,792222,273827,2336645,5621276,814590,343207,1007903,3290378,1041257,3359823,2832154,1145768
maryland,367087908,377787207,47026794,563366947,439386148,200551786,176362278,133019592,149341772,15875279,210141007,154484076,71601979,67940840,25093106,39213210,13271679,16160001,172290125,270584752,63630539,3962876,26657540,938334,12294335,247862713,27126013,11991862,276137,3036528,246912,2027964,16113184,17881633,9351174,715318,3948491,1425640,949601,64213782,985302,2203932
massachusetts,583034291,414887969,108408299,435551517,464749537,74451192,191004226,284161829,202209930,27122905,108971568,116276682,18627103,47787758,70106322,16656517,24001652,4111316,354872182,378027786,41940524,17102909,5495406,5127994,9679331,178227971,6278951,13929922,426282,293702,93742,293425,657717,2364739,172100,1960058,17310256,15238202,4796530,148093161,74163491,35612800
michigan,833795193,418808098,126070950,599939291,535555503,309019093,302094146,365310084,185157506,55803466,276797853,300482757,173441530,161547432,94868270,155736458,153095451,98538741,461286844,173408394,225916365,11328879,56459253,5633510,14792149,485135240,85051460,25489350,1335911,11565216,1566159,1904832,52860787,58353602,56436256,1567824,3981202,12261065,3417530,5252510,1797839,91263441
minnesota,155772551,230402103,122289569,280529599,249180371,103625679,88326359,55926963,95187582,60508183,81386621,116782454,36353005,42064606,28663022,61371784,87068862,6040212,218331082,312842858,76177783,6496094,33698382,6316755,3310477,93793434,30641917,7956293,2541406,29616016,3229188,1589850,10291250,19204604,10856706,747569,4092633,5185972,1613674,1753144,257631,38619949
mississippi,132287077,102313321,65081153,171730570,95854272,82454497,51438164,37348272,29492099,18711448,49261259,39275650,36647837,15646481,14045150,30005201,26717825,4989108,239270310,23706005,14553943,3003512,17812761,3623025,3339523,38559842,36795116,5066952,574720,10909717,1835428,1124622,23761283,25838237,7392540,199004,2717915,3303974,344036,1267421,410540,1391290
missouri,305599391,228685535,143713915,379401643,327449027,137185215,91701418,79582764,54628933,43128126,96252776,103616392,41050467,29434359,19356368,67118420,81788652,16552610,198366382,214658979,63859192,9663994,55837958,11201104,10362946,247341026,51034749,16973550,571471,24432242,4078810,2986772,93643107,32166623,17194256,,,,,,,1914493
montana,49117036,30616736,21028135,56465802,50464690,18426557,18398806,13731438,7939164,5922130,16470681,18692259,5796374,5727534,16239027,6677485,9940192,2454700,36782903,36665458,5831445,1894674,9464479,1859040,2001360,48224095,6230862,4089401,330364,395793,134267,184987,6299249,11819827,390850,199628,268475,1774631,319717,1191860,119996,462484
nebraska,74853211,51950320,46901825,115110437,101981125,29248107,20361744,20790374,15049752,13390222,33186793,34670076,7797726,7849346,8530753,7353420,19491465,1114599,111711505,43622253,28115874,6022514,10127935,3775125,1581322,20663350,2035243,2922884,1662166,5767484,2871148,408606,37505755,11907549,4659397,1813771,2552408,6793132,1578348,3500182,1331047,5572092
nevada,118329325,103193691,23506285,187529862,162916095,90569720,63924651,41404765,32232993,10801211,66636485,63334883,38983070,33605509,9790632,28177291,22157985,4381074,61104706,7655571,22830802,1798686,20428222,1632005,937436,95868745,16064308,5281160,133411,1465714,209004,284302,4517176,9915923,2151007,1843803,4565035,556888,172977,602908,79162,2511903
new hampshire,106079668,38922749,25791338,90247542,64938856,7448513,12658433,36254077,17571893,9020650,33783169,27172305,2761631,6116622,29450298,12442606,46091469,7293526,59477567,92064686,4199824,1951477,8933683,1289850,1896625,68386156,3492519,1456879,501810,6899082,346126,522472,4026795,1943784,2125294,209229,737887,1731188,1127049,231941,19263,901453
new jersey,1460557969,515957172,195914136,773443338,901521859,224073348,315194394,515456540,182076088,69198866,273122248,317857626,78969681,111889383,200189987,42594818,197678267,18575388,526123425,913368709,69787287,23059504,41246399,9704034,11681292,625761455,32749107,21734994,564691,2282616,3770384,1951910,20146820,19099223,13545257,6697994,4863596,42242820,7551638,6866745,6327581,16956472
new mexico,199309882,51453819,31826523,140465067,112030487,22637840,57922299,61480355,16910791,9058545,43877878,38748177,8977171,18236318,54684434,15000899,25940911,8314108,95584437,75179711,12560469,8468872,12017791,2953419,4280233,73685822,5266614,5970569,455048,2185028,124524,536072,772110,6572989,733516,1014679,57306,183251,16925,804983,10523,455616
new york,977320152,785482902,296165220,1410866319,1792727402,499237438,624185366,482229531,281352521,236079204,565457040,820273714,235448940,131200831,157274008,125766340,295948144,23455870,1423852175,1730443389,373364387,12569572,168580888,6619782,14426582,179741482,102833851,38668967,1317179,139421794,2784710,2140656,71067995,41348041,12456276,222426,147869,81498807,325562,1600933,113698,92919150
north carolina,424028947,336801703,82783135,607991691,369931355,287977753,170357804,98306588,79142333,21232005,141580396,108928483,74064683,50057373,44595295,43116094,60611042,12779011,246970564,80043178,121074206,6436479,19882507,6351408,7266366,320510781,61877860,32563230,95678,6358405,531607,656246,7455306,101747807,18445971,4004,61231,223233,354769,311980,1726562,2154021
north dakota,24356643,16052883,22919653,35109836,30596609,13487707,12354599,7225585,5424894,8019993,10388772,8180851,2412081,3575476,5245204,3485381,6691027,726085,21018966,15767404,4622460,1056113,3295991,1331199,360000,29687375,8221969,2144992,571670,3410859,666148,105856,6369051,7045288,2090267,138982,492914,2638530,254681,711884,373510,457197
ohio,726604097,726152446,287588295,661644013,648975618,403911064,297270995,235639901,293686823,101227361,256946133,265127895,186562026,127406281,177766135,181555144,144448539,139096818,779518374,184121567,193356892,21482169,47073159,8154809,17595128,108971286,120308119,23111990,8118972,28526547,4679807,3766256,63300392,70237940,35145159,17707280,12632561,40812168,34449847,4891522,1891341,213341267
oklahoma,185121287,103759891,92400116,206426923,162973114,77548949,60644231,53089400,29994204,25627167,57600353,50342392,22660362,17528548,41069232,26971340,23051438,4032294,189366098,22799647,28496242,35391743,17282234,2023227,7505872,175754926,34630054,14474287,972291,865920,166536,1114381,15030382,34683669,3776423,28100842,6297303,5327785,780360,1405151,569205,17689040
oregon,240038112,118980404,35768913,228728487,152694664,71947898,147477987,111221230,57879931,15125403,106439378,83996315,44957193,91711033,35057810,39746477,16711192,8611190,181013360,104535587,59101192,6031800,18873213,1910831,6116880,31941522,17280823,39737022,876732,646718,55197,450674,6701014,17640773,9567145,4926645,3284443,6158274,1470343,11282450,2189139,16746451
pennsylvania,718981780,450040808,291191165,664833956,838469477,157221119,370233892,239741499,155903676,105723032,225400690,337306268,59583739,139918270,105896968,155964669,207812900,44549189,736224429,833672578,217033058,20253690,86706345,16162549,15134299,395635274,57345739,48458263,2887913,53346260,2582958,3525710,35339509,20118502,42175719,1746908,3793747,30683349,2925125,3206741,1436567,39712207
rhode island,166683845,37667021,30285676,70681151,53922012,14747572,22397102,83628079,14330509,12702197,31041381,29663746,9560874,11922284,14701518,14616033,10365875,2235796,50963590,57094898,6852351,1008781,2530597,784054,1089859,46114621,2820936,975050,245568,300935,297226,204374,1068327,142929,1016810,614396,239886,1217348,343005,2127866,7538,439478
south carolina,285535841,279906577,28591634,298260241,189921174,137809274,113865349,79975336,78336296,19830155,84675445,64656424,41878897,39168560,23443746,48513863,19394818,6866573,174936558,33420783,33362536,15271814,29273160,1693753,4835033,184613652,2416288,19227693,1427384,2279096,189680,2795469,13632508,2034532,10416528,83512735,1142176,10024520,548108,3591417,609290,2434244
south dakota,33894741,25994253,20609583,39271908,38756726,11369974,17086039,9062700,6697304,6364967,11987574,12442290,2803726,6078407,16958726,5654036,6925655,1601867,49637290,17511028,13832479,1243739,6051880,1148175,675627,11753809,5566882,1443348,102369,3451591,138624,120712,14592582,5445101,2540104,142394,207030,2815682,247206,3445515,592766,1717678
tennessee,207767488,299717456,30259471,328708231,221963014,107682931,78141517,55376567,74726998,20878813,90534452,75724596,37449673,31621761,42590747,47045969,16944369,22658869,92304517,93194422,28252508,8417306,20418478,1148403,3156638,296800412,37662099,5519810,3657168,6301555,298122,1655267,4752991,25991576,6985011,7219826,10316907,82497568,1447857,19611513,5372153,4967890
texas,1542883226,1371789993,199998746,1872592446,1660907187,621275567,812333042,232993724,212348022,32676822,291351490,326238180,128663107,123198537,126410120,288664930,330394722,35546073,832806716,189869504,261094793,62340547,206301527,9981307,40640752,1756937483,165413742,111068748,2403614,23592325,571190,1455601,52501655,115743605,40861844,6532529,40963837,23430195,14212657,16882155,1631726,205360683
utah,85259984,92613356,21411442,150982814,128570130,60716728,45217720,33870062,36781793,9432541,60618117,52704155,25360250,19752863,13075933,14390308,11888775,3979954,54162350,8776340,13076789,5334369,13483931,2018189,1065196,88578096,17529364,4147142,345440,3047674,434031,361661,7975862,16712351,2323727,1125807,639690,315336,322469,705505,363994,24504
vermont,63940912,28955934,15122801,65566956,35844631,8791587,15216374,20187948,12573035,5297980,22059584,14247617,3116553,6074451,18002694,8872168,10538374,5686217,35345113,32814974,5468067,1546495,5362799,1058142,1884422,36062195,2426226,966487,363533,4426325,281142,843166,4891584,2728306,1581926,142451,452149,1075042,801969,130273,192318,6486206
virginia,469010238,540288643,112034870,578898356,495750035,378816952,125912447,156209056,185398411,41615448,194544711,187653134,145369045,53022547,24296699,98151940,41306302,12438365,529098748,53065118,34857360,5877819,80756357,17825711,8879284,102948763,90141005,6641964,2216670,51767310,7970263,1245065,41305880,66596426,3043740,47279,1855083,1608340,4473610,9272380,23942607,1698603
washington,447501890,295893964,91504852,424977047,322502860,183701048,195617981,154438977,94203182,25879537,137231654,134111813,80316727,65300686,51404771,30427110,57415743,8859400,356038603,80116213,83895614,6352434,22060959,7188849,8035653,66726775,46162152,22693315,488393,1677291,9355916,364237,14317774,51618478,6446220,452185,1391721,3132156,659094,2628757,1512984,1945064
west virginia,68735075,64569731,33216813,106830532,99884750,102094530,25703352,30433869,28339779,18455431,49686086,56558218,61728712,15263673,9247407,17843736,17894772,840434,68652939,16115313,5983504,2243574,9751677,2231848,860175,91999548,34058784,2306155,120688,955117,463379,118627,5097011,33762827,489366,17317,102666,421559,28912,650518,139674,56517
wisconsin,274886776,245282441,95178633,314667757,307237410,33681240,141656082,131104023,115027206,38359145,149789055,162859725,13348359,252184751,35434468,49684777,106017847,8016308,159339169,303392098,75785726,6912436,57066773,4984083,11034788,256917149,4461834,27953772,1115432,12439315,2606547,4637343,20578187,11456075,39069801,573223,3922974,4985376,1741346,537631,1593093,26907029
wyoming,48840558,46684748,11772155,47550832,50268205,31496403,25814870,16816833,15784346,4537719,17273922,20547953,11672206,10951313,6260784,13680530,6318256,1968813,13942640,4560428,7599552,1127943,7329259,1046309,1415060,40257484,10670075,3988348,980160,3114211,345452,419130,5374668,13036929,5607311,10640,180743,849835,461081,44640,85086,827697
