STNAME,2009_E212,2009_E213,2009_E214,2009_E215,2009_E216,2009_E217,2009_E218,2009_E222,2009_E223,2009_E224,2009_E225,2009_E226,2009_E227,2009_E228,2009_E232,2009_E233,2009_E234,2009_E235,2009_E236,2009_E237,2009_E238,2009_E242,2009_E243,2009_E244,2009_E245,2009_E246,2009_E247,2009_E248,2009_E252,2009_E253,2009_E254,2009_E255,2009_E256,2009_E257,2009_E258,2009_E262,2009_E263,2009_E264,2009_E265,2009_E266,2009_E267,2009_E268
alabama,218598213,189762357,71184884,282653574,170070779,152064396,64029895,83537042,69341406,22926533,106673343,88686072,100409124,25441660,35228688,30966958,18771190,14631315,101241438,31991440,29570653,33931185,18866549,2214440,9833897,250897955,36229865,8670445,1465055,185576,222218,176823,2935238,25079670,869755,2615936,3021855,58179561,2358676,100743,59698,3204958
alaska,84983545,46874011,12355195,69752634,67886077,6167951,32541122,55820432,29028881,7914502,46173416,46627476,5068296,22034398,15487969,26951915,7165572,3274383,54197350,47762778,16285981,3939127,9663996,644910,1714485,92172388,2316174,2351443,1409165,2773728,191275,217541,2235511,292093,1324311,821364,789728,1626068,169539,120699,15713,711127
arizona,621710031,162135644,54124929,306330487,297985788,160747142,147158904,88860221,42913740,15225290,79091776,97834751,55048680,45078549,76681390,21309704,39820746,24075787,267897825,52151694,53753921,16569600,4933003,2196028,5746753,266502942,44786455,5753701,3011437,23775943,3168248,2587109,42447103,49521341,19968959,141101527,540530,13332958,3207247,42258076,5572097,127700465
arkansas,143106864,189205817,59339154,170542081,132707149,78594101,55462532,36317751,45850577,16866689,43486110,37100277,20021120,15557941,25696400,59340225,15162188,3360896,102373464,21336490,18880096,5449695,38939663,3305491,4181388,130750986,31002277,11486522,694796,10273204,765495,455578,7930013,16052279,5007880,423486,3351401,8877793,656145,1153445,1111205,3974222
california,2116373146,2298776020,279433556,2824039341,2359728262,573206192,1404595912,655428664,704435700,106677907,934154683,954684623,237131741,535172318,260527238,759635420,166110138,179974771,1217489691,526172944,503710778,34515573,162623191,9500747,70173115,1618264338,136017078,101235165,1059560,12882945,547971,4359940,42259441,41023849,32646024,318132,2906526,10965601,1857823,224567,107747,7361777
colorado,243220644,252778033,51040284,367059537,270066126,133549118,178520482,56242895,57141798,11694296,83372527,70064711,36189243,43112683,24418109,54174882,46962104,21717296,178551472,19941462,257437836,6829176,28263374,3378723,13764965,180057814,24225322,27303902,1476083,6064103,2715064,3376357,19934710,23495710,43467583,3907423,2639914,4833923,3480042,414675,127509,5498386
connecticut,353386987,151305538,92063551,338180281,293743015,26904418,97808453,137294526,57216137,40956283,131354253,120455581,12040518,42355543,40433997,33362321,40153650,18105409,224771698,376176913,44321325,6425638,28839418,4246977,9192559,205722644,19963269,6536437,1625687,11773247,1733365,4105858,33083734,2403956,7895300,1640826,2166005,5030657,2150493,4370072,2122777,5010311
delaware,47100478,11433024,9774089,56528961,51674997,16820771,33615923,20352215,4948553,4180865,24561885,21654890,9334145,14168848,8430649,8447,5238079,7101788,75112980,68330556,22811148,457259,1358514,203985,684162,9133284,2933236,1245391,802251,17496,,61752,1641075,623257,58075,4832,,,,,,3428326
district of columbia,89300365,54365473,23972681,88636110,33033430,214380,41024320,9645303,8402356,4338137,16790268,10487585,20648,6011765,34142060,21776019,6562462,11933059,37615389,88217180,31926418,5261678,3290980,2533288,2707125,42744429,4881,5000443,43081401,765223,1867224,868050,6655273,,7119716,468637,455462,1842949,346729,866535,80461,1756402
florida,771059558,981825575,89290667,1001423108,834973790,490169427,332328349,233921382,277574257,31541351,299065400,323824792,206767030,103971407,65299246,133567694,34389953,16255436,561165087,99262896,144050807,15370551,96762042,2666675,13718399,742323343,136926893,14532023,4456139,6190619,867240,5452543,10240816,3874903,2463331,2110590,23194133,52989126,2375358,38697740,14554449,7633627
