STNAME,2007_E212,2007_E213,2007_E214,2007_E215,2007_E216,2007_E217,2007_E218,2007_E222,2007_E223,2007_E224,2007_E225,2007_E226,2007_E227,2007_E228,2007_E232,2007_E233,2007_E234,2007_E235,2007_E236,2007_E237,2007_E238,2007_E242,2007_E243,2007_E244,2007_E245,2007_E246,2007_E247,2007_E248,2007_E252,2007_E253,2007_E254,2007_E255,2007_E256,2007_E257,2007_E258,2007_E262,2007_E263,2007_E264,2007_E265,2007_E266,2007_E267,2007_E268
kentucky,174377177,195620495,38094790,222948130,180439730,171611638,73079728,44082994,45800630,27500309,61434363,72713698,74505462,26414054,9739661,20895849,44303730,5137839,95130337,17356105,16566480,3486135,23604705,3763383,7152800,153116494,48029961,6329070,937458,26871082,1662630,1608449,11148754,38181050,8490480,931113,9292266,4329569,611065,887018,450440,753702
louisiana,185752210,209584307,25896033,231290247,147005248,145246696,70611946,55699176,60208461,14299493,77860336,65373849,81745252,28575116,13266413,17355831,95439919,9946613,249645231,84528409,47823643,4801095,22767574,2831028,3875870,168277720,24677318,13093051,1023252,3540667,1162120,1653394,18075848,18372964,13468626,778136,3245419,6593592,2981950,4908569,2462893,11588965
maine,54024803,51294732,21736073,79227753,68455550,39853517,19655718,22612510,21232995,9480718,31620439,23620477,15248847,4957773,7721485,7344629,11410208,5580236,67541075,30116452,9848887,5006331,4632147,1305713,1781167,71118438,14658094,1178491,6064022,5594006,641992,543713,4320745,4677747,506619,368855,356827,1207443,1013098,1280481,315341,1405466
maryland,307261214,347608941,41273067,483410302,389655529,178533819,165129971,101733984,117051322,20611470,164641944,129405215,62573115,58932732,18398257,45175485,11470557,12160593,150355440,248211362,46260217,4048369,38041554,1326469,10869338,232288974,24784323,15877668,941564,5957060,436922,2092968,14972932,20641618,14625889,487483,4553221,1590400,1060602,58764797,957066,2885309
massachusetts,433814503,425609414,108259662,405778789,440972303,66280488,184955460,174220150,152341809,36117090,102115268,117684588,47920540,41608302,62090341,5529074,64696908,4733323,284663334,337884940,34140748,26313496,2734453,5655967,10780878,161106541,5996442,14275036,47864,972519,75784,63818,586332,1959553,167523,2559164,1759327,11518093,5174739,131182647,73732611,66471974
michigan,808571485,433393541,129127587,610541570,575772618,318452876,301466507,358347115,192440269,58244440,284339073,327828653,180239801,158684846,84358112,149823535,146911278,92167327,449465675,151918246,222509469,11403967,59092245,5990653,14956361,462732331,85431582,25678239,1424192,10334235,1538989,1719986,49522494,63888227,35236481,1435298,5484109,10727328,3592165,5504435,1918027,99859924
minnesota,141163171,205377217,114124374,270229712,237442335,96197339,80043738,42152066,69231160,38418752,60497862,81625092,28042251,29729262,28058769,56970328,89601048,5751853,209064288,292128325,78460198,6927064,34869945,5609510,3501570,92413167,28806819,11161038,1554320,23544395,2556018,1417954,9039892,22518141,12175277,642744,3687355,5333749,1899484,1394900,196301,40960385
mississippi,119848434,94073428,59234700,157664766,87331660,75940227,45120115,33179670,26652000,17756250,44310512,35698517,34285493,13190644,12795396,32540517,22994023,4653655,237178497,20089454,12551553,2819523,20906658,3422407,3237929,34969162,35438579,5649424,690920,18096867,1936485,1466929,20002974,27740443,12220636,897892,2290343,3352360,288451,615095,355143,1932917
missouri,283599477,206511575,129069219,337918322,291441448,121130421,75038589,68086601,46325458,36840901,80503882,88323621,34283215,27487503,15647507,51196241,58074782,9182867,178167348,197313002,43955771,10570428,55838630,11497841,10411159,228267276,45819262,11748452,940629,22191605,3679777,3081890,59929395,40896495,19654572,2438337,4143513,14061621,1387020,7060547,4251171,2597053
montana,46417951,28120893,19032124,52714240,46173421,16114856,16937233,13639257,7419440,5617759,15161051,17039494,5048632,5116793,11730939,6936343,10225762,2339124,31332623,33979433,5442786,1715853,7902823,2117563,1597584,41482192,5806205,3557364,136826,410583,146568,235533,4572499,8785068,329603,195934,136142,2462053,282379,1644769,121066,444002
nebraska,78873504,54388242,46170387,108894044,93232661,28034134,20412649,21818124,16802295,16525412,30618668,31219734,7642236,7621201,13767718,8899785,22015522,907391,102010692,30164634,30087224,4772050,9452952,5043093,1458987,17390354,2794121,2193474,3673861,4549727,4842119,773538,21783798,10074935,8484383,2606731,2604014,8105211,1909446,3748511,1449364,4431254
nevada,83114958,47606024,31101163,165639524,141668428,77446024,115589633,27011242,12712216,11216106,52950455,46653657,27283408,38669915,5174428,23277181,19055629,2355142,54922881,7356184,42573720,2661031,11074507,1736930,759670,93124640,14364011,14399323,73125,2304174,457446,279694,6488192,13105681,4135893,2155063,2539511,649192,112242,345099,99383,11875567
new hampshire,95044455,35098558,22478908,82580621,59785135,6710316,10621624,31062763,16018625,7560195,29702063,23551181,2402340,4605460,25647306,10164161,42056691,7468172,52095508,83617179,4112482,1984377,7845180,1441575,1789350,59630727,2770099,1117591,652317,5814613,537458,642832,3661337,1855569,1404483,230013,460466,2262251,1158919,240706,17272,647345
new jersey,1323903622,485053578,192324191,999663485,840623935,202588135,19732060,486824929,169253506,91011112,367758302,376075512,84060842,73100614,212137331,39441609,195899053,81647037,489123354,883896150,5771179,24511792,40181165,11212729,33835366,555184366,33521051,4196478,482552,1994552,1838745,1627881,18720098,13598544,12806061,6517464,5506071,38894645,22983106,8584254,6544427,1180916
