STNAME,2008_E212,2008_E213,2008_E214,2008_E215,2008_E216,2008_E217,2008_E218,2008_E222,2008_E223,2008_E224,2008_E225,2008_E226,2008_E227,2008_E228,2008_E232,2008_E233,2008_E234,2008_E235,2008_E236,2008_E237,2008_E238,2008_E242,2008_E243,2008_E244,2008_E245,2008_E246,2008_E247,2008_E248,2008_E252,2008_E253,2008_E254,2008_E255,2008_E256,2008_E257,2008_E258,2008_E262,2008_E263,2008_E264,2008_E265,2008_E266,2008_E267,2008_E268
nebraska,75973338,54889953,47254803,111486683,97921505,29499793,21296147,20647410,16980788,15466435,31602937,32765342,7927542,8286338,11456507,12957511,21306372,1163897,103270535,40932997,27699092,5214705,9878662,5734339,1384848,18950090,3603520,2951756,1255584,5147529,3964379,1086302,28744293,10184552,8717851,2036035,3144509,8847814,1665483,3258288,1483524,2124707
nevada,111457524,99190159,33497818,178692068,157084047,87343532,51559644,38427528,30841320,12974909,60956095,56008209,33016863,20174048,8622334,26219174,22602004,4136103,56454935,6723586,35431712,3603262,19891145,2571408,1186313,103753769,19604678,4567879,295063,2022029,183976,481993,4384461,23750109,949251,2238879,4697781,2792133,171735,348225,32048,1468178
new hampshire,100475031,36311838,24538950,86770405,62879254,7023643,11988698,34223052,16643234,8734950,32494638,26145085,2584914,5715852,27542929,11493976,43570959,7154937,58797123,88681735,4002504,1951016,8161161,1427618,1834298,62144234,4163619,1125458,457005,5946393,544909,592199,4254588,1254459,1693010,225983,481456,1869821,1178266,152901,21947,880619
new jersey,1408211800,500385058,197252362,1036901103,866826382,214260852,16734235,606912855,207365763,115088516,454419630,473979206,105977055,96503318,255805823,41915270,199327534,84954147,513853139,906607367,5775989,24985490,43026646,10158170,34831286,618268408,42839981,4443285,259600,2007636,1458711,3230581,20729150,15871649,10940418,7604433,5188442,36025937,28557174,7454110,7864217,1254228
new mexico,194930859,55185126,30974615,129231191,105464425,21964238,49530417,57205244,16984024,8566133,39493907,35449472,8327795,15308610,52608277,14914252,25099010,8887261,93300781,71521885,15349689,9904465,14350838,3110707,4186637,75735870,6667191,5687002,489013,725188,157726,432783,1146168,8824806,688942,193829,117548,150603,6382,791211,12957,789869
new york,921811015,746283803,278640069,1342248352,1719585021,480806047,561805208,451474904,260679238,219216104,529458151,767921690,220094634,122785239,151098944,121921522,308769018,24058854,1414055419,1655679065,394605380,12260754,174927567,6662282,15158374,176695173,121754912,34973936,1136020,127359140,3576091,2718169,68053296,35501893,14874891,211358,143294,120588751,312261,1635450,109859,92701992
north carolina,424748348,171731289,200067496,564045050,340595613,268773984,178577392,97237676,40140390,46603986,129009332,100079168,66730256,50943177,38901925,14883504,63403145,39175590,321891680,39866687,94923665,3657929,8061765,9058077,7687643,105116886,69743546,21926866,1928575,4054569,2236821,4775957,32907613,48681915,22081266,,,36071,,,,
north dakota,24513302,16323916,21753644,32476760,29193301,12883719,12110215,6851258,5235596,7686015,9350874,7755401,2246537,3142898,4422897,3514620,6894267,1292983,18652906,14772866,3683768,1064247,3147327,1352217,369612,29397707,10439336,1606666,850839,2672364,758187,149973,5937602,7614905,2854639,140313,315416,3091062,247087,533688,527431,1293403
ohio,697312326,700539581,286280855,648752361,636166840,396188673,289376877,226079368,275319981,102206974,250232036,256552021,181097147,122465915,169935407,164324656,128201087,119488810,762000708,171799406,182340882,21090802,48420240,8775818,17908424,103359619,145097945,24464216,6807553,24547277,5118295,4622965,65099514,73191562,37712745,17577644,12875795,39021433,33991687,4685592,2132139,216013663
oklahoma,180126477,101543920,90868250,201758527,157152484,77270869,58959323,50022682,28096160,24488935,53915516,46035783,21137814,16495365,39236524,24283864,22265279,2545192,171543258,23690140,25676451,35240074,18272646,2502679,7497626,165640490,42891118,12228735,1141408,895689,335618,1140878,14822555,26163019,3530952,26411560,5641575,5821970,998030,1479487,527303,18536824
oregon,226309655,111829344,41431732,221154043,147001787,69219008,137053747,102034349,52972979,15001750,101214061,78525475,41587961,86230777,35221858,35953222,16454833,9789419,187583918,101956149,58287305,6686877,21156526,2227292,7929946,34627781,22018507,40350376,613655,939762,76974,634498,7753256,18102428,10090870,4241995,2535857,5571282,1312406,10736358,2196521,22226221
pennsylvania,683714671,428902070,281309569,646698964,808636704,153944500,344387010,243621549,158738658,105345203,232069598,344157250,61348208,137700071,102488260,143714277,198020642,39540606,701921022,790509065,199123199,20162046,85117832,15951996,15570648,370630783,52946346,46694410,3453883,52521276,3150504,3696902,31469529,20856536,40852885,1788329,3216111,28462126,4027238,2710864,1356981,37829548
rhode island,156116881,61060352,13876748,68072787,54459474,14491832,21796107,80736638,26938009,5827632,30582741,30113191,8543609,10645090,14100229,12984517,8606898,2399131,48260185,52847941,6500693,840374,3566268,1003859,1153366,46706631,3635021,1021170,148055,398034,193733,180749,810106,173484,560139,746755,1831151,1135139,340244,2131934,10672,459017
south carolina,268053261,270737922,26779082,282130249,181291327,153865504,107370630,75112481,76728256,16968376,80433689,62085188,45729223,33597435,23694958,57567241,24105014,6756656,173615461,36823692,37077592,16994975,36553511,2096124,4762011,185793138,3383656,27390416,2019930,3232522,214169,400387,12063046,42171359,15240518,86092855,1138923,10413470,490134,3332484,634855,2493862
south dakota,31147284,25012137,20105262,37547552,37708775,10757856,16626247,8297848,6325664,5906343,11394378,11791135,2564443,5831397,16242352,6100443,7043117,1621779,47421840,17535542,12167320,1224687,5641650,918984,738907,10994529,6824701,1386618,52293,2821194,67964,137007,10667679,4037097,2801198,29718,312931,3191688,260856,3785348,623933,985650
tennessee,195168780,281530082,29055571,314779855,218471303,101833565,73705365,50921549,69028849,20770557,84041607,76819010,34869296,30318620,32620618,51672492,18465882,20000988,88806395,90935959,28166370,13363709,21407661,1065591,2526233,273543201,45529985,7022700,1793206,8019255,254168,1305875,9909085,31993517,11811342,6618365,10246669,78010999,1617142,19229292,5364648,4348286
texas,1473801078,1316242242,190084761,1777790125,1592885197,597899031,764703690,224777546,205271057,31203754,278720534,319678683,127095622,118364697,125154564,334348962,320226260,34847117,742998714,173849016,249579024,63017731,206673657,9839875,45427797,1748237178,219463740,113056440,4797638,19204923,875405,2197485,63692036,140434832,58442739,6794259,38618773,27635389,14432226,12494758,1025240,152439244
utah,79601069,85076009,19766157,140425567,120519389,57203796,41566938,31301946,34525684,8653848,56296911,49278080,23936252,17981534,11907806,13147327,8607897,4312711,55335526,7859233,11170853,3453973,13510863,1847666,1071946,87670979,20377907,5187361,777662,3371152,210403,229449,6936542,19623969,4212564,628146,674636,423278,335781,333494,381500,139009
vermont,60593839,27254412,14296639,61946771,33734016,7996575,13892742,19395779,11647791,4945102,21404796,13722539,2999988,5382758,17702756,8134789,9782595,6044262,31490464,31131268,4819429,1555831,5199526,963462,1805316,35142949,2893942,907227,536608,4361266,286314,742692,4029132,3170783,1421893,177372,310342,1361647,772425,90724,64797,7448303
virginia,446463102,516113556,107953270,554356270,483159294,366505245,120436045,152688015,182572679,39419798,194692082,176398608,135441801,50084230,20452754,95842978,40751864,12728985,496487562,49558265,29782952,5845618,80209328,18013371,8681681,103377275,107264849,6965057,1177012,53866311,10942674,1089137,40212964,66742909,1958757,1908173,1202738,3143327,3246644,7454592,24597047,1555594
washington,420451693,283991008,85769275,403910327,308077295,174124281,185126801,136771727,84841240,23215072,121867516,124206365,73683297,58517136,47619126,29491452,59867597,8735535,343816087,75319973,79907236,6719700,20348802,7310092,8701602,69526090,59088042,21361988,527794,2351253,1628536,432319,14073417,42095633,8238153,605829,1533048,2489270,709419,3002109,1426924,2363429
west virginia,64239586,60643011,31860556,102028569,96590259,98064247,24542634,28978257,27121614,17331340,48305700,53360694,59676089,14665329,8449498,17483495,15258039,843527,66042838,16010264,6128049,2026623,9819544,2023303,572034,81721389,38474755,2049529,235913,582877,952929,153227,3618831,31067056,395773,40860,69962,542312,41111,1096216,135333,77791
wisconsin,262145534,235748375,91626429,304102905,302416333,32880434,137594497,123539049,109882056,36436636,144468517,158947602,13020571,238170846,36473731,51237319,100562585,8047817,161490604,301788894,73731948,6110630,56875131,4782829,10806998,258959601,4748011,27919970,1028918,13842071,2970979,4899567,19260046,11571732,30149169,564458,3880447,4660039,1774457,472261,1634066,34860598
wyoming,46685571,41788507,11196068,44941569,46461389,29218583,23482114,15876222,14307439,4176557,16404474,18963024,10791529,9175451,5746076,12515391,5662209,2007159,12719249,3980448,7076639,974106,6847896,1140179,1461364,38485282,11673084,3772357,319319,3181193,869292,406937,4789297,13015680,4745761,21349,204373,828049,521784,66669,88722,728846
