STNAME,2008_E212,2008_E213,2008_E214,2008_E215,2008_E216,2008_E217,2008_E218,2008_E222,2008_E223,2008_E224,2008_E225,2008_E226,2008_E227,2008_E228,2008_E232,2008_E233,2008_E234,2008_E235,2008_E236,2008_E237,2008_E238,2008_E242,2008_E243,2008_E244,2008_E245,2008_E246,2008_E247,2008_E248,2008_E252,2008_E253,2008_E254,2008_E255,2008_E256,2008_E257,2008_E258,2008_E262,2008_E263,2008_E264,2008_E265,2008_E266,2008_E267,2008_E268
alabama,213927477,192827474,71906603,284516456,171866227,151982711,63673246,82508048,70661027,23185496,108461345,91671291,102397934,24807700,35723550,35025954,19330867,14267761,107189459,29656747,30471531,35092960,25677362,2521315,11116595,243761779,53687848,12644527,2742378,693235,563171,841900,6725373,74494937,1395506,2687360,3849015,56632192,1826718,187071,43212,2534817
alaska,71630623,44128799,11326691,65710112,63322252,5935646,29938433,52437406,29080843,7822643,45642713,39167108,3686940,18493302,9774391,18792198,7228887,3218883,51416835,46207671,15458310,3347205,7676743,599017,1877599,81150539,2273567,2270052,665721,2431320,187670,395253,3347060,678092,2551753,796011,796739,1503487,242528,105716,14691,68471
arizona,596901569,153827289,54152128,292895440,285146421,161931556,151330801,83968769,41343656,14959277,75057265,91049384,52426903,62380052,71431622,18581676,41283097,22749909,251375383,52502921,78509180,18040672,5500318,2550120,6527824,260072522,56478117,21958569,4569626,25208524,3411757,3371716,44059203,58175923,25379357,130742096,669335,14562962,2659294,37797446,1417260,21833213
arkansas,139090126,183606524,58903153,168392425,130038357,78126512,54917965,35290980,44454526,16880800,42750772,36694248,20460436,16562752,24210842,50251164,14784644,3259153,91837205,23146164,17523316,5177943,37090693,3726510,3959114,122330177,36423031,14346488,528257,11165324,733382,650157,7173455,22217450,5180359,396993,2915375,9897188,799002,4289540,1085159,2911959
california,2088056218,2414421930,280171188,2856438226,2379323420,579763322,1405939471,677716746,767133114,107374524,953338474,915324561,230769923,518281234,254810736,839728767,157326942,181103888,1322165773,514902862,520381790,41338845,249741011,12964930,87540734,1619103759,166715221,134075588,2214922,15667891,654387,5781375,59672821,59691185,38879261,356974,3205295,11357068,1979384,241146,89369,7243896
colorado,228711305,237139562,49431053,351885902,256758341,129788141,164629886,80589911,73867398,14407929,124078266,94754068,43873623,69486836,23557138,56496498,68105537,22387670,169763508,19721915,231042629,6513334,26917081,3551397,14400282,182454388,31172481,27756678,1294757,6501994,2655164,8846442,16749805,24952543,37184282,3726921,2705134,4532182,3357933,526239,183925,4031509
connecticut,335893955,146649866,87306434,324658235,281742846,25346011,95924880,127816442,54809370,38763640,123154545,113355987,10996567,40842238,36733602,34659444,40902726,17719879,218454472,352095620,46753051,5475551,26595109,4540643,8063986,186553409,17845058,6052862,1678340,13452946,1440026,3550066,31670580,2666164,6144341,1054430,1375076,4415984,1717263,3747536,579853,4902710
delaware,46625170,12377629,9423185,55026475,50088009,17185109,35558450,20783993,5458468,4112259,24613025,22320832,9826459,15608362,8602990,20198,4647434,4600686,72513221,66183852,25823094,393750,1409521,268684,457844,8303209,3992754,1786359,930950,30860,764,34383,2181438,4863133,73877,4650,,,,,,2705250
district of columbia,42899072,39902060,20731756,51103841,52346546,53186359,20002444,4904378,4997254,2106729,7637673,11388561,12234306,2645821,25049954,23535177,12335076,722156,27060985,18081024,23477076,59183,651699,424103,1141173,44324548,4413911,1779269,20119,1290101,104885,102430,998803,2208886,4285336,17974,209226,,,,,25978835
florida,792130752,1044871343,96495747,1029400738,866644674,518271819,348922265,233324878,292699215,34559394,299985242,326687800,211073499,106031388,63324152,147179184,40588532,19470863,598785552,98534559,157679774,16660931,116816921,2850043,17036463,756534760,173515159,22899125,6485685,9515994,1302622,8007695,15192682,5950924,3811882,2516800,22486866,47926834,2529505,46175566,15003890,14502716
georgia,566873713,495555876,103429721,683933441,434842895,377085743,200096514,92114354,142902875,29254054,210808558,95689197,86134198,109002439,53629513,84287992,49327874,15974979,258595534,62077777,164067654,23178176,72896026,6994564,21503571,346836901,137273829,50083687,1354992,6598725,1222872,1706496,20686326,87082548,15492442,7899559,23300401,19243977,7165850,2454909,822650,54109608
hawaii,107491806,47235359,7603261,86265418,53269206,626918,30365378,39397505,17127721,2655736,31617040,18271752,229777,11111206,82904780,9763995,4962592,6156461,28855391,46239694,21218420,8936275,3673743,2048788,6530638,55529556,6195929,4955782,592786,449794,151190,854595,2054854,5225,624387,728422,777872,149567,345410,814814,1159,139126
idaho,73673588,39833833,23281196,78757980,61529459,31333027,19170474,23106220,12839414,7179528,25127454,24353652,13203717,7408415,9622477,12332711,8658720,1921675,68075012,34540024,9357822,1350887,12482730,1934539,829229,17861383,12565626,2775905,258425,2973656,332577,261785,8639991,4142550,2588296,1090,292222,1753744,32398,6795862,541752,2125312
illinois,1005322643,579550348,298403924,794425951,712199977,238144179,316393289,309634495,195009336,137193052,279630102,285208424,95754268,137072656,86769554,137813481,230072989,29053634,632716579,664860582,214943264,18795546,103371184,15546050,17284737,552139716,93087468,44918633,5660538,47328978,6033446,5906870,250052246,66669455,61362899,701466,3313108,23093507,2427678,4633091,1928740,62099671
indiana,283237619,782502542,94510514,370724262,363216355,240114974,65870969,77773220,114262464,31998589,102787299,115347896,62129698,101654311,20332684,52636538,32085710,6228041,320399508,135039426,23941287,6529247,27202068,7109528,4466251,206876279,86062952,89878015,1639686,76931408,778075,777498,23774108,82175648,72632906,614614,5047602,4921049,1112643,2330512,1547807,21140282
iowa,185661261,123142470,66636024,192257168,149093071,74085553,70972703,52781978,33836983,23000158,61969403,52587704,17936361,26998891,15592101,21065917,24980595,7281458,80937913,37386628,25122681,3211120,24567754,3318247,3226734,125565442,37044622,11412614,635081,23208675,771298,1076886,11574829,22420856,10060999,328981,646929,2584536,735638,407486,265790,9611920
kansas,194034710,135370373,76186751,205662430,175314281,58898732,65589157,44302711,31819522,19027124,47801120,50188227,12049146,18461193,18143628,28699765,32340037,6725652,73881554,76209007,20746559,5635617,22120390,5476068,4607867,136754613,32449148,10423107,10092248,9754566,3042847,2746666,32998334,18100926,12798356,1236334,1519024,9359909,902183,5991807,7329686,3341953
kentucky,190520924,211565782,40452673,238902984,191967455,181712515,77136459,45995201,51553239,30784145,67578926,81559456,81905203,28581172,10467933,20775868,46206699,5584326,96763818,17773099,18449993,3367219,23363075,3893600,6414873,165793531,62068982,6333610,818786,15324843,1192795,1758148,10655505,28518037,10209485,995124,9204512,4991815,729887,1034021,694075,716370
louisiana,211797329,232385979,31869423,261447925,165060343,165270712,86555526,64673478,68685085,17804711,87199525,69036729,85165066,28862676,13923061,20620544,96957556,12064798,261189348,95136030,43298058,6556013,27460450,2897406,4879193,173374506,34897255,16124625,1270920,9461115,1229258,1992161,9903617,22962882,29004692,647779,3247915,17536180,1916893,8899000,2914263,10747891
maine,61028853,57812578,20854231,84156087,71006635,41175966,18664102,25536291,23934813,8814338,33197309,25698881,16466805,4669685,11341332,10649166,12157670,5800637,67579615,26080169,10818516,5596482,5157905,1279867,2170849,74150439,18105150,999780,6682179,6168012,731269,300575,3418789,4965288,631064,505473,478101,766790,1004669,503377,3328258,1529830
maryland,351681726,385782451,45038533,526031861,421910031,194402459,181239468,123378747,141468190,16148450,188166476,141905918,71196525,69370528,23432892,54869598,12181645,12562105,161920997,273041037,58292957,4407173,35396336,1191405,10909376,252514229,32202872,12522099,893784,4612280,537285,1650400,13251536,17065532,9335429,668090,6549878,1545343,1046865,66404045,758959,2777674
massachusetts,543449163,433186230,111273631,420259621,453687212,72122020,213389188,206104959,160324585,35789117,108808417,125397720,51060771,44336021,69866535,6912750,7448263,3871111,296831262,355659223,36345675,15425483,2939097,5226925,11811152,168905187,7323193,11954241,36939,972519,58487,49252,452502,1959553,129286,2273512,1886271,12869940,5015372,146747788,79834424,36622798
michigan,818665655,417432290,125374117,599924843,562274004,318073672,299310673,357749313,184567799,57822299,276476589,313352520,177101224,161951784,87104842,150537437,151494536,90579508,448014704,165475727,235274254,11950481,54445382,5989267,14311550,491438981,107340634,26427472,1581605,10523817,1367549,1845822,39059545,57548157,47027299,1212612,4134826,11663929,3594820,4533913,1779784,102629771
minnesota,148321014,225544886,118158520,279275334,245514486,100545829,82787101,45262497,77377526,39528156,62888562,87082950,29793371,30513202,28022988,59549395,87982926,6435305,217543462,308221937,76635352,7024115,34134756,6563365,3389587,100333260,37819056,9081222,2128363,28256908,3178112,1354162,11458064,19219907,16322939,469176,3727708,5524970,1670869,1539273,372327,42020201
mississippi,127451631,97913246,62513979,166574587,92317668,80483090,49340409,36115591,28450518,18184604,47835923,38336868,36115993,14926505,13946107,33090248,26497290,4826360,236352413,22084704,12287861,3183637,19392838,3682105,3396061,37069082,44139813,5329295,743630,14666202,2346995,1356099,21580046,29219844,6270618,807590,2806055,3866077,366228,630560,362412,873879
missouri,298384910,220164376,132702334,364766686,313149685,130167472,87900390,74895715,51262387,40662592,89291912,96751492,37867884,29015027,15038322,59205114,60250741,16037570,185534214,210156183,61613516,10100049,60336641,12385802,11490505,246966327,59800589,16815660,1271958,30595504,2694454,3574117,88946103,34385789,20870059,2181293,4561923,14312074,2452028,7736201,5192372,3175246
montana,49720667,29202874,20135863,55293876,48671471,17320588,17316515,13526329,7632017,5754512,16086375,17835819,5401261,5417545,11815228,6456407,10044246,2361002,33854789,35234513,5769313,1997273,9014316,1906894,1892126,47059455,7093947,3875750,151052,424268,193520,172693,8137132,11919705,674027,182034,191774,1995307,295267,2861760,99544,430518
