STNAME,2006_E212,2006_E213,2006_E214,2006_E215,2006_E216,2006_E217,2006_E218,2006_E222,2006_E223,2006_E224,2006_E225,2006_E226,2006_E227,2006_E228,2006_E232,2006_E233,2006_E234,2006_E235,2006_E236,2006_E237,2006_E238,2006_E242,2006_E243,2006_E244,2006_E245,2006_E246,2006_E247,2006_E248,2006_E252,2006_E253,2006_E254,2006_E255,2006_E256,2006_E257,2006_E258,2006_E262,2006_E263,2006_E264,2006_E265,2006_E266,2006_E267,2006_E268
georgia,469158645,438714248,88425566,599547002,391933377,320673465,169759854,107107453,139814869,28624982,202503314,108197483,94240285,57967659,50591633,83610214,36055400,15995081,218284273,51178903,115859559,21645877,66681596,6173641,20274141,301111438,95920342,44711328,2389993,7574407,1315696,1359844,19813982,71216679,19556903,6181147,20870470,20535881,7833432,2494545,883451,33888166
hawaii,103020265,40107515,6076731,80148076,56236845,602917,24685161,38400679,15038354,2280254,30179253,19826664,206760,8849774,67169709,6878506,4722225,5497847,23002702,32985360,12320558,7402042,3375447,637235,5176941,41159578,984731,4263070,1481618,1084353,1163680,2547207,2321317,6662,1917060,538178,464055,119028,148854,1089186,6120,116994
idaho,66327856,36870430,20812422,71191178,56149326,28690209,16784826,20664263,11902563,6504658,22133324,21908685,11620670,6210052,6611256,11736634,7237394,1842739,57380972,29265814,5346802,1156873,11782527,1572141,695557,14992748,9932736,2784710,221654,2421348,706570,254839,7525663,2856273,2677708,17171,437311,1798038,19547,6327857,861553,1244532
illinois,895479792,547132992,273424925,725118612,647619230,220568167,284960321,227880127,146464845,125604714,208977286,232164770,76631647,105946046,76482279,115521815,221359785,25178168,559911225,589993432,198919383,17691029,82406854,13379385,16985339,479909459,63382039,40223117,4382662,32393125,4761943,5031621,192465418,58496640,45449310,669665,2994767,20456272,2239535,3796168,3114978,32369027
indiana,256481546,136226094,89964756,344492874,345052592,221222734,110721586,126902621,67402309,44513001,170449100,170726039,109457173,54783120,16302714,42118111,26451106,4410036,443027811,129189581,72310472,6478408,25907713,6084229,4075220,44823830,64243374,10570097,2294023,10771619,945354,184140,22565073,79557816,17018365,965403,21261641,4372218,1379991,6591892,1584926,132297037
iowa,167388579,114913291,62895480,175453344,136236740,68658406,61819197,47320275,30650539,19845843,54021791,47119498,16627761,24590686,20480130,21470987,23771749,6765325,76232075,32546527,23414988,3439193,24180433,3747029,3037570,117525296,29408628,10001269,572937,23721467,934368,1013269,10070665,22502636,7035593,372331,637989,2380925,672695,266044,242471,8899889
kansas,170083648,112657378,68969825,185272231,157056676,51986101,54193003,35463644,24533643,17103680,39309970,42576566,11540365,13893388,15224333,24746510,30975491,6284034,63742854,70954463,15793940,5395351,21734195,5094126,4272150,124837241,24109628,8254496,9443264,9224110,3917960,1397580,22912291,16698268,12414436,1487793,1793134,9825945,1191567,2623676,2903731,6842883
kentucky,161981556,187501662,36940445,211904309,174304502,163944044,69606831,39002903,48164162,28633776,58453117,68920897,69830037,24157806,9958557,23225548,41938814,4607188,91422460,16175808,18833217,3013230,21110547,4712813,8492788,151275631,47138892,5493283,792788,16855093,1530669,1204920,10222811,32193299,9500086,714780,9712667,4490725,529950,715894,526330,612248
louisiana,162300897,187582223,24629716,207209460,137103168,136231218,61653523,52653014,55600896,13147790,71996396,63273903,77033616,23074151,8362114,13839761,86713015,7807125,256231688,63034724,37604627,3858220,18044270,2251072,2227322,166046343,22827674,7986993,793387,2902034,508924,1884260,18214516,21224019,8279215,1379404,3205621,6176777,1338927,4053687,2849965,11915116
maine,49592658,47060216,22088661,77598025,66654384,38219870,19297483,18542824,17324783,9180345,26936329,22128299,14314760,5304286,5230055,4858776,10681844,5084706,61416559,28713445,9494655,4510358,4143945,1279916,1849807,62608545,13393539,1147349,2134822,1968890,763465,447160,4336327,4386207,684219,556358,509719,1338149,1065129,794855,293727,1656825
maryland,276745088,308065589,50071428,454071425,357316759,168299067,126781284,93349831,107614604,24158151,159077171,111523398,64835998,47957938,17503336,46261732,15638137,11720612,125384611,221276989,61214008,3358038,34986264,2123589,11265064,202078374,24436893,13522378,1023832,5215718,544403,1915733,10667400,17890327,8837845,385739,3873799,1530620,976669,55446265,790551,4929587
massachusetts,416341395,424999655,100832460,392206297,425150733,58292062,175487351,160096044,138298178,30644583,93234057,107449357,43752892,37989446,58103006,4725723,56915132,4857138,271843442,310663493,30570605,13631715,2311640,4996354,10657946,147118169,5576608,10544722,464051,2590949,734747,618734,5684620,5220569,1624177,1752383,1757896,9226795,5101754,123688408,68966741,84831993
michigan,784407055,435389446,130856061,616808619,580979519,321440326,313255815,340186835,189659527,58651725,278190071,317005256,177589531,153058954,70624987,140939167,134569857,87294065,435752225,150643055,201828883,12376611,55800562,6590024,14271225,476161162,87017062,24372126,1660180,11481463,1873855,2426902,43026738,60421592,37969372,2633821,4901258,11194113,3632439,4485135,1738768,90386195
minnesota,133603775,194984917,109910689,260516176,231537023,93156921,79141587,38786702,65036374,36213333,56814739,76943284,26328650,27182367,26669538,56372396,50391146,5393090,198168186,274698377,82966098,6030607,34326530,5139711,3338583,93599757,28201327,7811271,1571028,21811434,2491983,1427889,9395200,16826573,14773564,568515,3679645,35487967,1587016,1280320,284029,44272493
mississippi,115438140,92557481,57627564,147648122,82133777,72033178,41605913,30390896,24950967,15792350,39858456,31870006,31166839,11499925,11568365,31186955,23084471,4522893,242929608,19122559,10921864,2864780,18021279,3257395,3096925,34081164,34171038,4890605,701603,16325797,2370630,1450076,20588493,29146039,5125074,274902,2216875,2975260,269785,1165742,318721,1642384
missouri,267652726,198228049,120751442,323587124,277236541,114026134,69434054,62403885,43640559,34947494,75439163,81885521,31230495,24473437,15900057,46313500,47603261,13685309,176203255,189702249,39082800,10008037,48070888,10179618,11140251,224033371,44965400,9342413,1413358,24132603,3151657,2349498,52603850,29878565,20355989,1772158,3785126,11753789,2227964,6594775,5139145,3686459
montana,43006189,27179070,18646011,49992768,43805468,15747840,16012519,12778492,7215745,5234053,14278127,15856771,4946565,5779213,9619602,7186007,10373517,2600412,30274367,31763271,5482256,1858356,7812479,1838119,1670513,39867008,5362207,3547133,356721,675407,155178,179895,3647967,8462268,212371,166667,382044,1759951,291583,1538323,90823,462777
nebraska,76705739,51701978,43922699,102177956,88211109,27256423,19003122,20875078,16010064,17262286,28655061,29062303,7278705,7736825,7768333,7637361,22347001,1186870,93763283,34511023,23924902,3770744,8988873,5605681,1188757,16209268,2782429,2941101,2581655,4411157,1621009,640967,22606424,8291382,4315850,2851863,2382911,7474086,1724514,4909769,2179574,4816540
nevada,76683222,40048503,23365396,153618838,125872013,67761702,97777410,24882975,11363826,10376517,47908086,41879616,23120666,34804650,5601399,18425772,15498000,2583557,47525778,6485977,35769352,2841026,9137250,2114117,870248,80589633,13318741,14400047,415923,2286305,267205,331879,6185593,25833525,5698167,1753725,2396464,667615,680977,976656,82489,7494074
new hampshire,93602936,33225799,21146742,79103008,57144997,6551656,9993793,29177127,14533337,6737944,26934223,21530486,2204506,3552557,21891318,9684534,40776114,7049282,50336424,79790582,4541216,1844924,7765402,1354048,1968605,56168096,2078156,1089911,567766,5255262,302162,644697,3017485,1728428,1444820,212437,470293,1702203,1047354,134908,27285,777154
new jersey,1262859458,467100003,184605439,970395042,822081650,196397203,17626138,380802677,127208678,82747393,287763320,333871320,71632071,92627678,209658896,43149961,196767560,80196504,469407641,824847773,5396666,23925989,46722489,11609241,35211735,524481667,31440729,1442953,1411648,1368513,2403775,1806246,19927466,15733978,15544717,4927197,5745237,37209967,23029412,8110308,6924838,951240
new mexico,169206779,44994531,32021554,133129527,92460840,21129332,35382517,50233168,14697062,9191315,35819081,29986682,7483278,7721223,29262052,44110615,37213245,117346,75205431,68110350,2972718,12403045,15200498,4110435,47652,72335785,5659294,1774051,1898474,1441865,430830,477256,1054750,6553996,340205,2236547,8027774,670916,129778,791097,9824595,605045
new york,827390433,667758610,255550715,1186269536,1595750966,435796602,438762311,378290741,216120214,184286721,444425909,643102535,184251430,103024869,99285402,119335315,287091585,22153298,1289550989,1414653749,277456815,12591802,156492500,6396017,13861579,145698975,89362282,43167859,1181624,104704225,6979583,2243228,60806941,29495817,19111549,177942,123241,59967626,258950,1595977,38323798,131094981
north carolina,418691050,265474240,98740708,512378992,296563442,236499702,136637992,96418859,63969174,25061974,130049998,75272554,41677602,34680912,43506575,76003365,48713819,33688066,363667483,41303082,73758379,9486621,12985574,8169020,4280939,101611941,89539660,18359295,309884,1051251,585764,198042,12838265,33592457,4153146,342447,952407,23603405,782607,9211415,2286845,17663983
north dakota,23078269,14361828,20749858,29674303,26848646,12106351,10904663,6190856,4701014,7334863,8400067,6963340,2064714,2858962,3933788,2877060,6727160,1337314,13247196,13971528,3391834,941326,2851294,1085810,401501,26376106,7728812,1440298,732029,2830480,788281,129653,3543456,4287867,1929082,140287,442356,2779292,228249,275169,319037,318228
ohio,666843113,672259265,271870924,630502831,609028738,376176410,269347075,210522551,259251480,92311123,235837708,242554974,169658290,112332162,150312023,151747883,110878283,123150473,711885498,158901674,165824534,24009194,57411994,9573549,18473440,93351373,115626396,22016427,8523082,24037124,5413730,4607846,67910487,58401820,27200194,15104616,11503784,38969629,34803530,4857436,2912791,192483008
oklahoma,152179241,93229463,79947843,184097483,141192703,70648476,54813619,39183960,24412584,20804197,45943027,39928360,18821937,17055658,35181160,24104327,19729776,1584824,176014793,23822290,27322848,32671761,27965340,1984256,5898995,156815718,31504645,13403315,2256752,2522265,295618,580171,13535121,30644829,5865255,25842117,6701858,4270370,853062,1155378,587674,17674106
oregon,201851198,93867053,30467831,196352670,124720379,61190233,121330848,89139869,43849233,12879856,88794234,66833942,36045786,79111853,35873605,31363858,14774813,8850804,169741961,96242043,50379505,7102772,19374487,1743711,6609046,29689000,16636347,27560149,790332,745645,97754,373043,5595186,18836724,7369624,3327395,1963548,5454112,1214121,10867333,2378058,13701307
pennsylvania,633089739,398870837,268727465,603876677,763421300,147568187,309257983,210164495,136138175,100077661,203032558,306675837,54347115,119450729,88575431,128004605,205993236,34720466,609586523,698130704,162109168,18737938,80048433,14304319,14704591,350248028,37573450,35537541,3133322,40768192,3583573,3213193,24654708,18737940,28150521,1990423,3060924,19490444,2990843,2090271,1048638,56710364
rhode island,144247828,56212698,12696914,67525930,52164864,12770482,23098676,65240320,19202994,4780039,27216020,25699871,7981422,11129887,19524391,12374422,4901462,2540182,38649826,49345688,6288083,1232044,3796471,319343,945220,44187813,2859921,652233,254655,586798,169153,162817,772199,35963,612377,219868,1142418,833927,340956,43068,9840,361962
south carolina,216144470,231958362,25763941,248857827,158180248,130974641,89678995,56737359,61037131,16362154,66695419,53773525,38692288,26232641,22153748,54076755,18637073,6410217,150656178,30694626,27335415,14411350,34100202,1863906,4682768,166963111,3089837,22790531,1615767,4913311,277534,654598,13647604,7299647,10854352,81716144,1031044,6810190,532091,3025078,873159,4116764
south dakota,28715089,21822493,18613147,34815375,34192463,9755570,15570640,7632633,5584542,5341719,10340263,10741562,2335869,5364832,14861193,5536695,5760554,1305744,44611571,15472640,11014441,985828,7626545,1222109,581647,10131889,5069431,1693716,40286,3549815,74059,169552,11707282,4309703,6243750,37239,275885,3335685,207752,3619118,644595,1061133
tennessee,158353828,243335786,27071491,277915685,197959039,90040618,56863417,39626393,57202613,17961858,71729559,64761600,30287676,23856540,19447401,50440136,17186445,11245945,81659685,82788148,13390771,4221744,17761060,985403,1932168,248775589,35414984,4588708,1828629,7561501,321136,2138289,5981942,25600806,2554833,5383593,4412534,74789952,5262650,17801452,5176249,3288743
texas,1273788167,1157371782,174999334,1545608819,1416919411,517062207,648210814,197178597,183999702,27306120,245831944,305608887,120104719,95103476,112796298,288245467,290556681,34271458,632830713,153118829,210844695,53329580,204566675,9479702,41147207,1513045611,159009177,94744815,4856561,22957499,911213,2172702,46628756,120783701,47636469,5957863,33929202,25324734,12294298,12526981,2635038,140306785
utah,65921124,76662688,16782212,119060886,102125217,48281453,32989798,25327885,30320431,7318002,46344183,41426514,19769436,14125077,8795012,11886572,6984868,2313603,43026271,6780144,9386823,2144755,10219151,1321318,843287,84711390,15651144,2639813,303392,1637970,25757,229235,6144125,16326403,2190919,629145,1185819,271205,267518,,429090,232876
vermont,56688796,23203220,13929333,55589489,30525414,7532719,12900276,15914312,8766721,4976274,18138760,11935986,2798120,5089669,17024487,8802390,9502851,5702008,26444342,27834649,4408559,1611435,4525584,802923,1780788,29558694,2263975,1085820,379111,3108632,353050,838934,2869624,2246909,800873,364713,303049,970298,796693,147318,76607,3886656
virginia,407825115,451481142,95421067,496821841,428391083,318243454,104841930,115087689,136373581,29948577,146393815,140870788,106399758,38326574,18017092,75796336,33926701,11671821,445323520,42338836,26177655,6042715,71010324,12900549,8470795,91479692,79386681,5776053,1227040,48165999,10376232,1291389,41664440,58920318,1588053,1500195,497160,681399,2639306,9980362,12993143,1379530
washington,374535403,262878633,85396402,371470522,279426401,159926343,157120047,107995666,69439565,20338076,99821493,104382946,62687431,44535521,35418229,30702831,55871072,8867464,317268236,68371951,66788169,6221247,21425827,8322150,8511155,60149001,47893163,17067750,535575,2286290,1765589,663085,20543078,35553569,5570183,614064,1390943,2428534,791271,3386318,1092505,1766788
west virginia,56359163,50793508,29908629,93062507,89864117,91270400,22107304,27263742,24839955,18302993,47535339,50812883,54225132,13491420,8942056,17180242,16040366,766413,56748364,16598247,5243994,1823671,8474734,2647265,528361,75122272,29480609,2139210,202990,881255,439184,68595,3372327,16975504,406961,191842,53432,496706,41015,566992,91999,11215
wisconsin,246433903,225271716,88240307,288132617,290878894,32025714,124257985,113165895,104295254,35417254,136142740,151862542,12610659,188859008,32928144,45393414,97328445,7660888,147280896,279530910,64292081,6419013,51817740,4681587,10484572,243147898,4627013,21265943,1427365,12125458,1853822,5505010,17494834,9970005,25367696,811686,3510224,4258919,1680276,425235,1933339,33040927
wyoming,37436129,26702606,9125986,36769990,38559895,22066026,17528879,12904541,9252451,3422886,13435731,16130349,7406693,7284796,5243673,9729600,7030988,1698383,10985206,3704499,5359281,1158143,6652508,1006415,1784199,36395315,8906173,2717788,360178,4208531,567096,345363,4481340,10925379,3658031,17634,199426,793410,201916,64339,51393,1085851
