STNAME,2006_E212,2006_E213,2006_E214,2006_E215,2006_E216,2006_E217,2006_E218,2006_E222,2006_E223,2006_E224,2006_E225,2006_E226,2006_E227,2006_E228,2006_E232,2006_E233,2006_E234,2006_E235,2006_E236,2006_E237,2006_E238,2006_E242,2006_E243,2006_E244,2006_E245,2006_E246,2006_E247,2006_E248,2006_E252,2006_E253,2006_E254,2006_E255,2006_E256,2006_E257,2006_E258,2006_E262,2006_E263,2006_E264,2006_E265,2006_E266,2006_E267,2006_E268
alabama,170933354,159719812,64853947,241821448,149774596,121849909,52587518,59536612,52488754,18518498,83174007,73534601,79753389,18626864,30346034,36304296,19706600,12862865,92168191,22926836,30623045,29920364,28848157,2427004,12692301,215045620,38685906,9946823,303751,658563,299416,305655,4694889,40467214,1125513,2498454,2999791,48921507,1443728,60893,51904,1847184
alaska,59312386,42691284,10380525,60529665,63211936,5442576,28589081,23935300,16381460,4355269,25120980,29817551,3018837,13011775,9894729,14001800,6428913,2882569,40890779,43645561,13225903,2337143,9482753,582023,1610351,67251937,1153492,2053859,267881,1978924,201182,299755,2015180,510074,964450,1044730,583019,1422603,169697,50422,89339,
arizona,279269396,117199517,52085805,260069781,255072799,134602626,132643115,67946540,28399745,13168238,60548114,73551904,40220195,49844907,34876931,17380842,38042000,18023211,212303696,50614657,73568709,15799222,4595682,2606869,5072826,220413326,43132205,17784098,3716275,19903216,2997661,3044630,34614661,45190879,18364142,2570996,613269,8183952,2086690,24897935,2586995,19691710
arkansas,118655299,141483083,60719930,157962962,117603294,70189530,49761951,29422498,33317607,17068318,39073540,32281195,17998443,13646653,20267815,35337733,15992044,2409355,91603501,18921437,16730002,5669073,29133929,4472894,3014586,111028895,29467747,12837206,659573,6836761,942149,593989,10932165,19790968,7792420,329359,3115791,12941642,370148,1903750,624304,3105392
california,1684068985,2049972094,240074615,2518366818,2048972809,512680186,1203752431,531731963,650044906,94581339,848158714,816567783,212450038,492517821,204093340,651240266,128312300,145169730,1056730273,443308183,475189106,38502384,252114769,11018627,102742686,1458372381,136963624,127161468,1140028,48932363,903266,5591482,45394353,47452761,34304156,278137,2276644,9656287,1405979,181540,85693,5684481
colorado,204937662,208914194,42364521,309060835,237435459,112835479,144713931,46408849,46576312,9125679,71641363,58768734,27741768,35420344,21172959,47553048,38585164,17979614,185721627,17854039,403291776,6343610,24378226,4085484,13178060,176588900,23666542,22934330,1248398,5724164,778894,4458692,14940487,23181028,40082021,449248,2884644,3844416,2542093,163005,97882,8614956
connecticut,306128211,137283895,73252820,293988633,255675257,22304000,84499822,107040376,47558960,30626452,104190039,96567023,9147317,34101135,32307420,31172241,35543228,16453295,189656041,310237188,39283708,5108910,22898102,3875041,7304820,156160832,12585228,4737168,1123639,8788074,1175348,3450114,27968100,1956726,4829160,1681752,2520966,4598586,1623499,2763629,313285,5166193
delaware,42165566,11228135,7991579,51300458,45754353,16542988,37684197,18112579,4755518,3390456,22008504,19717965,9030368,16010499,6424866,3992,4706872,4286892,64735859,54131347,30655485,384084,2344702,443932,621720,7148586,3559033,3409631,872461,11364,103022,104637,1949704,1066923,54317,,,,,,,2742621
district of columbia,48637112,35207502,12294616,48015949,47201152,48228656,16434736,6125723,5439012,1881654,7131509,9376084,10310754,2952357,11331430,32146993,12389546,53606,24267269,13407770,22450382,263653,2361194,275979,838701,52196200,2869572,4192464,369433,7535316,180070,640230,1096307,6082782,2770061,,105,,,4407,,2014136
florida,711563699,900875784,84874811,900819137,772008504,463954066,305255765,197161216,237326277,25212041,246255186,275436298,180385234,86157406,55814983,131959612,37287385,17923913,559031120,93424580,124930947,18225051,124102492,2782591,20003131,705291461,137436213,19178486,10381911,14891004,2220306,12520015,24800269,9343490,5755153,1827518,17958440,60411011,2363085,40223207,10911269,10280598
