,STABR,2006_R1A,2006_R1B,2006_R1C,2006_R1D,2006_R1E,2006_R1F,2006_R1G,2006_R1H,2006_R1I,2006_R1J,2006_R1K,2006_R1L,2006_R1M,2006_R1N,2006_STR1,2006_R2,2006_R3,2006_R4A,2006_R4B,2006_R4C,2006_R4D,2006_STR4,2006_R5,2006_TR,2006_E11,2006_E12,2006_E13,2006_E14,2006_E15,2006_E16,2006_E17,2006_E18,2006_STE1,2006_E11A,2006_E11B,2006_E11C,2006_E11D,2006_E2,2006_E212,2006_E213,2006_E214,2006_E215,2006_E216,2006_E217,2006_E218,2006_TE21,2006_E222,2006_E223,2006_E224,2006_E225,2006_E226,2006_E227,2006_E228,2006_TE22,2006_E232,2006_E233,2006_E234,2006_E235,2006_E236,2006_E237,2006_E238,2006_TE23,2006_E242,2006_E243,2006_E244,2006_E245,2006_E246,2006_E247,2006_E248,2006_TE24,2006_E252,2006_E253,2006_E254,2006_E255,2006_E256,2006_E257,2006_E258,2006_TE25,2006_E262,2006_E263,2006_E264,2006_E265,2006_E266,2006_E267,2006_E268,2006_TE26,2006_STE22,2006_STE23,2006_STE24,2006_STE25,2006_STE26,2006_STE27,2006_STE28,2006_STE2T,2006_E3A11,2006_E3A12,2006_E3A13,2006_E3A14,2006_E3A2,2006_E3A16,2006_E3A1,2006_E3B11,2006_E3B12,2006_E3B13,2006_E3B14,2006_E3B2,2006_E3B16,2006_E3B1,2006_STE3,2006_E4A1,2006_E4A2,2006_E4B1,2006_E4B2,2006_E4C1,2006_E4C2,2006_E4D,2006_E4E1,2006_E4E2,2006_STE4,2006_TE5,2006_E61,2006_E62,2006_E63,2006_STE6,2006_E7A1,2006_E7A2,2006_STE7,2006_E81,2006_E82,2006_E9A,2006_E9B,2006_E9C,2006_E9D,2006_E91,2006_STE9,2006_TE10,2006_TE11,2006_X12C,2006_X12D,2006_X12E,2006_X12F,2006_TX12,2006_NCE13,2006_ADA,2006_A14A,2006_A14B,2006_PPE15,2006_MEMBR05,2007_R1A,2007_R1B,2007_R1C,2007_R1D,2007_R1E,2007_R1F,2007_R1G,2007_R1H,2007_R1I,2007_R1J,2007_R1K,2007_R1L,2007_R1M,2007_R1N,2007_STR1,2007_R2,2007_R3,2007_R4A,2007_R4B,2007_R4C,2007_R4D,2007_STR4,2007_R5,2007_TR,2007_E11,2007_E12,2007_E13,2007_E14,2007_E15,2007_E16,2007_E17,2007_E18,2007_STE1,2007_E11A,2007_E11B,2007_E11C,2007_E11D,2007_E2,2007_E212,2007_E213,2007_E214,2007_E215,2007_E216,2007_E217,2007_E218,2007_TE21,2007_E222,2007_E223,2007_E224,2007_E225,2007_E226,2007_E227,2007_E228,2007_TE22,2007_E232,2007_E233,2007_E234,2007_E235,2007_E236,2007_E237,2007_E238,2007_TE23,2007_E242,2007_E243,2007_E244,2007_E245,2007_E246,2007_E247,2007_E248,2007_TE24,2007_E252,2007_E253,2007_E254,2007_E255,2007_E256,2007_E257,2007_E258,2007_TE25,2007_E262,2007_E263,2007_E264,2007_E265,2007_E266,2007_E267,2007_E268,2007_TE26,2007_STE22,2007_STE23,2007_STE24,2007_STE25,2007_STE26,2007_STE27,2007_STE28,2007_STE2T,2007_E3A11,2007_E3A12,2007_E3A13,2007_E3A14,2007_E3A2,2007_E3A16,2007_E3A1,2007_E3B11,2007_E3B12,2007_E3B13,2007_E3B14,2007_E3B2,2007_E3B16,2007_E3B1,2007_STE3,2007_E4A1,2007_E4A2,2007_E4B1,2007_E4B2,2007_E4C1,2007_E4C2,2007_E4D,2007_E4E1,2007_E4E2,2007_STE4,2007_TE5,2007_E61,2007_E62,2007_E63,2007_STE6,2007_E7A1,2007_E7A2,2007_STE7,2007_E81,2007_E82,2007_E9A,2007_E9B,2007_E9C,2007_E9D,2007_E91,2007_STE9,2007_TE10,2007_TE11,2007_X12C,2007_X12D,2007_X12E,2007_X12F,2007_TX12,2007_NCE13,2007_ADA,2007_A14A,2007_A14B,2007_PPE15,2007_MEMBR06,2008_R1A,2008_R1B,2008_R1C,2008_R1D,2008_R1E,2008_R1F,2008_R1G,2008_R1H,2008_R1I,2008_R1J,2008_R1K,2008_R1L,2008_R1M,2008_R1N,2008_STR1,2008_R2,2008_R3,2008_R4A,2008_R4B,2008_R4C,2008_R4D,2008_STR4,2008_R5,2008_TR,2008_E11,2008_E12,2008_E13,2008_E14,2008_E15,2008_E16,2008_E17,2008_E18,2008_STE1,2008_E11A,2008_E11B,2008_E11C,2008_E11D,2008_E2,2008_E212,2008_E213,2008_E214,2008_E215,2008_E216,2008_E217,2008_E218,2008_TE21,2008_E222,2008_E223,2008_E224,2008_E225,2008_E226,2008_E227,2008_E228,2008_TE22,2008_E232,2008_E233,2008_E234,2008_E235,2008_E236,2008_E237,2008_E238,2008_TE23,2008_E242,2008_E243,2008_E244,2008_E245,2008_E246,2008_E247,2008_E248,2008_TE24,2008_E252,2008_E253,2008_E254,2008_E255,2008_E256,2008_E257,2008_E258,2008_TE25,2008_E262,2008_E263,2008_E264,2008_E265,2008_E266,2008_E267,2008_E268,2008_TE26,2008_STE22,2008_STE23,2008_STE24,2008_STE25,2008_STE26,2008_STE27,2008_STE28,2008_STE2T,2008_E3A11,2008_E3A12,2008_E3A13,2008_E3A14,2008_E3A2,2008_E3A16,2008_E3A1,2008_E3B11,2008_E3B12,2008_E3B13,2008_E3B14,2008_E3B2,2008_E3B16,2008_E3B1,2008_STE3,2008_E4A1,2008_E4A2,2008_E4B1,2008_E4B2,2008_E4C1,2008_E4C2,2008_E4D,2008_E4E1,2008_E4E2,2008_STE4,2008_TE5,2008_E61,2008_E62,2008_E63,2008_STE6,2008_E7A1,2008_E7A2,2008_STE7,2008_E81,2008_E82,2008_E9A,2008_E9B,2008_E9C,2008_E9D,2008_E91,2008_STE9,2008_TE10,2008_TE11,2008_X12C,2008_X12D,2008_X12E,2008_X12F,2008_TX12,2008_NCE13,2008_ADA,2008_A14A,2008_A14B,2008_PPE15,2008_MEMBR07,2009_R1A,2009_R1B,2009_R1C,2009_R1D,2009_R1E,2009_R1F,2009_R1G,2009_R1H,2009_R1I,2009_R1J,2009_R1K,2009_R1L,2009_R1M,2009_R1N,2009_STR1,2009_R2,2009_R3,2009_R4A,2009_R4B,2009_R4C,2009_R4D,2009_STR4,2009_R5,2009_TR,2009_E11,2009_E12,2009_E13,2009_E14,2009_E15,2009_E16,2009_E17,2009_E18,2009_STE1,2009_E11A,2009_E11B,2009_E11C,2009_E11D,2009_E2,2009_E212,2009_E213,2009_E214,2009_E215,2009_E216,2009_E217,2009_E218,2009_TE21,2009_E222,2009_E223,2009_E224,2009_E225,2009_E226,2009_E227,2009_E228,2009_TE22,2009_E232,2009_E233,2009_E234,2009_E235,2009_E236,2009_E237,2009_E238,2009_TE23,2009_E242,2009_E243,2009_E244,2009_E245,2009_E246,2009_E247,2009_E248,2009_TE24,2009_E252,2009_E253,2009_E254,2009_E255,2009_E256,2009_E257,2009_E258,2009_TE25,2009_E262,2009_E263,2009_E264,2009_E265,2009_E266,2009_E267,2009_E268,2009_TE26,2009_STE22,2009_STE23,2009_STE24,2009_STE25,2009_STE26,2009_STE27,2009_STE28,2009_STE2T,2009_E3A11,2009_E3A12,2009_E3A13,2009_E3A14,2009_E3A2,2009_E3A16,2009_E3A1,2009_E3B11,2009_E3B12,2009_E3B13,2009_E3B14,2009_E3B2,2009_E3B16,2009_E3B1,2009_STE3,2009_E4A1,2009_E4A2,2009_E4B1,2009_E4B2,2009_E4C1,2009_E4C2,2009_E4D,2009_E4E1,2009_E4E2,2009_STE4,2009_TE5,2009_E61,2009_E62,2009_E63,2009_STE6,2009_E7A1,2009_E7A2,2009_STE7,2009_E81,2009_E82,2009_E9A,2009_E9B,2009_E9C,2009_E9D,2009_E91,2009_STE9,2009_TE10,2009_TE11,2009_X12C,2009_X12D,2009_X12E,2009_X12F,2009_TX12,2009_NCE13,2009_ADA,2009_A14A,2009_A14B,2009_PPE15,2009_MEMBR08,2009_ARRASTE1,2009_ARRATE5,2009_ARRAE81Z,2009_ARRATE10,2009_ARRASTE6,2009_ARRATLEIZ,2009_ARRASTE4,2010_R1A,2010_R1B,2010_R1C,2010_R1D,2010_R1E,2010_R1F,2010_R1G,2010_R1H,2010_R1I,2010_R1J,2010_R1K,2010_R1L,2010_R1M,2010_R1N,2010_STR1,2010_R2,2010_R3,2010_R4A,2010_R4B,2010_R4C,2010_R4D,2010_STR4,2010_R5,2010_TR,2010_E11,2010_E12,2010_E13,2010_E14,2010_E15,2010_E16,2010_E17,2010_E18,2010_STE1,2010_E11A,2010_E11B,2010_E11C,2010_E11D,2010_E2,2010_E212,2010_E213,2010_E214,2010_E215,2010_E216,2010_E217,2010_E218,2010_TE21,2010_E222,2010_E223,2010_E224,2010_E225,2010_E226,2010_E227,2010_E228,2010_TE22,2010_E232,2010_E233,2010_E234,2010_E235,2010_E236,2010_E237,2010_E238,2010_TE23,2010_E242,2010_E243,2010_E244,2010_E245,2010_E246,2010_E247,2010_E248,2010_TE24,2010_E252,2010_E253,2010_E254,2010_E255,2010_E256,2010_E257,2010_E258,2010_TE25,2010_E262,2010_E263,2010_E264,2010_E265,2010_E266,2010_E267,2010_E268,2010_TE26,2010_STE22,2010_STE23,2010_STE24,2010_STE25,2010_STE26,2010_STE27,2010_STE28,2010_STE2T,2010_E3A11,2010_E3A12,2010_E3A13,2010_E3A14,2010_E3A2,2010_E3A16,2010_E3A1,2010_E3B11,2010_E3B12,2010_E3B13,2010_E3B14,2010_E3B2,2010_E3B16,2010_E3B1,2010_STE3,2010_E4A1,2010_E4A2,2010_E4B1,2010_E4B2,2010_E4C1,2010_E4C2,2010_E4D,2010_E4E1,2010_E4E2,2010_STE4,2010_TE5,2010_E61,2010_E62,2010_E63,2010_STE6,2010_E7A1,2010_E7A2,2010_STE7,2010_E81,2010_E82,2010_E9A,2010_E9B,2010_E9C,2010_E9D,2010_E91,2010_STE9,2010_TE10,2010_TE11,2010_X12C,2010_X12D,2010_X12E,2010_X12F,2010_TX12,2010_NCE13,2010_ADA,2010_A14A,2010_A14B,2010_PPE15,2010_MEMBR09,2010_ARRASTE1,2010_ARRATE5,2010_ARRAE81Z,2010_ARRATE10,2010_ARRASTE6,2010_ARRATLEIZ,2010_ARRASTE4
alabama,AL,-2,-2,837722644,507421446,3563199,902980,0,86597,80153773,129652208,162052015,233545389,1945426,0,1956056100,84058553,3547078153,18646756,722134379,320732,17738068,758839935,580959698,6346032741,2175489042,785451414,88963202,2899939,463446,267903434,6410373,12374024,3333081055,1547398697,270249489,103060191,31595980,54654671,170933354,159719812,64853947,241821448,149774596,121849909,52587518,961540584,59536612,52488754,18518498,83174007,73534601,79753389,18626864,385632725,30346034,36304296,19706600,12862865,92168191,22926836,30623045,244937867,29920364,28848157,2427004,12692301,215045620,38685906,9946823,337566175,303751,658563,299416,305655,4694889,40467214,1125513,47855001,2498454,2999791,48921507,1443728,60893,51904,1847184,57823461,293234818,280360810,154427556,351994349,530583901,263267944,113631434,1987500812,126356741,81266365,8118380,162492066,9676871,260700,378494252,0,0,0,0,0,0,0,378494252,0,0,0,0,0,0,0,0,0,0,5699076119,568901113,34665566,1090636,604657315,126642357,219255610,345897967,4392325,59655,5213908,48910000,0,54405772,82138,108529680,99840240,6480739477,165071452,19394445,4345018,0,486023763,5213052356,714197,-2,714197,7299,741761,-2,-2,894501933,530029150,4085621,597700,0,51942,127830437,134694732,166901600,414531127,1533359,0,2274107959,34677523,4070906870,17951268,680820941,316410,21387684,720476303,1377692804,7100168655,2377493739,886986737,97936916,2291851,449274,277200826,7017400,13783921,3655693990,1693304819,290577423,109246691,31909765,49958721,191608576,177829517,67583945,264651864,161420914,138037529,58838872,1059971217,69611377,61006929,20114324,94179108,81809632,90122289,21210442,438054101,33827080,34599002,20969653,14257608,96016320,27739280,30516820,257925763,32590570,27530430,2779701,11447766,225972699,42409222,15148212,357878600,1818551,414314,203073,301587,5353916,60790659,1678961,70561061,3039157,3587941,52316216,1855346,148773,54552,2764651,63766636,330676760,304553819,163763839,386391692,565368338,298362872,128478997,2177596317,137483273,89477388,8805250,175727560,9845741,247364,411740835,0,0,0,0,0,0,0,411740835,0,0,0,0,0,0,0,0,0,0,6245031142,533363047,68253443,988212,602604702,139486155,175509018,314995173,4672889,17730,2990259,51998697,0,77592935,78455,132581891,156762042,7072411011,163317409,18915190,3018178,0,492466089,5752565053,714302,-2,714302,8053,743632,-2,-2,1008349501,521992210,4472406,857859,0,65547,100677170,140198902,170649308,323567193,1271119,0,2271177809,19327842,4658854378,19043053,702466104,227284,22645757,744382198,259009303,7693742227,2553753211,1013988946,103804295,2587035,491104,319782186,10007220,14818812,4008734485,1804977199,304741266,113324891,32245284,64679609,213927477,192827474,71906603,284516456,171866227,151982711,63673246,1150700194,82508048,70661027,23185496,108461345,91671291,102397934,24807700,503692841,35723550,35025954,19330867,14267761,107189459,29656747,30471531,271665869,35092960,25677362,2521315,11116595,243761779,53687848,12644527,384502386,2742378,693235,563171,841900,6725373,74494937,1395506,87456500,2687360,3849015,56632192,1826718,187071,43212,2534817,67760385,369939395,328040832,173576473,420188875,614675827,337768452,134131821,2378321675,147426551,98887720,9511931,189278219,8535979,278629,445383050,0,0,0,0,0,0,0,445383050,0,0,0,0,0,0,0,0,0,0,6832439210,658549466,53217548,1165080,712932094,135073890,161184763,296258653,4167358,3675,2506981,55425690,0,59671708,95543,117604379,160481545,7773241958,167437611,23854965,2925621,0,510809932,6321629278,731161,-2,731161,8646,742919,-2,-2,1043596176,501397938,4025811,727973,0,68802,47466026,128942617,168944599,368894988,1263362,0,2264531517,30943176,4166017520,19495654,736281511,491591,21321839,777590595,547045259,7239082808,2538696534,995728866,103224835,2219880,297840,245035128,9873274,12595363,3897500606,1793872596,193587327,110639595,30379331,31885024,218598213,189762357,71184884,282653574,170070779,152064396,64029895,1148364098,83537042,69341406,22926533,106673343,88686072,100409124,25441660,497015180,35228688,30966958,18771190,14631315,101241438,31991440,29570653,262401682,33931185,18866549,2214440,9833897,250897955,36229865,8670445,360644336,1465055,185576,222218,176823,2935238,25079670,869755,30934335,2615936,3021855,58179561,2358676,100743,59698,3204958,69541427,373911064,311959125,173276608,416150805,610996987,320754523,130917611,2337966723,147099193,96426640,9553397,195007438,9012202,289313,448375981,0,0,0,0,0,0,0,448375981,0,0,0,0,0,0,0,0,0,0,6683843310,840542112,35492724,1216950,877251786,140620613,287969119,428589732,3556058,0,2347106,53209557,0,55894641,73718,111451304,86603203,7725995987,190070673,15232367,0,3414143,511893572,6171949738,712179,-2,712179,8666,745668,9346415,11376880,93748,1957476,222674,5783300,0,-2,-2,1066021960,510878707,4089031,447497,0,68041,24867476,131231168,178530095,327971818,1211133,0,2244801388,26720185,3800153264,19420093,1124843535,332455,23419758,1168015841,479515327,7239690678,2527833534,998529795,104085015,1853069,395947,258190506,5451356,11889250,3902381169,1792844992,188274018,110278708,24837500,16553537,220488723,184476547,71493964,280776328,165131520,149547462,62316315,1134230859,85123368,68865117,23191359,107013111,86236304,99001716,25160680,494591655,37516631,38546821,19007797,13204357,98856315,34480262,29342504,270954687,36805545,14017666,2952577,9848269,246923962,40345037,8824680,359717736,1367897,194267,102484,220791,2591054,28081293,1005098,33562884,2623851,2420693,44556645,2321614,102694,32899,12467481,64525877,382558118,308326844,161202342,413163679,597250795,323407376,138111660,2324020814,145097291,94578805,9357016,194830804,6699006,250810,444114726,0,0,0,0,0,0,0,444114726,0,0,0,0,0,0,0,0,0,0,6670516709,656833380,28320527,788763,685942670,130096322,239733567,369829889,3834811,0,2403698,49855616,0,57702927,21118,109962241,74843654,7515990795,298806716,16190863,0,0,630059006,6040457703,698208,-2,698208,8651,748889,369660033,381295043,138409,6187052,2689876,99711346,0
alaska,AK,-2,-2,169308873,180834960,0,0,0,0,11988478,12186450,6943996,34964440,0,0,416227197,0,1005181375,45529754,137031654,2109687,106521415,291192510,0,1712601082,551604528,223009277,49074469,0,0,42269974,7561600,8645424,874603672,-1,-1,-1,-1,-1,59312386,42691284,10380525,60529665,63211936,5442576,28589081,270157453,23935300,16381460,4355269,25120980,29817551,3018837,13011775,115641172,9894729,14001800,6428913,2882569,40890779,43645561,13225903,130970254,2337143,9482753,582023,1610351,67251937,1153492,2053859,84471558,267881,1978924,201182,299755,2015180,510074,964450,6237446,1044730,583019,1422603,169697,50422,89339,0,3359810,96524288,83140316,23169333,90313262,201222625,53349805,56880618,604600247,15705532,7350842,913835,20031065,561251,4417,44005691,611222,270905,3396951,2064043,894226,91970,6435091,50440782,0,0,0,0,0,0,0,0,0,0,1529644701,190276669,18679242,12735455,221691366,37842026,42600126,80442152,6885629,13422,0,787256,0,0,0,787256,46682642,1774276897,42696403,968522,2203553,56318,65055242,1464589459,122010,122010,-2,12004,133288,-2,-2,187315856,184230186,336566,30500,0,0,16994123,12056955,7434521,57647671,0,0,466015878,0,1146630399,55345585,128048697,1971027,98837475,284202784,0,1896849061,561122474,261062514,50715139,189179,30500,48780235,8317273,9198345,931067886,-1,-1,-1,-1,-1,63148780,45896470,10269839,62380029,60570438,5986411,28005309,276257276,29215796,20291982,4857587,30119249,32532136,3435714,14839895,135292359,9694252,15539268,6532209,3131120,47951499,44113687,14376611,141338646,2382546,8946265,623647,1613612,75182721,1836148,1926779,92511718,367385,4105699,141906,329057,1787048,545643,1262908,8539646,897625,456329,1449941,241432,89233,15588,844945,3995093,105338999,91130314,23733223,97485442,216326027,55387548,59993539,649395092,16618449,8459064,1000434,21155696,446550,0,47233643,586873,252122,3211235,2399689,191028,169658,6619577,53853220,0,0,0,0,0,0,0,0,0,0,1634316198,185113759,37983670,17971439,241068868,39693527,48126348,87819875,6971684,102502,0,782052,0,0,0,782052,73552108,1900735801,40752907,1339065,1914033,54091,63888138,1570428060,120988,120988,-2,12980,132608,-2,-2,204158329,188533620,228576,49614,0,0,17421375,12298977,9839048,33378846,0,0,465858771,0,1517297244,43583090,136059487,2247043,124173173,306062793,0,2289218808,578916138,412554779,58220404,253685,49614,57778645,14333715,9716959,1117440610,-1,-1,-1,-1,-1,71630623,44128799,11326691,65710112,63322252,5935646,29938433,291992556,52437406,29080843,7822643,45642713,39167108,3686940,18493302,196330955,9774391,18792198,7228887,3218883,51416835,46207671,15458310,152097175,3347205,7676743,599017,1877599,81150539,2273567,2270052,99194722,665721,2431320,187670,395253,3347060,678092,2551753,10256869,796011,796739,1503487,242528,105716,14691,68471,3527643,137985636,100475322,28480725,116691835,235162450,58118515,66228568,743143051,17002563,9000244,1014198,22867207,612479,45996,49930208,708982,302340,2578727,4133764,363559,137162,7860975,57791183,0,0,0,0,0,0,0,0,0,0,1918374844,190603397,86710457,4671677,281985531,40694497,51407601,92102098,7484517,107655,0,501681,0,0,0,501681,117056411,2234020850,41219782,697303,1766626,11267,66061579,1852313265,119882,119882,-2,15451,131029,-2,-2,227279320,193353620,161223,134678,0,0,7526907,12871329,9744450,37419624,0,0,488356473,0,1459658387,50379738,143752223,3437508,117379668,314949137,0,2262963997,605309764,394575674,58449208,189079,134678,55816469,8302033,9234020,1123574214,-1,-1,-1,-1,-1,84983545,46874011,12355195,69752634,67886077,6167951,32541122,320560535,55820432,29028881,7914502,46173416,46627476,5068296,22034398,212667401,15487969,26951915,7165572,3274383,54197350,47762778,16285981,171125948,3939127,9663996,644910,1714485,92172388,2316174,2351443,112802523,1409165,2773728,191275,217541,2235511,292093,1324311,8443624,821364,789728,1626068,169539,120699,15713,711127,4254238,161052437,113308531,29706247,121084457,261003990,61330912,73924071,821410645,18038538,10086332,1100120,24076638,261765,53590,53355218,609279,261762,3047920,4735511,321630,324489,8978961,62334179,0,0,0,0,0,0,0,0,0,0,2007319038,202241622,71781215,13053051,287075888,40925998,53833959,94759957,7546438,99223,0,419596,0,0,0,419596,102262541,2319789235,47108596,73713,799521,132378,70891210,1936427828,119330,119330,-2,16228,130662,0,0,0,0,0,0,0,-2,-2,264898857,176461847,128736,197429,0,0,8362269,12385838,10018746,34323746,0,0,506580039,0,1461906360,39328351,200116975,3880492,126403204,369729022,0,2338215421,641431359,384228399,59288785,108520,197429,59980844,13023961,10549173,1155587080,-1,-1,-1,-1,-1,95734277,52637955,12806684,75052699,73973820,6539742,35131039,351876216,57222518,30263959,7999478,45636647,46904710,5405386,21443019,214875717,18207429,32843400,6812648,3501777,51631603,47795891,17576632,178369380,6080299,13365267,728487,1693738,85419162,2225401,2400719,111913073,492175,2740143,113926,142843,3112254,881388,2552213,10034942,699036,937807,1594375,202034,97588,19146,1192126,4742112,177943559,130048388,29941672,126086895,258026883,61985566,77743535,861776498,19199968,10821839,1158093,26466307,452310,43190,57689397,1042336,520556,3581888,3807385,159114,14351,8966516,66655913,0,0,0,0,0,0,0,0,0,0,2084019491,178398560,21965996,7512996,207877552,39771911,57428369,97200280,7498487,141165,0,413189,0,0,0,413189,53290484,2323620211,59270447,0,0,31092,81834859,2002184632,120118,120118,-2,16668,131661,23470386,49963570,0,3835787,1228974,13751946,0
arizona,AZ,2610582721,-2,-2,40960642,580878,21656088,129949,403161,59366011,117771588,99618284,380943727,877800,6064136,3316895736,204055366,4272319972,18931770,835576202,596874,185144404,1040249250,665225931,8833520324,3434476964,634617858,156342973,6053177,19084602,159898431,125084667,26840242,4418229645,-1,-1,-1,-1,-1,279269396,117199517,52085805,260069781,255072799,134602626,132643115,1230943039,67946540,28399745,13168238,60548114,73551904,40220195,49844907,333679643,34876931,17380842,38042000,18023211,212303696,50614657,73568709,444810046,15799222,4595682,2606869,5072826,220413326,43132205,17784098,309404228,3716275,19903216,2997661,3044630,34614661,45190879,18364142,127831464,2570996,613269,8183952,2086690,24897935,2586995,19691710,60631547,400463085,168189055,114086864,345800622,786239660,271156678,293532539,2379468503,99740916,27658250,58099525,135850124,27090253,11294388,332643203,0,0,0,0,0,0,0,332643203,0,0,0,0,0,0,0,0,0,0,7130341351,711005412,125400916,12678332,849084660,220256713,421321436,641578149,47145938,1293153,0,1868812,0,0,0,1868812,419378785,8309740298,261495803,0,5179144,106660,491824242,6638517109,933663,933663,-2,7110,1094454,2810552162,-2,-2,39050757,834239,22890172,147721,280762,90253074,124883913,107924754,417489551,960924,6072398,3598169493,5475696,4958859248,23259559,883736844,857130,168186040,1076039573,950222670,9638544010,3512387495,731538675,185509030,5263934,16831157,179740297,136573775,136615128,4751054559,2109523403,323557223,66807134,114338136,111955822,288817574,130253917,53206272,279831030,272190346,146821712,148477989,1319598840,79127750,33639683,13741145,70519877,83752338,45423138,57036938,383240869,47265101,16938894,38752723,22225753,230244793,53004967,75593777,484026008,16250951,4642864,2796822,6412686,242982056,45005385,19502467,337593231,4620472,21756525,3392934,3000686,39257769,51089597,19546915,142664898,123031115,436775,15573016,3078005,29525734,2907558,20220613,194772816,554492491,185912133,124069978,382067351,858695267,293162760,320831784,2719231764,103137811,30487218,58811910,144060255,19083795,8936766,345433960,0,0,0,0,0,0,0,345433960,0,0,0,0,0,0,0,0,0,0,7815720283,1038746045,92757411,11443302,1142946758,226989974,586322217,813312191,51326788,1909432,0,1969382,0,0,0,1969382,404432613,9312195111,274417974,0,3648934,0,518890857,7296829426,972404,972404,-2,7504,1068249,3044518935,-2,-2,40212134,689620,23288205,149629,566006,93197609,129373526,111014030,440952579,1044425,5821945,3866974432,5786803,5318990801,19120939,901612051,885721,170471258,1092089969,858264025,10283842005,3392319069,795319935,232646658,5584751,17062167,186256068,161983165,139412910,4751539391,2255071324,341687820,78404671,111499629,122338095,596901569,153827289,54152128,292895440,285146421,161931556,151330801,1696185204,83968769,41343656,14959277,75057265,91049384,52426903,62380052,421185306,71431622,18581676,41283097,22749909,251375383,52502921,78509180,536433788,18040672,5500318,2550120,6527824,260072522,56478117,21958569,371128142,4569626,25208524,3411757,3371716,44059203,58175923,25379357,164176106,130742096,669335,14562962,2659294,37797446,1417260,21833213,209681606,901084728,219922274,127507584,399889732,925441156,324756757,336011815,3234614046,111525944,33810949,57910330,166951224,20376945,2717353,372915800,42976255,0,0,0,36022,1175122,44151377,417067177,0,0,0,0,0,0,0,0,0,0,8403220614,1124300191,131724329,10177234,1266201754,468110395,273112162,741222557,53844732,935783,0,0,0,0,0,0,489409584,10070775121,275077700,0,3283448,143637,526597960,7876622654,973689,973689,-2,8089,1087447,3168999325,-2,-2,34369753,644637,23657622,237818,487284,60631080,123876903,108331565,490117177,836809,6974163,3995019230,4663469,4628420749,21041552,972282218,828241,170047375,1164199386,868252078,9792302834,3531455165,845882579,226773945,10971707,30013376,166216754,156816290,125482579,4906782729,2153070536,368472960,71449799,136428754,102803474,621710031,162135644,54124929,306330487,297985788,160747142,147158904,1750192925,88860221,42913740,15225290,79091776,97834751,55048680,45078549,424053007,76681390,21309704,39820746,24075787,267897825,52151694,53753921,535691067,16569600,4933003,2196028,5746753,266502942,44786455,5753701,346488482,3011437,23775943,3168248,2587109,42447103,49521341,19968959,144480140,141101527,540530,13332958,3207247,42258076,5572097,127700465,333712900,944922769,231832621,124699951,418452050,972479382,318306068,379445540,3390138381,113707273,34977773,59541573,173188861,17429067,666304,382081784,46874991,0,0,0,88927,877528,47752519,429834303,0,0,0,0,0,0,0,0,0,0,8726755413,921316860,96428545,7886302,1025631707,585779013,231642142,817421155,51661585,1065373,0,0,0,0,0,0,424194644,10123928502,285219003,0,2489284,0,528610182,8198145231,999386,999386,-2,8203,1087817,11969411,19373958,-2,336852,24630,-2,-2,3236621487,-2,-2,39250995,623204,23264158,231030,559826,27181631,112334694,106910039,505073847,713490,7425288,4036365705,244178881,3896117202,24003209,1692185717,1282525,175826078,1893297529,517278514,10069959317,3359861432,859390181,206437720,10873343,28777468,187008767,128741211,135885169,4759456612,2084843217,334131348,66336523,116676673,71375105,668304116,143684549,55706616,291270090,285247340,160075206,145323561,1749611478,90869569,40678470,15432502,79727602,100508412,59121998,46396224,432734777,56449641,18819621,39797123,26417552,286164003,53397881,56850230,537896051,11345084,4162959,1806170,5544303,263089454,48360154,6126508,340434632,2432033,21732860,2620193,1768569,29557098,37906410,15331541,111348704,166015761,617284,14084639,3796531,20684173,4740376,116972608,326911372,992984171,207962883,126827050,406756078,955693382,325695615,371669131,3387588310,110024990,35408440,66180950,182887673,20992247,647043,395149096,44530092,0,0,0,118036,1164774,45694866,440843962,0,0,0,0,0,0,0,0,0,0,8587888884,517421452,51422952,13514360,582358764,563670943,253664627,817335570,48652430,0,0,0,0,0,0,0,326137510,9480100276,360541833,0,0,1621014,590400592,7997488292,968764,968764,-2,8255,1077831,539065103,550231077,548353,29137598,232566,253804938,-2
