STNAME,2007_E11,2007_E12,2007_E13,2007_E14,2007_E15,2007_E16,2007_E17,2007_E18,2007_E11A,2007_E11B,2007_E11C,2007_E11D,2007_E2
nevada,1288365684,443972991,37771799,929596,130937,151019907,40672001,85784612,1012116314,242813669,18199539,12582725,53524434
new hampshire,923297899,329534470,35488036,117392915,105564677,39374706,15494359,2717703,588782642,130782731,19771136,7408843,
new jersey,8378667785,3475122684,377072807,581834945,753885630,414789648,24403983,121118275,5380013618,1429921542,78979935,335264000,73298683
new mexico,1155350557,330588644,53638640,,,104731740,3772190,364750,782808963,225737804,18697003,37710009,19184098
new york,19890546535,7913627189,1247377631,260391556,511496022,858425069,101060650,4104519,,,,,
north carolina,5214143360,1199388659,149278333,,2549138,408733671,29843085,6520799,,,,,73845767
north dakota,349539064,96833286,13883860,1768208,49989577,21545898,9148860,2234567,243962526,60457339,20854261,24264933,
ohio,6956246867,2296273012,492470940,157676360,842418206,419772182,140105476,147538742,4639650219,1198816733,327939359,166370,102985838
oklahoma,1980251792,520385530,39645307,1283558,6690689,203404685,18077543,9048776,1224304094,196865013,51431158,185119736,46716672
oregon,1803174509,822373608,121299935,23019751,57540950,170716615,6101002,15133799,1150728607,160098360,39400457,80825530,29651396
pennsylvania,8113797555,2897956018,726668896,238906493,1666535613,478574361,128927586,20768514,5881073699,1516424593,279775086,436524177,204103416
rhode island,801445099,319441372,13055999,70018593,40716140,23520458,10066707,1043784,565184833,133421341,12523972,38501400,5398954
south carolina,2464464221,688179472,104760585,740021,12034287,186217523,37115618,28624997,1855043284,479729933,95882088,30871619,26498804
south dakota,385267338,107345996,24953787,6760039,3509883,41754266,11801489,1195677,285480602,23545647,14817452,10921814,7909785
tennessee,3114462501,864216832,88548308,263603,572258,367027932,55508635,14210974,2432112084,466656125,141379890,36681386,67558302
texas,16501840560,2616891244,698857969,40970230,33472589,1437107799,120350691,197030046,,,,,110255597
utah,1239770747,514918891,33903267,435910,804692,94172306,29186793,4141875,885893772,142281653,61024830,78139295,18229604
vermont,511890573,185137150,41919329,59928002,344348253,21464457,9596662,1782815,327571324,63273821,14919590,15416982,4527358
virginia,5322566771,1801097647,162747925,5270990,289365092,333386320,89565462,5946211,3397042591,963387003,228889709,124875988,94043685
washington,3597763904,1080207877,253815413,9181721,19932707,216769615,19394519,38375245,2281152302,220831897,147313191,463966599,
west virginia,999056520,499869717,30064379,564382,1715622,97714971,8182291,752164,642517549,145051685,43538704,2646131,38788826
wisconsin,3468057317,1692931937,74693314,100288589,162293620,181269672,51855305,10876274,2622647827,673182827,164074732,,37860452
wyoming,446081378,158208394,23101671,663884,7103771,33336091,13124483,984365,297797781,75567517,12847564,15035561,6527759
