STNAME,2007_E11,2007_E12,2007_E13,2007_E14,2007_E15,2007_E16,2007_E17,2007_E18,2007_E11A,2007_E11B,2007_E11C,2007_E11D,2007_E2
alabama,2377493739,886986737,97936916,2291851,449274,277200826,7017400,13783921,1693304819,290577423,109246691,31909765,49958721
alaska,561122474,261062514,50715139,189179,30500,48780235,8317273,9198345,,,,,
arizona,3512387495,731538675,185509030,5263934,16831157,179740297,136573775,136615128,2109523403,323557223,66807134,114338136,111955822
arkansas,1654161613,427754086,66839199,9734016,7189701,191422132,26127317,15883159,1085754545,171206099,85577613,140693279,37607608
california,23220351373,7107342112,1460319626,721724219,373254250,1948530832,38054692,3295315,17361621923,2659797541,140284557,787830871,579203842
colorado,2683761748,640195477,89180996,50423434,6924168,279961990,54947816,61655280,1923669557,317317296,81868742,88716687,65462067
connecticut,3221094679,1141204140,146943633,296937365,62695025,120554799,35179480,7557365,2098013621,343703396,36955457,111494799,
delaware,554261330,245920909,15041540,6261836,64819653,32718390,2189819,7423037,345352340,107897093,16682990,21074806,6552089
district of columbia,370902174,44859108,22825933,140409915,,7078791,20895807,,191765867,45460841,4412981,12276169,6525215
florida,8698563955,2538911924,1682965764,699605,,618501389,98694849,106659780,5110802569,1906404870,225707189,401807523,260164757
georgia,6514218729,2162045029,165141811,5658481,6781607,473335592,47577909,36731921,4414514141,1036305639,186673220,188089640,102014406
hawaii,747615098,265562416,72465190,,,113602114,4768014,11631229,,,,,
idaho,761039893,240563984,39059785,1060267,296900,49059008,10983644,330424,604706265,108935105,5885376,38679207,
illinois,8482248700,2370845304,449378855,241544109,596968627,410098323,118703716,15934245,,,,,
indiana,3617653302,1821236270,76554465,16761,43211929,167882176,13194802,12131114,,,,,
iowa,1831829559,554156828,48406140,20653057,212596429,88367936,24256527,3061284,1166955032,271399208,77077096,161254879,26568014
kansas,1942380351,456137064,71277440,2072296,8866601,144642477,98550391,15862962,,,,,
kentucky,2294710371,711630487,60737342,195019,4127589,142768706,53399809,13839218,1660912430,340726841,18325348,21122421,53645432
louisiana,2376886984,827705560,68653584,755454,2319937,224673887,54941175,7948798,1440634670,362697958,69807980,211274374,49439865
maine,909372549,377460279,59767628,80312809,104038590,42890947,12514220,7157806,633651146,148994008,13191284,11768025,9246610
maryland,4176924533,1473348973,161993795,240505265,3386230,202555734,50287194,8060348,2684197653,543589305,98843255,148550083,56043410
massachusetts,5096761673,2246606473,44328348,365342959,590203594,189754102,1164686,16504191,3135560249,652975589,196217765,42650822,72485635
michigan,6033411791,2821539014,483324884,113069,71120975,295023885,53571089,21526741,4184163563,786616700,137385965,220332269,82406334
minnesota,3637088697,1087286064,225077544,54447539,207435355,187412831,51684297,12950969,2204759295,557271780,70304161,55363520,49396873
mississippi,1527445071,454256845,48798817,4283834,1632378,126626294,48021986,9272378,980700800,208291350,78442515,79072187,23033568
missouri,3421988667,848173321,138390638,9142095,82278859,370933124,62066244,22309904,2307370654,504894120,87087344,246534767,91883414
montana,527087019,150031282,52094410,265141,2088543,65288482,5876073,4705109,423671078,39887732,17812104,3259697,11074475
nebraska,1242155474,404505156,68862656,12818037,8365634,55663545,27476220,12896968,926497327,206302995,,25923522,14222073
