STNAME,2008_E11,2008_E12,2008_E13,2008_E14,2008_E15,2008_E16,2008_E17,2008_E18,2008_E11A,2008_E11B,2008_E11C,2008_E11D,2008_E2
new mexico,1220474796,365724715,62854760,,,109541384,4072128,222254,768109061,238530972,19706252,56177669,23067984
new york,20863490167,8566667151,1481226288,271761505,487787033,813379677,110228465,4618238,,,,,
north carolina,5464226279,1318279507,190866319,,,331245191,563,47718,,,,,
north dakota,369246416,104249183,14568096,1013149,49906479,23605495,9341983,2461247,257536185,63820824,21686809,26202598,
ohio,7134459604,2368094894,515629978,197052313,909398870,434255642,140839675,151786591,4760374058,1248557019,331230339,4460,115484228
oklahoma,2035769518,553177049,40502617,,7169670,207652241,16421639,8483607,1281226806,188246332,52795415,234371151,
oregon,1903277026,891955354,132056141,22648619,74568414,192512977,5751221,15617415,1216968445,167786932,36538769,86777447,43468417
pennsylvania,8376840204,3056171089,646786587,227048789,1785921865,518829959,187571633,23631833,6175169866,1586153192,279164078,336353068,213449927
rhode island,824987382,351928834,11554719,75223521,36299330,23408280,9420423,1108978,582564197,138143775,12394818,39154401,5437137
south carolina,2612886311,760645250,117225246,992795,14722243,161825949,44220357,28509000,1970616516,507285652,98810425,32118539,26783145
south dakota,405552351,113527321,27054195,7724177,3545569,47256851,12396105,1607325,294333242,28169416,11419093,15942358,11910464
tennessee,3273963709,924869956,88284122,331673,670431,456625761,75665665,14992350,2549483050,485276652,148628623,90375374,76960207
texas,18006206244,2771172182,737297249,44588559,31982155,1567456053,117485123,214914973,,,,,18732509
utah,1411871243,583973266,58643416,444849,994269,176635818,61899739,7852188,903094088,136449468,63099049,82240661,4246318
vermont,533205542,190186356,45069275,60837793,353645962,21960876,9776677,1928507,349984678,68835691,14928185,17879850,4668733
virginia,5546234649,1967349537,166721957,5852204,314938969,313314296,103333709,3911421,3518079129,1013623557,239442486,122217101,81266328
washington,3818642233,1154375197,286519900,11015515,22266345,242295355,24018821,42556283,2306913667,325374782,153798521,522829374,
west virginia,1052098096,506322764,31524385,663169,1258783,92283425,11588697,194276,675311589,153022710,45427127,3310361,31912802
wisconsin,3571389694,1719827769,89780410,105917157,186440955,196466650,56058628,10433657,2700737155,697783554,164805993,,36179018
wyoming,479265386,167150235,24382083,1018269,6577929,32024159,14139526,1007341,316380281,83974226,13191135,16243910,7294960
