STNAME,2009_E11,2009_E12,2009_E13,2009_E14,2009_E15,2009_E16,2009_E17,2009_E18,2009_E11A,2009_E11B,2009_E11C,2009_E11D,2009_E2
alabama,2538696534,995728866,103224835,2219880,297840,245035128,9873274,12595363,1793872596,193587327,110639595,30379331,31885024
alaska,605309764,394575674,58449208,189079,134678,55816469,8302033,9234020,,,,,
arizona,3531455165,845882579,226773945,10971707,30013376,166216754,156816290,125482579,2153070536,368472960,71449799,136428754,102803474
arkansas,1716716223,448615309,79542379,11180382,7289625,187295336,23615315,18755105,1125283207,179527476,86586821,145323547,39380204
california,24365951573,7573922649,1580419020,795996382,399740304,1622480478,30718082,3661594,17953660327,2824563421,153531874,818092805,487491829
colorado,2970930299,686310904,105025053,41608165,8826630,277942843,51657856,60049167,2111674524,345719472,85977940,99190579,55887395
connecticut,3444803590,1330076790,176676643,357872022,56283904,124644435,38467767,7562239,2232149546,373535224,41007061,123220682,
delaware,595656994,262135049,12515151,6509597,66166987,38954299,2247306,9640219,371394278,117263895,17380309,24674969,6240316
district of columbia,395532249,53516401,23093371,140128700,,10882755,7312017,962970,107787289,15433809,796624,3696538,2471732
florida,8945024413,2693245815,1860387391,1027213,,499287088,57745286,106025492,5435735750,1839989627,230763973,379018564,200986469
georgia,7143975974,2045122775,220265071,6211240,10902967,559661540,43246015,37867753,4777642000,1185445771,194162667,217414354,142958866
hawaii,868443739,342919294,78082678,5573486,,80933675,6318039,8513269,539732783,119109405,5193996,28611815,4903135
idaho,826522070,267651824,43233022,1151708,338248,53321762,10167753,386671,654301922,119776192,7051223,43254730,
illinois,9200780130,3281006889,567610100,119051574,787165891,488519211,128439477,156162263,6292808725,1871708974,216276489,618361561,
indiana,3710505547,1639628245,89558838,2229619,2341686,207783929,24316210,3241307,2713724615,461010957,86089471,13833406,97637209
iowa,2085292332,624586595,68149687,23680379,232302733,92263800,26630660,3924895,1309076730,279187482,79524394,235707330,26890714
kansas,2131867271,539367250,81428658,2640210,8997013,129984037,85794260,17581108,1492838606,291610346,67535587,33061882,31438352
kentucky,2497940905,785432364,59332704,234640,4548438,130493469,37242913,13238769,1802901500,377690971,19930706,23185671,44812247
louisiana,2886091052,955366903,99389732,3884246,2640649,264080808,32335331,9726972,1759601049,422376315,78605624,259234903,66615125
maine,899047406,370583243,27829258,74471036,76091690,37798004,5868146,5017938,616181412,106462916,14004023,14764687,8418803
maryland,4715494613,1773296983,195809650,272920690,4341274,181502617,47656568,8452100,3065005011,635240550,105033917,152017397,44429533
massachusetts,5471800817,2666870445,55221774,641754965,440531729,221577404,7211903,15257210,3283894000,740776968,203727307,51185480,64076028
michigan,6092786143,2813156066,636710150,108296,89099585,281952546,50495032,19018150,4294689256,811143811,140254691,209801537,76520159
minnesota,3890982226,1613131222,272010343,62590687,111436499,188951267,59554313,14981393,2319769863,601665443,78355685,57561573,51984979
mississippi,1628917874,494847885,55192237,5671003,2065539,133565765,50156745,9340474,1077154524,227255325,79213534,50050363,35676661
missouri,3742157266,998610449,165812864,9162280,82460516,368879668,60215975,19500334,2517748531,549376659,93559668,265423246,83662961
montana,571818874,162073122,56988730,785092,2181425,67156718,5869283,4020264,450453130,42666556,17996363,1789846,9287243
nebraska,1370627572,450345155,65350751,12071146,10975479,73012261,27828754,11152720,983375092,215676630,,71995041,17917176
nevada,1423181362,523471490,40498635,1536140,662307,149252701,2394266,4782817,1066333445,225882871,17783414,11506998,23803274
new hampshire,1001598794,383561682,40756531,128750921,108223735,42445387,14565683,3043682,641881878,150145217,21334892,9926015,
new jersey,8958240849,3329813779,424164151,629357452,805315939,441358501,26642756,116733828,5973349647,1619408629,93935666,657239134,81662527
new mexico,1262434884,392631682,70534746,,,111597004,4505617,561578,780041292,238451828,20452286,59589633,14571868
new york,21827433438,9072740319,1693592837,297343570,494834781,748285803,108012449,4797695,14888127000,5155484000,822982000,353816000,306455000
north carolina,5851080457,1439718543,277170515,,3220809,429161517,38928741,165295,3156309140,472745829,272588293,358022268,65036402
north dakota,386587329,113367278,15377885,952048,53232494,22989879,10525446,2621895,271480534,68508704,22522838,24075252,
ohio,7302474749,2425987597,524223542,208157325,471803219,433360902,150997628,155237863,4876172808,1300421830,336634785,,110022389
oklahoma,2059085862,584338406,41862692,,7512942,214302338,15024986,8786953,1304542729,189931696,52100918,225031772,53958627
oregon,1948924024,938112760,130335138,24544580,89119260,160367729,6010638,16677088,1575843740,169947349,38400290,91356031,25547376
pennsylvania,8725192001,2993434199,679050489,251451603,1916572091,524086694,165745514,27798021,6437610207,1670489528,280335982,336756283,223083645
rhode island,825839590,339835657,10397772,80151237,32924014,23304570,9385677,1249180,575665185,135767774,12225235,48629718,5321398
south carolina,2719580648,786958761,129051840,892583,15218902,164398922,37735888,25938498,2059292319,489998553,103308160,62774502,23460507
south dakota,421782446,118218336,29717734,7409160,3047769,48323311,16490818,1321552,300045413,30689872,16480202,16649558,11648809
tennessee,3368416674,963176850,86883181,448825,691360,439767511,56375591,16184958,2619961364,500339651,152578899,95536760,63102838
texas,18866604132,2872423350,774805811,48971256,39775462,1630929519,122418109,221635490,,,,,17529445
utah,1500840247,613409137,56716448,558447,1176131,173675907,52705561,7070186,1092619601,152517208,66036955,97625097,22782815
vermont,551703336,194306489,47566031,63095207,80151922,22898676,11511796,2202728,355199111,72045121,14638983,19270705,4746313
virginia,5737097276,1973691776,172916503,6247588,333166295,299200543,88291814,5172381,3636500107,1061382682,249731364,122252590,70095143
washington,4050112414,1339696740,316145708,15513974,23897367,221772847,15686684,38956294,2151467220,337611614,165456614,521732653,
west virginia,1114275450,543052559,33228394,1158277,1502225,94885630,7732115,548520,709262981,163280428,47145231,5130291,30149124
wisconsin,3711184204,1802494581,97994205,112627776,202602934,198212718,55478655,13024767,2810160782,724729817,167849605,,39913969
wyoming,504323903,176771384,25481216,996214,7509500,37273343,15127902,1042495,329853408,87668479,14476774,17368648,6932622
