STNAME,2010_E11,2010_E12,2010_E13,2010_E14,2010_E15,2010_E16,2010_E17,2010_E18,2010_E11A,2010_E11B,2010_E11C,2010_E11D,2010_E2
maryland,4768638753,1925146059,203855068,266745607,4188238,214323436,42649930,7757899,3077126503,639660113,105102512,165236816,45624697
massachusetts,5536312788,2746541434,54297704,633706253,465910893,258212132,6317599,14485623,3341704516,742379136,209752237,50034376,73544960
michigan,6046626936,2857136419,693935173,191182,94743917,298547855,45171195,17453267,4203574012,803607875,133024159,259069682,66405510
minnesota,3962598118,1349709227,330105353,55997563,95735332,188968259,62378806,19542264,2348531818,504636333,74457861,43849743,45835256
mississippi,1651701921,498594018,55878148,6312822,1974916,125498625,55821667,8608173,1092004484,230598504,78485903,51349423,19710037
missouri,3773166932,1030091851,172346645,9191025,82719225,371570396,64868620,22225512,2531541315,559550599,93588488,266270570,70284954
montana,595725171,172491581,60481352,873140,2723111,69385214,6783206,2831334,474708467,50353058,17835750,1936635,10148082
nebraska,1375800034,468113215,125092664,13417297,10635451,124863804,39729665,21454340,952095701,198371412,20233,64097876,16834418
nevada,1428341688,515922898,36766809,1186993,677412,154695921,2725368,2915931,1065611018,223115387,16712359,30150537,33042022
new hampshire,1029385441,415872518,44848770,135815419,103093843,42510078,17595091,2868567,653329508,155546637,21545384,11129435,
new jersey,9318553715,3594862532,464905264,605438929,806638691,419575394,26509627,138548779,6076862362,1671380267,95292702,715534733,76327660
new mexico,1267211758,390637261,74630120,,,114881944,4330782,242631,810813944,244800393,22110454,60093544,12220583
new york,22419307008,9503553756,1819078363,552605765,268857788,762178144,103010747,5055168,15355715000,5223161000,827389000,359368000,271573000
north carolina,5495032747,1445007175,274235103,,2990183,426813650,45878956,,2980372878,469504647,265182991,369525445,29449246
north dakota,405128999,122535846,18015645,983147,54280710,28160495,14323283,3186490,283077204,72449941,23240290,26361563,
ohio,7436422114,2515056460,559151723,214902442,509098734,445040048,153936843,151206403,4941697862,1359659520,339989483,,104477112
oklahoma,2091723624,624221998,44297705,144208,6997546,219922119,18237591,9192042,1310420339,195173991,50857502,241992671,43735420
oregon,1936211419,901639318,120957971,20167613,103295501,161439663,3821026,16934909,1565580042,175054362,37992813,88373137,21475279
pennsylvania,9078091010,3176888523,771405886,255310717,2008518531,579651116,165471843,28630626,6695464008,1750929716,285678309,346018976,250204631
rhode island,834178235,352977033,9174542,74797720,33444911,23155842,16220889,640468,587757057,133727338,13036487,24066821,4073841
south carolina,2651843810,785026901,129937007,2859174,16913286,193770406,31334380,21012302,1998331236,492493084,101039614,56529853,37180286
south dakota,444366719,126559854,34216987,7606031,2626472,52128683,14539890,1590144,312260280,31963623,18090652,15280826,11042924
tennessee,3400112306,1008550712,97973532,,1179592,446716607,104675939,16922092,2643883844,522607920,153192492,80428049,65451706
texas,19686185123,3015717309,856631699,59865966,38628611,1892723936,212234098,236747089,,,,,
utah,1489881493,614804326,60241138,624623,1402072,165582014,45610738,9093768,1189548530,152515440,60971082,86846441,21634228
vermont,572576744,201250832,47957629,64320669,81236846,24140751,12568805,1934831,355376829,76980579,16069161,20996847,4641410
virginia,5674421720,1850324993,186658413,4297070,325144555,327674381,98752185,5805057,3592438962,1058691825,241054485,121985592,63684742
washington,4053728130,1262584164,330377287,14473415,22829160,234886918,17702820,36786080,2508542567,325521980,166626296,306542039,
west virginia,1115189822,719993741,35873438,2160550,1267936,134212178,9420062,577697,713560151,152974065,46367513,5338594,30149124
wisconsin,3763087242,1872609599,100189072,115345206,234831678,222544822,59838209,14505220,2844275006,744081242,166362757,,38077754
wyoming,527000025,192181725,26703166,1089885,10579422,40613327,16583104,1128004,342983854,92135843,14139935,18190674,8043268
