STNAME,2010_E11,2010_E12,2010_E13,2010_E14,2010_E15,2010_E16,2010_E17,2010_E18,2010_E11A,2010_E11B,2010_E11C,2010_E11D,2010_E2
alabama,2527833534,998529795,104085015,1853069,395947,258190506,5451356,11889250,1792844992,188274018,110278708,24837500,16553537
alaska,641431359,384228399,59288785,108520,197429,59980844,13023961,10549173,,,,,
arizona,3359861432,859390181,206437720,10873343,28777468,187008767,128741211,135885169,2084843217,334131348,66336523,116676673,71375105
arkansas,1757604021,479523820,90422003,12001037,7316257,214753424,45831168,18506817,1141046676,182872151,86305441,153053949,25140497
california,23503106187,7756666360,1679025181,748356725,395138436,1365473021,26828100,3808507,17138076886,2809219250,130419485,778490284,316585759
colorado,3059053410,724107986,110502483,42116539,9699904,274122107,64290163,59574416,2151622195,356613211,87514203,108268215,54033013
connecticut,3544680769,1371504932,204105857,364609254,66784612,126809130,45669776,7226164,2283622951,389208722,42420860,130350148,
delaware,607857133,265699807,14029383,6474801,63743941,48807224,2670322,9691939,377124374,114761878,17015297,29011528,8112869
district of columbia,458470012,60639939,13029947,166575039,,18708260,10932490,5732696,327223565,55070245,4284889,19538010,111616709
florida,8699434850,2680150045,2129008654,943321,,502706147,77618831,99453572,5249057514,1803179638,211792426,345545169,169016528
georgia,6863150270,2243363296,192238741,8035332,9434468,500742372,33578885,30782256,4588093314,1157855849,181675773,213497440,91370603
hawaii,812429181,324682589,78326278,6910657,,83618321,5320849,10368672,498757908,119618773,4885284,27360606,4560669
idaho,829549327,273217406,44790910,1301868,296504,50620000,9578993,295185,656958108,120770507,7034579,42664117,
illinois,9541183966,3894222073,590515299,151874889,943671352,438189762,159225920,166539507,6374760233,1927999729,216639840,1019844401,
indiana,3808314327,1729414837,100160875,2645212,2471711,188547606,51203372,5464691,2766157778,483845266,86626911,15259814,77303492
iowa,2111224411,645634964,76450787,25005257,233483019,92623647,33437795,3991146,1300772783,286684511,80916928,250063191,25296017
kansas,2109133842,551743187,82011947,2888040,8368220,116483736,87155242,17827631,1472273105,289467253,64674399,28722340,28207223
kentucky,2557261905,845438218,68008398,3621291,1162894,130796867,71477638,8951344,1809554336,392473785,19975998,56606375,33311174
louisiana,2912228563,1008888941,106206319,6447784,2900070,285880469,21939540,8701650,1774905085,434651258,78969298,272786641,42137231
maine,912900277,375762358,29712096,66228787,67424584,37687703,9250601,6020844,608837868,105814519,12227871,16061191,5933569
