STNAME,2010_E3A11,2010_E3A12,2010_E3A13,2010_E3A14,2010_E3A2,2010_E3A16,2010_E3A1,2010_E3B11,2010_E3B12,2010_E3B13,2010_E3B14,2010_E3B2,2010_E3B16,2010_E3B1,2010_E4A1,2010_E4A2,2010_E4B1,2010_E4B2,2010_E4C1,2010_E4C2,2010_E4D,2010_E4E1,2010_E4E2,2010_E61,2010_E62,2010_E63,2010_E7A1,2010_E7A2,2010_E81,2010_E82,2010_E9A,2010_E9B,2010_E9C,2010_E9D,2010_E91,2010_X12C,2010_X12D,2010_X12E,2010_X12F,2010_TX12,2010_NCE13,2010_ADA,2010_A14A,2010_A14B,2010_PPE15,2010_MEMBR
maryland,113280038,49443986,10234749,127138744,4442405,2336835,302434352,65749,,80985500,74913197,,,155964446,,,,,,,,,,1011511924,8632093,27686464,151390112,339829462,17680323,306364,4597411,4976025,,,4212,241615073,,,114821,530669553,11353007381,795577,795577,,14270,848412
massachusetts,119465752,29302397,22686042,160712253,139794,23744310,355910754,,,,,,,,,,,,,,,,,427968895,246212607,43965803,260270464,520522400,45837004,18004,8271299,2697199,,,4308,268987022,8237503,,,503105856,13564170502,912792,,912792,14860,957053
michigan,141715825,65905472,94874479,262933909,9471034,5111731,570541416,,,,,,,,,,,,,,,,,970407292,87233461,107939420,840223724,1022737497,287169444,2384539,,64658724,,,351496,509244813,,,396449,809864805,16417650643,1477312,1477312,,11113,1649082
minnesota,116803588,36054362,43036629,175500836,8481698,991034,372386449,9948876,3039504,10387052,304689,10745942,423660,24103781,,,,,,,,,,696514845,62612267,67437136,409914437,545523537,349303033,2578221,15122901,51600999,,,342188,179465036,,,864884,500864638,8426422921,785455,785455,,10728,837053
mississippi,69365936,35594634,7219354,125487404,5393620,299747,237967075,,,,271341,103,,271341,,,,,,,6039559,,,153046608,16535559,9348525,72378273,207980442,19836388,496648,,3925171,,,11626,243842219,,,39828383,397292121,3593584290,460327,460327,,7807,492481
missouri,106300153,35523306,93543062,160056297,6554472,,395422818,,,,,,,,,,,,,,,,,681091023,12450717,34346000,326529074,724664423,173220996,1482826,,36502864,,,522656,254908581,35328722,,,639841584,8283606014,852460,852460,,9717,917982
montana,18984164,7046120,9611204,24777688,669172,108420,60527596,1359039,395398,349355,200670,9123,4863,2309325,,,,,,,,,,76090831,7735860,1646126,15555687,30838645,2889443,68200,751821,6925664,,,457869,59776291,2869338,,84438,122983582,1375268303,130704,130704,,10522,141807
nebraska,44371540,11802258,14553160,57700286,6620442,1070188,129497432,390314,38722,16196288,35284777,718369,30520560,82430661,,,,,,,,,,206028022,18520613,22418921,73770731,52188153,2236069,114856,,681567,,,,66023042,,,529360,217921450,3030049014,269590,269590,,11239,283414
nevada,37324586,14014555,3310387,58134410,2339679,4281337,117065275,,,,,,,,,,,,,,,,,327773550,13879227,669460,259011249,652071369,3006282,,,20521881,,,12944,110718955,1129768,1872449,23564,157161392,3435832397,405097,,405097,8482,428947
new hampshire,22958089,6905557,10797993,27777358,1011204,128554,68567551,,,,,,,,,,,,,,,,,76451250,13236593,7483425,44621384,103872686,1443958,31146,282162,6090407,4727,,84402,43174916,,,,91562608,2485393354,191969,191969,,12947,197140
new jersey,179013117,38252321,46979943,232480197,6516758,13577357,510302935,55928070,13627144,68135719,115546824,15898335,14762739,268000496,,,,,,,,,,931659501,28700295,19663315,627202287,537934019,9908948,,104136683,63552571,,,,292620786,,,,871710262,23389681622,1343405,1343405,,17411,1396029
new mexico,40579050,16355968,18139671,59636789,2457786,119026,134830504,613600,184080,424181,358283,,,1580144,,,,,,,,,,543010819,9964467,1535682,114193,532500,4288272,,,,,,,107897531,19273088,,,177723180,3039605090,331152,331152,,9179,334419
new york,413364165,69281071,136261395,391735510,13056224,27897999,1038540140,,,,,,,,,,,,,,,,,2430402103,121266254,154974645,1175941645,2259132568,149184703,1484499,439161851,283587762,,1305617400,10195323,1095550265,50977148,,,1497151487,48754309490,2516922,2516922,,19371,2766052
north carolina,237073995,78638718,25107509,287470313,15874575,34480946,662771481,,,,,,,,,,,,,,,,,818293226,17606740,65323213,7818572,32808530,66193933,248420,,894287,,,,477504719,260969157,22759,39703,999091855,11201270378,1366164,1366164,,8199,1483397
north dakota,16814221,3483149,1413548,30263227,754540,625941,52600086,3149347,590154,6249127,14474584,1474603,5797714,30260926,,,,,,,,,,75778614,15508681,428389,12611843,29901721,4025700,113309,,2200467,,,19264,50772782,,,1714885,101776334,898318600,91114,,91114,9859,95073
ohio,217888682,107584466,60267382,260492436,8167532,2531499,648764465,506111,96196,82464,1204317,3600,266353,2155441,,,,,,,,,,1967063105,78109844,66366146,526568374,1265357389,195992975,12252998,133533811,81172256,,12321780,13172311,741817800,19153022,,3150029,1448387492,18353282765,1609008,,1609008,11407,1764297
oklahoma,99695793,35125078,26264069,145657069,5348955,767816,307509825,1000,176,64482,45888957,34281,93257,46047872,,,,,,,,,,262737029,40523771,10827810,65487254,371234988,6276493,21096,652467,6939123,,,,180889303,26450855,,9629,458213933,4733909973,610019,610019,,7760,654802
oregon,46782168,28892339,39670286,76109254,1792713,765934,192219981,617487,162121,759990,1651266,20200,10491,3201355,,,,,,,,,,525362035,12219180,5626473,289266985,319445611,22088778,11071,,1351509,,,,117886731,22283444,,416553,290874208,5110792940,515644,515644,,9911,582839
pennsylvania,217474972,83586081,205636621,247189409,13277842,14974425,768861508,46442320,16492269,17444848,14902596,3455430,2769483,98051516,,,,,,,114500293,,,1881440209,18433034,15268232,972778647,3534967715,93916451,1156121,273955384,47265067,32751294,687920,2800263,654562830,40417476,,333891,1089270383,21644247457,1661990,,1661990,13023,1785993
rhode island,3085169,1052849,38498293,7655169,368807,1011,50292491,1435,97,1000,6475,,,9007,,,,,,,,,,17525075,1291698,178187,45409976,65875552,1750382,9126,19917842,2273920,,38400995,175150,56861432,7539141,,9288,85743516,2050838274,132930,,132930,15428,145118
south carolina,103481110,40248475,41839137,144827564,8789035,1648734,332045020,164857,41875,74198,929768,11871,17751694,18962392,,,,,,,,,,873930545,138333515,116532572,378068063,492843969,26632547,335359,355513,43492675,,,173270,203119897,,,224651,446054433,6120110851,664136,664136,,9215,723143
south dakota,17460633,5805292,7003594,25224106,1848300,239108,55732733,3733357,809798,545238,596924,85696,35715,5721032,,,,,,,,,,94946609,8535098,3505855,22675882,55658626,2951898,30055,,34764,,,,36452246,19062359,,38586,91966942,1023893832,115242,,115242,8885,123713
tennessee,149477827,51263325,14698628,171529061,11174520,6122277,393091118,,,,,,,,,,,,,,,,,374034170,35990345,21346063,174409791,587567068,66867036,1822079,,16927643,,,125604,252297758,71765427,,234507,744944335,7149716193,896130,896130,,7978,972549
texas,726860076,242982373,170306083,1097152717,38016297,19937520,2257238769,,,,,,,,,,,,,,,,,6926877730,241334414,373405092,2832937873,2062176139,294374340,1498097,,33472540,,,212561,1185461648,217948050,,,2354704681,40267181157,4473236,4473236,,9002,4850210
utah,63350790,24754607,5455488,88326573,3572812,10876337,192763795,5665934,2615637,2419051,3808408,1147614,1116135,15625165,,,,,,,,,,382863365,180224959,52746099,127675328,215788690,35084125,389706,68679163,,,,637538,79092403,7062471,57765,4634,274161851,3360923201,528608,,528608,6358,563361
vermont,10923971,3805168,8962641,14164631,555068,121552,37977963,414944,119647,217481,133708,8352,15562,901342,,,,,,,,,,30769355,571801,690544,15063662,29583241,8486117,64196,,2864497,,,107229,42089297,4844670,138730,92375,71958204,1391833625,86378,,86378,16113,91451
virginia,174828608,69355851,30793930,208630589,7032061,4978849,488587827,547752,173474,338062,353507,9705,,1412795,,,,,,,,,,545757880,198814555,112401578,152805562,442877837,17052694,129633,,58471262,,,159508,290839621,,273603,,566651865,12626980681,1159105,,1159105,10894,1245340
washington,96896115,48127309,41084353,138909906,3016690,1049234,326066917,,,,,,118007291,118007291,,,,,,,,,,1208744823,70162836,127616577,419013269,701139584,31368444,445546,,4789811,,,,137808566,69288921,,,519962403,9312950480,960084,960084,,9700,1035347
west virginia,59488229,39985592,3604119,70744546,1663252,97574,173920060,,,,,,,,,,,,,,,,,16977915,6762421,4669,13835681,31818823,14245467,6643,560511,28218065,,,246691,106842160,26986897,,136527,162067160,3153580870,268872,268872,,11729,282662
wisconsin,91377662,50774493,56013166,149078713,5079063,585987,347830021,,,23430,109825,,,133255,,,,,,,177139565,,,360633835,33527088,27567722,652616501,423439362,106995099,2157617,24586649,18530,,,869218,262783960,20038278,56396,,515141001,9403668061,817284,,817284,11506,866072
wyoming,14620750,6857364,1564995,17032851,338944,29719,40105679,364822,88739,356196,167372,65788,18922,996051,,,,,,,,,,269641836,17777930,8141103,2089967,9127164,7525238,1704889,,366866,,297738,143396,28608802,8914384,,59517,55517669,1279136929,80717,,80717,15847,87621
