STNAME,2010_E3A11,2010_E3A12,2010_E3A13,2010_E3A14,2010_E3A2,2010_E3A16,2010_E3A1,2010_E3B11,2010_E3B12,2010_E3B13,2010_E3B14,2010_E3B2,2010_E3B16,2010_E3B1,2010_E4A1,2010_E4A2,2010_E4B1,2010_E4B2,2010_E4C1,2010_E4C2,2010_E4D,2010_E4E1,2010_E4E2,2010_E61,2010_E62,2010_E63,2010_E7A1,2010_E7A2,2010_E81,2010_E82,2010_E9A,2010_E9B,2010_E9C,2010_E9D,2010_E91,2010_X12C,2010_X12D,2010_X12E,2010_X12F,2010_TX12,2010_NCE13,2010_ADA,2010_A14A,2010_A14B,2010_PPE15,2010_MEMBR
alabama,145097291,94578805,9357016,194830804,6699006,250810,444114726,,,,,,,,,,,,,,,,,656833380,28320527,788763,130096322,239733567,3834811,,2403698,49855616,,57702927,21118,298806716,16190863,,,630059006,6040457703,698208,,698208,8651,748889
alaska,19199968,10821839,1158093,26466307,452310,43190,57689397,1042336,520556,3581888,3807385,159114,14351,8966516,,,,,,,,,,178398560,21965996,7512996,39771911,57428369,7498487,141165,,413189,,,,59270447,,,31092,81834859,2002184632,120118,120118,,16668,131661
arizona,110024990,35408440,66180950,182887673,20992247,647043,395149096,44530092,,,,118036,1164774,45694866,,,,,,,,,,517421452,51422952,13514360,563670943,253664627,48652430,,,,,,,360541833,,,1621014,590400592,7997488292,968764,968764,,8255,1077831
arkansas,81628485,25420254,8943357,126277535,4073554,250831,242520462,19703,4269,1628815,2736976,1490,101938,4491701,,,,,,,,,,390558203,132494279,11477658,121995842,96221845,15330634,78511,,14177260,,,167395,187531808,,,,329174304,4130735435,435676,435676,,9481,480559
california,742125775,318815567,88542755,1079468678,25682482,213548,2229166323,73578988,30566347,25675932,9775050,577593,244503,139840820,,,,,,,,,,6332147054,349040514,194693991,2080486905,2203293229,461006072,366953,,611751190,,,428057,1471953511,768285576,,,2716834152,55531827846,6017381,6017381,,9229,6263438
colorado,86438749,24282378,14229345,121993048,5179135,1740505,248684025,23667203,5827292,4327108,3390693,1724893,1307169,38519465,,,,,,,,,,666427406,139117707,51970714,470869380,462706384,35392420,287519,,17475041,,,232889,228799235,2064166,,194156,551268605,6878033409,762190,762190,,9024,832368
connecticut,69888178,33552756,19346672,94196647,3109441,3840073,220824326,45916125,11006812,11567975,5119120,1161069,1564761,75174793,,,,,,,24451748,,,594138999,53409328,30195439,147915986,314001459,50073461,2819945,31151042,40774701,,,,90746175,71852790,,,282036334,8571301066,548787,,548787,15619,563968
delaware,22188121,5995760,2964902,27884731,1403871,771266,59804780,,,,,,,,,,,,,,1991319,,,183254704,1956400,3312423,49327435,102217531,303647,,4967917,13750461,,,,23787597,20603849,,,61503893,1488308056,119879,,119879,12415,126801
district of columbia,2874308,441820,33875733,6118093,118319,2284560,45594514,579885,21052,25053,988711,,2698284,4312985,,,,,,,,,,34683398,1497622,3935993,134109231,167698104,16111044,12083672,,8536565,,909916,4050,38368489,6152664,81627,30743,56171110,1395698601,68217,68217,,20460,69433
florida,298038584,149155410,93258160,458861479,6111689,28318498,1027632131,,,,,,,,,,,,,,,,,2210981133,192226554,398727728,809829480,748245553,237316678,1340396,,300566596,,,8353499,747040058,117022738,,,1910006192,21439307813,2493694,2493694,,8597,2634522
georgia,271813095,60435774,36918167,415857804,11467735,7746953,792771793,5243594,419191,5138569,21793837,1067492,10887101,43482292,,,,,,,,,,1522648044,50478372,109778922,275556144,833778076,27363609,1215,,5654490,,,,393129621,42299166,,,894652407,14835756644,1596180,,1596180,9295,1667685
hawaii,42576941,17006322,3237100,35552165,138994,11535,98384063,,,,,,,,,,,,,,1248570,,,64610605,,622805,114670513,80122605,13133697,1086758,,10116606,,191401,178127,47741205,21686059,,40290,94743572,2016119938,165766,,165766,12162,180196
idaho,30930588,14178320,4636029,47323965,2044693,26637,97095539,141052,45754,218424,11539,14863,,416769,,,,,,,,,,170127845,22103903,24578225,59929823,130605508,3592695,24560,,310315,,,,66354953,,,15577,101162703,1860694262,262238,262238,,7095,276299
illinois,203467622,67744804,188910576,281370600,7956528,1674952,743168554,,,,,,,,,,,,,,,,,1778400065,159866887,16709380,764883574,1165014883,192664246,2027121,,25448705,514783,,94824,563095840,21860506,,,1079316673,23616455942,1887561,1887561,,12512,2103813
indiana,148948502,38649087,17245701,214137709,8807824,970387,419951386,,,,,,,,,,,,,,,,,409048537,179021507,88053801,331210585,751449208,115469775,607666,,30646585,,,950217,334673381,,5170489,,672441793,9248801349,976503,,976503,9471,1046661
iowa,72978030,22954880,5928659,111941600,5205268,245492,214048661,2411913,513700,133937,1865443,26974,25014,4950007,,,,,,,,,,652692814,17953554,34441720,89666066,421526155,21266824,242165,5229224,1262827,,,20601,94825488,1552744,,18975,240359431,4553948576,455579,,455579,9996,491842
kansas,72927625,22852356,4973939,111345377,3556956,2643220,214742517,,,,,,,,,,,,,,,,,213517074,19877875,5436128,197192094,220292547,1599347,177705,,2747284,,366280,44355,118034646,8896173,,223013,244222318,4487453535,428384,,428384,10475,474489
kentucky,118229097,55598218,11523032,160616552,8127767,315363,346282262,9853174,3695557,201339,986744,76608,73438,14810252,,,,,,,,,,561305560,17292453,20933069,160957030,292300324,69397472,435181,1566752,14920345,,,602757,171124132,50780560,,24233,336203534,5755610953,587102,,587102,9803,680089
louisiana,144343683,65287245,23551716,154615431,7383996,1635854,389433929,187386,32841,14887,68139,,9767,313020,,,,,,,,,,642461886,65077800,17869943,119505532,229460824,7999125,30618,31412425,12796656,,,10730,313870493,90026557,,29152,472084460,6921367314,643374,,643374,10758,690915
maine,30100965,10878975,2591226,33058786,951530,440786,77070738,53748,4950,2531,138,4613,,61367,,,,,,,,,,134355915,1485014,7694017,49436633,99441715,4732283,33577,283747,22736550,3138,,165347,75076640,258720,,8630,115824050,2240488100,168213,168213,,13319,189225
