STNAME,2008_E3A11,2008_E3A12,2008_E3A13,2008_E3A14,2008_E3A2,2008_E3A16,2008_E3A1,2008_E3B11,2008_E3B12,2008_E3B13,2008_E3B14,2008_E3B2,2008_E3B16,2008_E3B1,2008_E4A1,2008_E4A2,2008_E4B1,2008_E4B2,2008_E4C1,2008_E4C2,2008_E4D,2008_E4E1,2008_E4E2,2008_E61,2008_E62,2008_E63,2008_E7A1,2008_E7A2,2008_E81,2008_E82,2008_E9A,2008_E9B,2008_E9C,2008_E9D,2008_E91,2008_X12C,2008_X12D,2008_X12E,2008_X12F,2008_TX12,2008_NCE13,2008_ADA,2008_A14A,2008_A14B,2008_PPE15,2008_MEMBR
alabama,147426551,98887720,9511931,189278219,8535979,278629,445383050,,,,,,,,,,,,,,,,,658549466,53217548,1165080,135073890,161184763,4167358,3675,2506981,55425690,,59671708,95543,167437611,23854965,2925621,,510809932,6321629278,731161,,731161,8646,742919
alaska,17002563,9000244,1014198,22867207,612479,45996,49930208,708982,302340,2578727,4133764,363559,137162,7860975,,,,,,,,,,190603397,86710457,4671677,40694497,51407601,7484517,107655,,501681,,,,41219782,697303,1766626,11267,66061579,1852313265,119882,119882,,15451,131029
arizona,111525944,33810949,57910330,166951224,20376945,2717353,372915800,42976255,,,,36022,1175122,44151377,,,,,,,,,,1124300191,131724329,10177234,468110395,273112162,53844732,935783,,,,,,275077700,,3283448,143637,526597960,7876622654,973689,973689,,8089,1087447
arkansas,80120995,23595119,5546385,119737415,1943105,185964,229185878,6383,1080,1764655,2521582,4495,53942,4347642,,,,,,,,,,262750565,168889480,5036272,110423708,89437569,12064157,77000,,13976648,,,260962,122304444,,1101523,,266141607,3890226381,439347,439347,,8855,479016
california,753721570,290053755,72517520,1078387538,18196096,186393,2194866776,70434158,28920133,17028359,11138500,1198086,236142,127757292,,,,,,,,,,8164769723,787499728,131044640,1777810363,1868497056,469411970,405957,,716380928,,,1368555,1657000364,192710405,8315081,8442726,2427301947,59143253030,6365266,6365266,,9292,6343471
colorado,75056950,21219391,13757990,116318897,5582556,1430156,227783384,22777602,5083958,7325287,3297221,818207,801399,39285467,,,,,,,,,,853403492,113275937,36787146,367315389,881572104,36299530,410826,,20809782,,,249580,154499139,952742,1485442,129278,479401069,6859365374,735549,735549,,9326,801867
connecticut,67421303,32197561,17484908,89717227,3669286,1867722,208688721,43836531,10347737,10430071,5876541,1099936,1477334,71968214,,,,,,,23891833,,,706905775,94698878,32087727,160011168,303510043,50178596,872726,30411432,39049454,,,,83384360,23722968,494861,357475,233276387,8103512837,553445,,553445,14642,570626
delaware,22691816,6250512,3090877,29219455,1463520,804036,62056696,,,,,,,,,,,,,,2998727,,,213866977,20203612,3869123,35178007,70070523,194188,3411,3981249,13439524,,,,19790180,14843066,269381,326210,53518145,1436076073,116472,,116472,12330,122574
district of columbia,19461742,7129430,4909821,26992094,1039663,390270,58883357,,,,,,,,,,,,,,,,,221392297,28747439,9980061,,,15852932,121319,,,,,,41848253,4933666,282333,261127,54865774,1227571029,61636,61636,,19916,78422
florida,322603275,151534698,74533634,474754999,7290461,21921397,1045348003,,,,,,,,,,,,,,,,,4727341189,408690188,677960117,822686544,1051702390,233297948,1384893,,266120815,,,14096248,515542553,100367916,4539161,1345957,1787064096,22437049777,2494397,2494397,,8995,2666811
