STNAME,2008_E3A11,2008_E3A12,2008_E3A13,2008_E3A14,2008_E3A2,2008_E3A16,2008_E3A1,2008_E3B11,2008_E3B12,2008_E3B13,2008_E3B14,2008_E3B2,2008_E3B16,2008_E3B1,2008_E4A1,2008_E4A2,2008_E4B1,2008_E4B2,2008_E4C1,2008_E4C2,2008_E4D,2008_E4E1,2008_E4E2,2008_E61,2008_E62,2008_E63,2008_E7A1,2008_E7A2,2008_E81,2008_E82,2008_E9A,2008_E9B,2008_E9C,2008_E9D,2008_E91,2008_X12C,2008_X12D,2008_X12E,2008_X12F,2008_TX12,2008_NCE13,2008_ADA,2008_A14A,2008_A14B,2008_PPE15,2008_MEMBR
georgia,266812967,61078750,36104775,396032149,9555377,6118194,766146835,5093711,373967,5241625,23556819,905803,11869088,46135210,,,,,,,,,,2272910129,148284129,100064565,229506169,620084587,34633910,420977,,5662689,,,6526,345290251,44396990,2666494,440671,892311176,15137728112,1561935,1561935,,9692,1649589
hawaii,41323408,15335593,3505881,36566061,197779,15867,96746810,,,,,,,,,,,,,,682439,,,42655135,38845927,994662,98604319,128008144,12854458,268983,,11637624,,206822,263361,41888516,30010657,,,97732706,2025046413,166179,,166179,12186,179897
idaho,29347750,13117588,3803551,45173434,1384167,7148,91449471,30419,716,176332,10156,4867,,217623,,,,,,,,,,263153748,32943680,38837607,61336594,99176578,4257669,104092,,216293,,,73,47926760,,476456,,86569759,1804935058,255523,255523,,7064,272119
illinois,194667775,62371392,174714106,259455401,5866123,596925,691805599,,,,,,,,,,,,,,,,,1686711894,219016870,76034659,655289490,981226140,132934736,1358134,,24372833,,,103432,523794892,38531899,833176,4742949,1071267823,20803216265,1881810,1881810,,11055,2112805
indiana,140499740,19101269,19821913,196210344,5871758,487199,376120465,,,,,,,,,,,,,,,,,522050600,67787444,122244989,232024360,907476097,93814438,1995051,800690,32373960,,,372123,193975712,,2421539,,558760894,8722947656,969976,,969976,8993,1046764
iowa,69522955,20853376,5465899,107532012,4597755,210468,203584710,2965103,656983,75216,1778712,20019,5034,5481048,,,,,,,,,,527249438,24382827,24609063,82537963,294647782,21667704,271884,4966494,1393425,,,11417,70374069,1154105,849254,25736,212153417,4287082715,492922,,492922,8697,472628
kansas,73722419,20739638,4371141,108522479,4620877,2033842,209389519,,,,,,,,,,,,,,,,,149568038,26100231,5241811,155955596,270407598,1196790,133724,,2623449,,1696927,95681,85634599,11246198,830797,1263107,220871252,4412646069,418751,,418751,10538,468295
kentucky,116716907,47519571,10511156,157538253,7756208,554933,332840820,8189731,2810525,206615,881101,77968,99465,12187437,,,,,,,,,,557745027,33170621,19797403,145828586,207301463,71195898,467579,1521095,15718584,,,1335954,127192430,74395128,669614,431100,320736591,5501813855,585775,,585775,9392,666225
louisiana,141000496,63284821,20069894,145499063,6057828,1473383,371327657,61670,20910,2526,,,16116,101222,,,,,,,,,,590125210,45647823,8930724,102909690,271377027,7415552,1530006,32332591,14680501,,,111145,199445056,123995070,676673,1216984,391947874,6422506749,631163,,631163,10176,681038
maine,28281034,10007256,4847508,32496259,1865627,562030,76194087,61529,4938,808,743,1453,,68018,,,,,,,,,,90409649,9247085,5863082,45712604,100566316,3084660,63248,448588,21353939,,,166781,54329868,,82688,879,100525902,2207544934,175161,175161,,12603,196245
maryland,112986033,48337268,10291997,126671447,3758810,1944621,300231366,38964,,85677637,86571632,410532,,172288233,,,,,,,,,,1243498541,5189566,30269801,133093500,271083112,21199087,527335,,6240062,,,5802,189794116,,1662463,,512844331,10698331192,793881,793881,,13476,845700
massachusetts,103089580,45628882,1372369,218742666,58487,3168976,372002473,,,,,,,,,,,,,,,,,619242385,263032913,41812945,268202513,486016872,47289021,6156,11142302,5724899,,,,196882517,8086870,1537460,12489,401517227,12781469535,917181,,917181,13936,962958
michigan,141796041,65551493,102385158,233013434,7237189,4816730,547562856,,,,,,,,,,,,,,,,,1030375366,133792611,123755867,819864599,1092997599,268186411,2031678,,85270091,,,501159,411711637,,3632365,,748725074,16304796020,1528815,1528815,,10665,1692739
minnesota,113240051,32863189,32852314,178824434,6585426,565155,358345143,9022992,2471777,15164157,241584,3076562,599569,27500079,,,,,,,,,,833752356,111691566,67028414,427395238,510806005,330067546,2628367,15165696,49813092,,,879560,126264430,,1745722,,447457505,7978806061,790206,790206,,10097,837578
mississippi,68061521,36298350,6291749,119140305,6939065,295963,230087888,,,,338414,316,,338414,,,,,,,5725308,,,121474309,19364414,6722618,70322354,201360306,20053075,389990,,4000566,,,14401,183037010,,45254804,,342907723,3555493454,461459,461459,,7705,494122
missouri,102727439,33589991,79910347,157356615,7544634,6351889,379936281,,,,,,,,,,,,,,,,,770954214,16234685,34753559,297465231,708567715,153163811,1623460,,36670395,,,365458,160955694,26415113,941071,384826,538514873,7988125838,852106,852106,,9375,894497
montana,17776544,6459363,8123525,24299232,420551,142627,56801291,1296495,377531,393333,226886,6974,191002,2485247,,,,,,,,,,99125609,18932714,2057583,16161346,30875072,2222365,201308,7046,5249986,,,131010,36834256,2556129,641352,72956,100920550,1291528605,132104,132104,,9777,142284
nebraska,40181259,9615027,12995720,53842594,1654751,996445,117631045,399381,40947,15996058,34599569,459303,29327020,80362975,,,,,,,,,,265981691,34537302,24510233,69515252,97262925,2237196,39301,,675120,,,,49871220,,613025,449495,196268229,2774054345,264810,264810,,10476,281153
nevada,40252431,14560159,3584783,65643783,1114332,3371248,127412404,,,,,,,,,,,,,,,,,601728956,44049900,9960561,245999144,297877561,1288978,12779,,20805764,,,123068,81554819,1028766,2008739,16829,219858231,3295146114,395355,,395355,8335,429362
new hampshire,22607865,6688670,8442884,29904417,824382,110853,67754689,,,,,,,,,,,,,,,,,114410001,14669974,5092879,48357894,102118643,1765038,11696,331981,4553575,144240,,55889,31972072,,,,83356084,2315973819,195383,195383,,11854,200772
new jersey,175340714,38523689,36163995,229380444,5716567,13177815,492586657,43625427,10629546,53147728,90129688,12401136,11515341,209047730,,,,,,,45780245,,,1373389091,24251892,18715731,352978745,425270978,13556844,238156,120249617,73402029,,,986712,210622886,,457483,,740475768,23616603270,1340220,1340220,,17621,1382348
new mexico,38645332,15199690,15647571,55041999,945653,145309,124679901,601363,151844,468329,339082,,,1560618,,,,,,,,,,470352899,6163009,1638508,162639,495000,3536777,62131,,,,,,89042253,11554000,678872,206888,153292039,2903768709,326034,326034,,8906,329040
new york,387055097,63924708,130976432,382167300,13600805,27025753,991149290,,,,,,,,,,,,,,,,,1805977638,115764635,151004789,1085780861,1701040399,136289008,899784,443502395,284077927,,1138947675,8946827,1100541949,49025777,1849264,3096574,1511186257,44932239699,2520932,2520932,,17824,2765435
north carolina,236722540,75471168,49091389,299340363,10304580,3390,660628850,,,,,,,,,,,,,,,,,1175649507,152656228,374242550,7475835,22344598,60915554,236310,,989454,,,,233478647,77818291,3800251,472643,583377177,10899534823,1364608,1364608,,7987,1472565
north dakota,15235177,3101400,1170296,26753658,881998,530033,46790564,1586468,409049,5618138,13217533,1088398,5268554,26099742,,,,,,,,,,52017912,3111403,324993,12609977,26022194,4920412,65906,,2094052,,,38100,35868657,,2416022,,85160515,801156632,91972,,91972,8711,95059
ohio,213399037,102630300,52768938,255164259,10585088,3574103,627536637,100,7229,52760,1337231,1234616,84068,1481388,,,,,,,,,,2116686319,25946881,5432571,482866654,928526832,194259359,13375683,130556222,77981466,,38731141,14917938,459312821,17902274,8693717,694732,1186470476,17705903499,1660981,,1660981,10660,1827184
oklahoma,93835406,28854603,21207352,136761028,3494398,499081,281157470,,,,45367139,11450,,45367139,,,,,,,,,,265732748,53512982,5454526,49932642,316551251,15722392,31289,443504,8391086,,,,112857857,15523651,509191,285229,378800239,4554112332,596450,596450,,7635,642065
oregon,45466221,27426608,32194385,82775342,1997791,712681,188575237,586668,172912,752128,834782,4506,9263,2355753,,,,,,,,,,516597766,50430206,8359305,278678046,328914684,19683608,161214,,1521121,,,,127911564,16759687,1720073,156258,300645511,5108984328,515834,515834,,9904,565586
pennsylvania,203395836,81057735,189656537,235122416,13124827,19409196,728641720,40362724,15398435,15653453,14076293,3354773,1632988,87123893,,,,,,,112575148,,,2172802470,32247086,22488500,962706964,2903365706,148687592,1248340,299509315,40481340,32549793,292342,3465802,446074720,59061940,2529987,418141,911729834,20245700594,1693569,,1693569,11954,1801971
rhode island,3885904,1318556,36618641,10813231,55178,213485,52849817,4800,324,,,,,5124,,,,,,,,,,16228425,17754,378968,36075200,53173465,1772072,3233,15845737,2385798,,32905302,114035,40942454,5810969,254690,165486,69594672,2065014269,134737,,134737,15326,147629
south carolina,101295070,39625648,32035217,154972903,9458722,1957536,329886374,178702,43668,30591,826164,19846,18673084,19752209,,,,,,,,,,691056281,205610030,89356613,358032301,382873808,26346548,177771,211089,49233171,,,240529,188914963,,1506506,,438992453,6014824332,656996,656996,,9155,712317
south dakota,18555716,5320738,6419545,23600921,1393778,262415,54159335,3067530,668448,574977,576091,137992,37389,4924435,,,,,,,,,,69610804,9038853,3112257,23449466,60777902,3161277,8048,,85882,,,,18534828,17293394,147334,413209,71704624,966170280,114723,,114723,8422,121606
tennessee,144647352,49719227,13960680,167441835,7463182,3591831,379360925,,,,,,,,,,,,,,,,,472070110,59069630,29986861,184077028,340906786,59633318,1071755,,,,,,219625567,59701595,1952147,999907,736566316,6803739374,891430,891430,,7632,964259
texas,685497174,195944733,143214839,989372407,25693725,18892795,2032921948,,,,,,,,,,,,,,,,,6946372832,352172118,398634061,2371688621,1651334572,270289139,997409,,35663199,,,49687,1096603849,237320686,6477559,4252565,2281671410,36751563779,4322975,4322975,,8501,4674832
utah,58501062,23637201,4826601,80931214,3226250,7515662,175411740,5224918,2430036,3722916,3265721,2577892,948538,15592129,,,,,,,,,,428529057,334988397,50716351,107178782,196115045,28555396,913289,71374420,,,,991346,53795772,9220088,922489,114775,253788775,3191146946,503562,,503562,6337,576244
vermont,10227809,3469151,8127982,13435748,393187,137211,35397901,304982,62849,15932,161675,17008,20211,565649,,,,,,,,,,56256495,711651,2286978,14118786,30045564,6559170,69826,,1921814,,,68082,26664094,4050390,458360,104780,52573425,1303591647,89880,,89880,14504,94038
virginia,168762416,67754060,31107138,204229275,5537901,3544651,475397540,730435,94280,375765,329673,33000,,1530153,,,,,,,,,,766348796,354203462,122966506,153034699,406999353,15079172,185237,,63060065,,,159798,230727470,,2382738,,518738186,12606928220,1150316,,1150316,10960,1230857
washington,92663638,46036349,32055645,144056904,2049207,957324,315769860,,,,,,125868204,125868204,,,,,,,,,,1448396002,113892134,142123758,407063113,628609271,52682382,654681,,5351927,,,,134327241,68642741,714430,1225242,525057878,8806481052,947791,947791,,9292,1030247
west virginia,56935836,34124134,2811349,68635554,2800230,54493,162561366,,,,,,,,,,,,,,,,,18716682,911374,41655,8591019,29518813,12985843,456047,136735,26540690,,,384386,68329586,33248805,837948,678400,132759423,2709202415,267989,267989,,10109,282535
wisconsin,88026675,48566362,48209875,144507130,4189463,545833,329855875,,,22315,77437,,500,100252,,,,,,,161441130,,,451847948,30078176,21336518,672937336,406517686,95384771,2410357,25660609,67577,,,893284,196606098,21885583,2254044,330340,458305031,8907828611,823754,,823754,10814,867929
wyoming,12939228,5816115,1755684,15977448,433706,27907,36516382,58707,13666,146395,142336,146351,21488,382592,,,,,,,,,,245345522,16103773,5385577,2663134,12640000,6391428,978291,,360557,,286267,37025,19970356,8582289,352219,110291,46601198,1145134977,79788,,79788,14352,86009
