STNAME,2007_E3A11,2007_E3A12,2007_E3A13,2007_E3A14,2007_E3A2,2007_E3A16,2007_E3A1,2007_E3B11,2007_E3B12,2007_E3B13,2007_E3B14,2007_E3B2,2007_E3B16,2007_E3B1,2007_E4A1,2007_E4A2,2007_E4B1,2007_E4B2,2007_E4C1,2007_E4C2,2007_E4D,2007_E4E1,2007_E4E2,2007_E61,2007_E62,2007_E63,2007_E7A1,2007_E7A2,2007_E81,2007_E82,2007_E9A,2007_E9B,2007_E9C,2007_E9D,2007_E91,2007_X12C,2007_X12D,2007_X12E,2007_X12F,2007_TX12,2007_NCE13,2007_ADA,2007_A14A,2007_A14B,2007_PPE15,2007_MEMBR
georgia,253711045,56851769,27945497,368186522,9587855,6441436,713136269,4962990,367964,4704000,21825657,1063905,10148434,42009045,,,,,,,,,,1776914359,174249447,92675945,164221532,547486488,32162976,401674,,4261773,,,15331,346608151,56530466,2663504,557847,891032211,13937682777,1542305,1542305,,9037,1629157
hawaii,38480681,13851088,3148108,33709746,62217,46496,89236119,,,,,,,,,,,,,,130192,,,72118043,8088094,1811719,99642560,124637039,50698842,4036325,,11817560,,,173596,34775127,23642358,378181,,80050509,1965147618,165415,,165415,11880,180728
idaho,27778352,12159901,3701415,39425206,1597391,37516,83102390,,,74035,4486,327,,78521,,,,,,,,,,223552325,28572807,36090767,50154948,113023110,4132257,2930,,191650,,,198,49761648,,509904,,88332505,1689158612,251278,251278,,6722,267380
illinois,185682094,60244967,164290623,246873962,6935292,436031,657527677,,,,,,,,,,,,,,,,,1345019081,154522192,70445647,595621165,1005233280,127504759,1484790,,25238497,,,120991,499548641,19617924,7126433,2698404,1022210337,19304380479,1879288,1879288,,10272,2118276
indiana,136132879,52275916,13993323,204612710,4851834,1884990,408899818,,,,,,,,,,,,,,,,,520381276,59997297,140422877,447322874,712691227,21123096,634983,775436,37178646,,,446754,184340352,,1723488,,486838915,9010238522,976373,,976373,9228,1045940
iowa,66533410,20104225,5020693,101149721,4436218,257099,193065148,2573308,582211,262939,2051185,21319,6811,5476454,,,,,,,,,,511555129,14990431,24710447,79655214,249908824,20945356,281808,4692354,1512201,,,8535,61639792,1374372,809838,20038,200093273,4031839223,481528,,481528,8373,481368
kansas,70975495,19185324,3907128,98205394,4296603,2441284,194714625,,,,,,,,,,,,,,,,,172148281,20567547,6436922,145238540,223643913,833952,92662,,3927915,,,59340,83222582,9212570,1257662,1133693,211959759,4127517434,422142,,422142,9778,469506
kentucky,111025626,41962870,11036680,143459323,7842215,546286,308030785,8247728,2507274,171453,1184084,135195,107493,12218032,,,,,,,,,,548322431,31782726,18645711,130676425,176096571,66169444,584999,1337211,13831956,,,345535,118814893,74670767,679144,825789,308772188,5115848692,583102,,583102,8774,683152
louisiana,126711352,59294595,16768447,138197343,9517972,2632814,343604551,57346,28870,2729,,,13104,102049,,,,,,,,,,455336339,43206124,8811417,102404597,198716373,8031255,96750,35639269,13077978,,,90467,174917308,129267321,543611,1495248,370090564,5670277912,625916,,625916,9059,675851
maine,27374539,9653108,4673647,31348939,1796554,538987,73589220,,,,,,,,,,,,,,,,,50786784,3251635,2722234,44429071,86376155,935773,23403,631551,22493407,,,180614,60346969,,487183,39961,104291556,2154472451,178870,178870,,12045,193986
maryland,106648274,45451684,10898292,117065084,5193461,1663523,281726857,37451,,98628745,69131140,293481,,167797336,,,,,,,,,,1001204269,6829685,75898632,124730204,196719240,18030063,524755,,6841696,,,4413,177637348,,1996413,,500870232,9709432718,795473,795473,,12206,851640
massachusetts,120120373,42820884,2364039,201131397,75784,7033914,373470607,,,,,,,,,,,,,,,,,521421023,60118945,31384291,286413658,444584446,36421211,7977,9860296,4835742,,,,187745295,,1502098,,389351764,11994094991,933697,,933697,12846,968661
michigan,144975972,68246807,93528721,218759560,7016325,4397738,529908798,,,,,,,,,,,,,,,,,1222555108,140954344,170488270,811948089,953833891,269833668,1985229,,76065698,,,389632,375424924,69743683,4337561,921642,787866568,16225392301,1556297,1556297,,10426,1722656
minnesota,109759845,31246171,30511098,167336746,7678561,595610,339449470,8289431,2508890,13569164,214331,3502860,402377,24984193,,,,,,,,,,793479077,91484075,44219241,439914119,509323632,313140454,2618513,15029435,48307782,,,400120,120047136,,2001117,,426666166,7633744312,791417,791417,,9646,840565
mississippi,65039419,34261466,6254963,112245789,5828388,261375,218063012,,,,346470,,375,346845,,,,,,,5313300,,,138893313,13158874,5999044,70527158,230159031,20412292,322523,,3821829,,,70863,174244671,,45093805,,333903893,3358454597,462251,462251,,7265,495026
missouri,98019846,30781331,70233646,150235640,9376390,7306386,356576849,,,,,,,,,,,,,,,,,647228602,21751321,33898729,286825333,633714710,138953162,1246835,,35753652,,,741984,151639738,29106236,930826,665328,530110978,7427593680,858821,858821,,8649,899426
montana,17135925,6437044,7596583,21399642,460660,140201,52709395,1149364,325932,286472,148210,10259,15260,1925238,,,,,,,,,,71778935,12770554,1161228,13148041,28116585,2095745,30790,23663,5100186,,,66514,41071833,3612436,979816,145422,102231462,1217880697,128872,128872,,9450,143624
nebraska,39424965,9254802,11246395,49924139,1628623,1088389,110938690,405441,42649,16213741,32164532,593844,30874858,79701221,,,,,,,,,,212305425,24477729,27204383,66398565,95399303,2254160,81021,,530941,,,,47761251,,576112,867704,192229475,2633378091,263800,263800,,9982,280647
nevada,36630795,12988121,3283298,59136448,1699785,2313624,114352286,,,,,,,,,,,,,,,,,610244085,42543404,12303287,208515570,266656591,644139,,,22146150,,,963709,73519043,,2148246,,205244001,3106226961,395536,,395536,7853,424766
new hampshire,22822586,5835537,7186383,28952601,1102152,109247,64906354,,,,,,,,,,,,,,,,,148950100,18752272,8549037,52042734,96518977,1240060,30159,251735,4457518,,,561834,29371241,,,,79561337,2167130360,198004,198004,,10945,203572
new jersey,186099587,41770896,36366017,225116541,5648998,11981986,501335027,38727485,9436138,47180692,80010590,11008828,10222483,185577388,,,,,,,,,,1659445897,146314381,12095440,354663396,436602046,11834340,425360,117696410,68325776,,,592727,226535147,,367637,,739437642,21708824283,1348279,1348279,,16101,1388850
new mexico,37164653,14258936,14838838,54187081,919159,79958,120529466,544458,133392,452497,324064,,,1454411,,,,,,,,,,316386642,552372,1437060,171335,477500,2701262,,,,,,,85444818,25821686,783359,278231,162405928,2742067709,327244,327244,,8379,328220
new york,381612372,65346199,126411197,368235648,13549482,21955471,963560887,,,,,,,,,,,,,,,,,2438370124,24890658,144790408,1098293049,1955689827,137357513,863724,419600788,250309868,,1025981401,7798430,1071213814,73684586,,5003782,1505251673,42174656314,2542259,2542259,,16589,2809649
north carolina,216478598,68053324,18881862,280084712,1682601,17195749,600694245,,,,,,,,,,,,,,,,,1085960919,105128234,211264661,66984816,90018392,49644720,353514,,120440,,,154,220121580,79597253,334773,3275171,568435512,10679900557,1343357,1343357,,7950,1427880
north dakota,14749658,2870854,1120457,25234590,572071,524225,44499784,1891613,459469,5255662,14163300,1516472,4484373,26254417,,,,,,,,,,59825343,2734080,661309,12220114,15599182,3779178,874008,,2249055,,,8727,37288138,,3844063,,86175402,752045727,91078,,91078,8257,96670
ohio,210077841,101643283,45951593,238553001,7343912,3062830,599288548,75,14,28423,1396097,3179,71054,1495663,,,,,,,,,,2169319083,25321003,5225811,446105473,1018418763,201024749,13501201,137772968,77760948,,36600509,13382686,431993114,17099346,8732166,617246,1148408101,17102952593,1691206,,1691206,10113,1836722
oklahoma,91259054,27482429,18855022,130198066,3713747,735812,268530383,,,,44566582,33546,,44566582,,,,,,,,,,303628882,41375069,4719219,49071483,297073528,4792603,13211,637747,8643787,,,,124701793,20109128,505235,899668,389915676,4360620192,596172,596172,,7314,639391
oregon,44078078,26048121,30077792,76669887,1917092,618357,177492235,459355,137620,647631,760051,828,8637,2013294,,,,,,,,,,212407680,40817530,1781267,221154403,323024854,18173533,140026,,1529629,,,,126549299,22366170,1637366,563442,296059544,4743572880,516258,516258,,9188,562574
pennsylvania,199258196,79849707,173193138,220877444,12819141,23296526,696475011,35783162,22478718,14702803,13146315,3245364,6563480,92674478,,,,,,,108152095,,,2255587157,23827903,10613341,898590565,1377502216,122411133,1416744,281125519,38132245,31352424,218676,3329653,424954891,56995061,3265964,489427,904857894,19499445681,1701044,,1701044,11463,1871060
rhode island,3784945,1792707,37217170,8639278,136090,910357,52344457,,,,,,,,,,,,,,,,,28534062,192033,69630,35006537,50886515,1390135,5187,15464333,2320987,,33059550,178634,39251158,6461443,248691,276882,69284932,1970347996,138993,,138993,14176,151612
south carolina,96080914,35660271,27596803,142372038,8638348,1415145,303125171,129982,35407,39948,1009567,2970,18334842,19549746,,,,,,,,,,995826792,110637825,76758479,321334548,416247167,23476448,96366,146821,45259452,,,439992,179907421,,1342507,,425930333,5597112979,652803,652803,,8574,708021
south dakota,17631529,5087109,5921628,21654164,1751883,224763,50519193,2782559,637278,574433,509698,42435,45544,4549512,,,,,,,,,,63636233,7336932,1832517,20654594,38627705,2956522,23568,,117884,,,,16178886,18728973,7013,721650,69507278,907498843,114863,,114863,7901,121158
tennessee,134640991,45977830,14693558,150619437,10836177,3194456,349126272,,,,,,,,,,,,,,,,,404795259,35289340,11499031,161196269,305455447,53062830,967845,,,,,,210476737,71314720,2891973,965796,725680435,6249418480,889312,889312,,7027,978368
texas,636918599,191113490,135683174,889035422,30410082,15764205,1868514890,,,,,,,,,,,,,,,,,5524024121,337328974,343585070,2112629774,1419835116,279282285,653751,,37245841,,,33007,1108665039,243150065,3574825,6671646,2250522398,33855261106,4255963,4255963,,7955,4599509
utah,53970586,21730788,4581273,73334972,4231367,7056897,160674516,6521363,2800272,3318228,4037815,716247,234594,16912272,,,,,,,,,,284168538,251805519,47440393,85262200,170801135,25759703,1046269,64103672,,,,669035,48985834,12487909,920349,548771,142229775,2845579792,488514,,488514,5825,523386
vermont,9963277,3371003,7727317,12709963,281886,147284,33918844,293598,56304,36811,96789,20246,365,483867,,,,,,,,,,44386625,1159306,2317533,15246563,29425709,6049308,123101,,1476056,,,8493,27318474,4048904,543851,95898,52198532,1247950406,91437,,91437,13648,95399
virginia,183807436,71769590,40389076,195050042,6331980,3746742,494762886,919933,175804,506946,441159,32968,,2043842,,,,,,,,,,817257476,289264999,131874003,172487320,399423694,15163336,164551,,61619671,,,280094,235441520,,3383345,,519834446,11946023854,1142342,,1142342,10457,1220440
washington,88643782,43563752,30417319,132189591,2439073,1069016,295883460,,,,,,122922091,122922091,,,,,,,,,,1300211486,99073222,135608219,382500130,550077250,44614444,844319,,5340720,,,,123510321,59683428,719052,1503540,504096988,8247910493,947857,947857,,8702,1026774
west virginia,54656086,33954525,2297938,63252581,1250992,31650,154192780,,,,,,,,,,,,,,,,,15044336,5330615,,11520941,31414609,12490641,,56763,24608808,,,231893,73640194,36252622,701017,1153056,140598676,2601745273,272045,272045,,9564,281939
wisconsin,85285939,46409486,44453857,132889510,3840031,488426,309527218,,,32080,59014,,500,91594,,,,,,,147536189,,,260646014,35982820,20976565,636297802,404830737,88611637,2527915,22235166,73277,,,874559,158925106,16082645,1983344,754159,417104910,8612555575,835072,,835072,10314,870584
wyoming,11663871,5147861,1710026,14320295,374638,27013,32869066,313485,79729,163171,138998,803976,8817,704200,,,,,,,,,,187783535,13282875,3927258,3202606,17378675,8440891,2633862,,239841,,98599,24105,21295992,7332026,300444,303885,46408959,1078154911,79090,,79090,13632,84770
