STNAME,2007_E3A11,2007_E3A12,2007_E3A13,2007_E3A14,2007_E3A2,2007_E3A16,2007_E3A1,2007_E3B11,2007_E3B12,2007_E3B13,2007_E3B14,2007_E3B2,2007_E3B16,2007_E3B1,2007_E4A1,2007_E4A2,2007_E4B1,2007_E4B2,2007_E4C1,2007_E4C2,2007_E4D,2007_E4E1,2007_E4E2,2007_E61,2007_E62,2007_E63,2007_E7A1,2007_E7A2,2007_E81,2007_E82,2007_E9A,2007_E9B,2007_E9C,2007_E9D,2007_E91,2007_X12C,2007_X12D,2007_X12E,2007_X12F,2007_TX12,2007_NCE13,2007_ADA,2007_A14A,2007_A14B,2007_PPE15,2007_MEMBR
alabama,137483273,89477388,8805250,175727560,9845741,247364,411740835,,,,,,,,,,,,,,,,,533363047,68253443,988212,139486155,175509018,4672889,17730,2990259,51998697,,77592935,78455,163317409,18915190,3018178,,492466089,5752565053,714302,,714302,8053,743632
alaska,16618449,8459064,1000434,21155696,446550,,47233643,586873,252122,3211235,2399689,191028,169658,6619577,,,,,,,,,,185113759,37983670,17971439,39693527,48126348,6971684,102502,,782052,,,,40752907,1339065,1914033,54091,63888138,1570428060,120988,120988,,12980,132608
arizona,103137811,30487218,58811910,144060255,19083795,8936766,345433960,,,,,,,,,,,,,,,,,1038746045,92757411,11443302,226989974,586322217,51326788,1909432,,1969382,,,,274417974,,3648934,,518890857,7296829426,972404,972404,,7504,1068249
arkansas,77430661,22432551,4999642,103117273,2219805,178648,208158775,2750,210,1255695,447776,375,6055,1712486,,,,,,,,,,226187093,194080621,7680280,106925359,90989338,12070888,90244,,13827919,,,101515,119080788,,1055746,,263055584,3734645032,436804,436804,,8550,476409
california,712905952,266627043,64453044,1011684686,14980541,226778,2055897503,62310271,26148485,21881283,10957144,1827345,287638,121584821,,,,,,,,,,8484075869,1126218812,129290221,1615806768,1679355205,450189758,595798,,671894728,,,1875111,1843988241,285680759,2096523,16338720,2743176425,54609422591,6351774,6351774,,8598,6406750
colorado,72386848,19676641,12322113,106410969,6180115,1118233,211914804,19321046,4647447,2925021,2634902,945462,369254,29897670,,,,,,,,,,802947463,101793592,31646902,344908158,666512477,34402079,148287,,19084034,,,184231,154841117,1195572,1830064,140497,468089840,6110963138,722168,722168,,8462,794026
connecticut,64473389,29513495,16771355,85567999,3251999,1775984,198102222,41948342,9448238,10127588,5710874,1049064,1596601,68831643,,,,,,,21881328,,,895496702,102878922,46901821,153836280,292541833,50294395,1871025,29407084,38654499,,,,79760016,27285762,502201,763351,228406941,7627051584,555428,,555428,13732,575100
delaware,22853466,6295039,3112896,29427606,1473945,809764,62498771,,,,,,,,,,,,,,2996438,,,229444607,11237123,453915,31319397,61358456,187588,6742,496477,12676895,,,,20790983,13572434,706090,770387,53969444,1383737438,113992,,113992,12139,122254
district of columbia,9044411,2189699,363135,11616346,255470,,23213591,,,,,,,,,,,,,,,,,172626727,19832180,9041360,,,19260039,1833201,,,,,,71393086,8268049,766085,160972,88175584,1041830277,61799,61799,,16858,72850
florida,313600342,145527138,72335036,448013829,10008487,21943797,1001420142,,,,,,,,,,,,,,,,,4734245573,427049459,646167021,729492476,913016454,227999398,1663576,,269754225,,,15921055,550726552,81450013,7242864,2793489,1580257039,21306766748,2527431,2527431,,8430,2671513
