STNAME,2009_E3A11,2009_E3A12,2009_E3A13,2009_E3A14,2009_E3A2,2009_E3A16,2009_E3A1,2009_E3B11,2009_E3B12,2009_E3B13,2009_E3B14,2009_E3B2,2009_E3B16,2009_E3B1,2009_E4A1,2009_E4A2,2009_E4B1,2009_E4B2,2009_E4C1,2009_E4C2,2009_E4D,2009_E4E1,2009_E4E2,2009_E61,2009_E62,2009_E63,2009_E7A1,2009_E7A2,2009_E81,2009_E82,2009_E9A,2009_E9B,2009_E9C,2009_E9D,2009_E91,2009_X12C,2009_X12D,2009_X12E,2009_X12F,2009_TX12,2009_NCE13,2009_ADA,2009_A14A,2009_A14B,2009_PPE15,2009_MEMBR
louisiana,149575137,64592337,24070018,152838425,4346463,2166907,393242824,161045,41662,8848,2931,,9236,223722,,,,,,,,,,678725889,63622459,9124663,109096596,286678983,8498194,41546,32409307,13951802,,,51055,228784940,126775119,,697633,424453599,6852197645,637764,,637764,10744,684873
maine,32573600,11772228,3322831,35713345,775262,468002,83850006,48095,4974,1897,509,2976,,55475,,,,,,,,,,113163761,4449722,3827676,44536659,84851161,5230540,32070,287853,22357144,5115,,245688,61751687,,,9861,106039200,2244408127,173357,173357,,12947,192935
maryland,114169178,47967652,9903622,130877437,3542833,2058507,304976396,56990,,84001367,75961033,,,160019390,,,,,,,,,,816202058,2993922,68996523,147544080,225685009,19702658,529905,,5335302,,,38808,175657103,,846416,,482075535,11109889668,793333,793333,,14004,843861
massachusetts,120962020,30263749,23669312,163105623,190004,26635113,364635817,,,,,,,,,,,,,,,,,544626228,183190479,54144671,279552201,528655399,53542876,27900,10686147,1475008,,,6337,215573059,6930743,2461,13413,427342818,13509753701,913976,,913976,14781,958910
michigan,141553026,65956034,106758592,244346164,7764496,5134285,563748101,,,,,,,,,,,,,,,,,965237508,140519419,118437957,871072392,992027244,273209443,2567489,,66011349,,,348072,462561501,,1903817,,789061440,16428522689,1498107,1498107,,10966,1659921
minnesota,115744036,42247377,37064869,177021737,3989010,514106,372592125,9584064,2827931,10612482,234101,7281496,467878,23726456,,,,,,,,,,899999603,97132566,66674313,424513644,622996720,354614958,3350102,15349825,52069545,,,516153,128308843,,410589,,454673571,8727607320,791427,791427,,11028,836048
mississippi,68657768,36112437,6820317,128848863,3676974,308213,240747598,,,,284834,9567,180,285014,,,,,,,5731316,,,173656505,23373995,10885552,72857678,213146516,18810168,308373,,3975994,,,58208,182783640,,43113683,,342073710,3625158693,460797,460797,,7867,491962
missouri,106592443,35176735,88846890,165025037,6894473,,395641105,,,,,,,,,,,,,,,,,822187733,21525768,41120464,314714247,711734986,159532827,1409739,,35907661,,,825642,175744526,24935089,48837,360254,557452897,8269771453,853580,853580,,9688,917871
montana,18304518,6634981,9205650,24852992,681853,208581,59206722,1654204,447115,233647,184462,14453,3477,2522905,,,,,,,,,,117152741,12932459,5364145,17945936,31770122,2728480,109924,18376,6289611,,,255159,43143528,2883639,691603,56433,106060460,1330001221,131982,131982,,10077,141899
nebraska,42085152,10591447,13613728,55940609,3725895,1106069,123337005,299468,28360,18610550,36644102,464970,28745418,84327898,,,,,,,,,,289191486,31056677,32867199,73045218,103343182,2459286,48191,,782806,,,,55095668,,373752,328814,209008585,2844566203,266536,266536,,10672,281544
nevada,39067259,15634387,3240983,57236530,2000965,2723056,117902215,,,,,,,,,,,,,,,,,559375641,40429630,10667413,288768818,414143296,1621087,,,20669974,,,24571,89728843,326938,1549067,26965,221540219,3384494985,406792,,406792,8320,433371
new hampshire,22929862,6687511,9561831,29019739,639711,113945,68312888,,,,,,,,,,,,,,,,,66614468,9702390,4518521,45591427,103170648,1341878,15158,720645,5162032,,,87036,35031181,,,,85267382,2405355124,192890,192890,,12470,197934
new jersey,187938218,40466958,45824148,237144688,6209189,13974575,525348587,54446257,13266093,66330466,112485414,15477108,14371601,260899831,,,,,,,,,,1293283009,19899800,10248490,656562298,646562298,13561058,265606,114463352,74356292,,,,279588147,,301989,,841577137,22605334001,1342419,1342419,,16839,1381420
new mexico,40309367,16439977,16713519,57870850,845265,166648,131500361,614106,149535,498931,342879,,,1605451,,,,,,,,,,695708394,8822804,855017,138455,510000,4228861,256250,,,,,,99407773,15240869,34749,67000,168084845,3018167585,327562,327562,,9214,330245
new york,405835531,66749409,129896348,389765466,12552248,30522161,1022768915,,,,,,,,,,,,,,,,,2274093672,82770162,149709188,1119014820,1888826046,138683077,1375898,440504297,293817795,,1230034008,9609048,1122147753,43576497,,1111923,1527835145,47107527894,2510519,2510519,,18764,2740592
north carolina,245712883,77734400,27666065,303515460,12513856,24359108,678987916,,,,,,,,,,,,,,,,,1236165332,70603802,71255885,6967451,28916024,71750142,224757,,863922,,,,352485631,99563924,328862,41175,736226411,11862155902,1374267,1374267,,8632,1488645
north dakota,15939748,3229181,1347508,28530037,692215,726508,49772982,2902708,477467,5804729,13304389,1476905,5541734,28031027,,,,,,,,,,52130352,8174396,2064339,13093085,22537179,5254874,7696,,3874158,,,46004,37294954,,2277741,,87150835,841376934,91816,,91816,9164,94728
ohio,215893107,103558169,57404595,264798503,6228572,3653820,645308194,2341,4602,86512,1308944,535901,136015,1538414,,,,,,,,,,2072291769,113071680,5144470,477630527,1160957442,208849134,12794485,146045860,77368117,,10379148,14010278,545841030,13500249,5977100,707001,1257917059,18129400590,1628515,,1628515,11132,1817163
oklahoma,96990868,30910323,19784267,149949159,3255526,753788,298388405,4669,496,47324,46457969,40495,52116,46562574,,,,,,,,,,331973668,56066234,9507940,55483894,356868305,5386322,79122,496102,6911389,,,,125698991,12304708,1,231713,393437068,4688625419,603375,603375,,7771,645108
oregon,46464478,28929953,33532204,79468935,1110563,591760,188987330,583775,173779,763991,655525,3378,11687,2188757,,,,,,,,,,735241097,12951003,11413107,268738870,363553671,21695553,395292,,1572253,,,4953,132805927,14998869,723534,309062,296024338,5233806660,518119,518119,,10102,575393
pennsylvania,211525284,80530924,202719676,243768575,13357406,19684775,758229234,43764422,15187233,16785670,16252345,3438279,1680251,93669921,,,,,,,112978027,,,2080905523,32425199,7933803,1101130778,3588627771,106688150,1275245,303728130,42870187,32838820,414181,3817017,530028064,57656086,334711,396230,988901718,20842914409,1680772,,1680772,12401,1775029
rhode island,3534578,1667144,38101058,8733786,367714,44615,52081181,3296,214,65117,57,,12412,81096,,,,,,,,,,11934685,1,489267,37741690,54600227,1503987,8271,14658000,2293759,,38590259,61156,49708484,6911352,122207,122207,78377974,2060939234,131963,,131963,15618,145342
south carolina,105463781,40604574,34585919,157015236,8782327,1708730,339378240,147415,39013,18893,868470,5059,17946157,19019948,,,,,,,,,,943856400,209094656,85154463,358780672,409693177,27167361,51592,332211,47309980,,,218589,188914963,,1506506,,437024953,6189738450,662231,662231,,9347,718113
south dakota,19713876,5641113,6557502,24605248,1411499,228457,56746196,3147816,684961,530918,544126,59134,34692,4942513,,,,,,,,,,108972303,11702688,2260389,22693549,60495460,3590411,10999,,39583,,,,23083352,15737888,,225720,75659318,1004394934,114209,,114209,8794,126429
tennessee,146736195,50146084,14039907,170291066,7943069,3870339,385083591,,,,,,,,,,,,,,,,,450083896,51069233,19243016,175242014,465656160,65621954,1756489,,,,,,226750040,81088505,853696,254732,752623587,7015439232,895335,895335,,7836,971950
texas,704665201,198767477,149332646,1045916286,27887647,18395378,2117076988,,,,,,,,,,,,,,,,,8152745903,368536499,383155108,2695608451,1810773560,270580373,1145733,,32598083,,,138115,1189237896,230791794,,1208888,2365242023,38322939358,4393893,4393893,,8722,4752148
utah,63045421,24927503,5084706,87501984,6823582,9557065,190116679,5741687,2563641,4493581,3842031,972868,1450779,18091719,,,,,,,,,,498312032,247735621,51962062,119520812,201409704,28226035,474015,76547413,,,,1268287,60566279,8240665,297113,141153,258154878,3380619888,513884,,513884,6579,550298
vermont,11308919,3892250,8580800,14603277,373524,134545,38519791,425790,128157,48335,122101,18091,796,725179,,,,,,,,,,34895547,438580,1950829,13308412,28978280,7438366,95691,,2680787,,,122251,29894960,2066802,143193,23766,55043440,1358285141,87931,,87931,15447,93625
virginia,179855422,70106294,30507253,210846426,6678531,4429939,495745334,714637,158819,313094,325079,319607,,1511629,,,,,,,,,,682794930,317914237,148056512,153974884,483005390,16390200,326306,,61210856,,,382599,225773142,,1004230,,517020844,12988269416,1154689,,1154689,11248,1235795
washington,96996354,49106893,37109258,140519103,2368675,998262,324729870,,,,,,121115608,121115608,,,,,,,,,,1448924129,129103102,130209006,418204124,697161241,50553518,675841,,6835519,,,,138889885,65061217,,1244560,517682815,9422642410,953719,953719,,9880,1037018
west virginia,59353328,34290374,3168665,71644264,2401725,103603,168560234,,,,,,,,,,,,,,,,,30108859,1771067,33945,12457811,30372589,13225761,90381,88010,27831352,,,211957,76813159,25919222,324109,678862,134048422,2864608222,269623,269623,,10624,282729
wisconsin,89733425,49473147,52333074,145940944,3509417,587822,338068412,,,19817,76960,,500,97277,,,,,,,168183914,,,429175523,20790675,26850064,506432205,423304961,107194673,2852458,25627070,17091,,,886852,217605354,13901491,259782,,473815948,9222412495,823595,,823595,11198,867035
wyoming,13787589,6361606,1869996,17109362,619968,27393,39155946,337824,74481,151655,146915,27902,14112,724987,,,,,,,,,,291087497,27506963,6603501,2459521,19201255,6553251,2486948,,315326,,420275,171576,23592229,7528602,2475,255342,50722316,1217684438,81006,,81006,15032,86709
