STNAME,2009_E3A11,2009_E3A12,2009_E3A13,2009_E3A14,2009_E3A2,2009_E3A16,2009_E3A1,2009_E3B11,2009_E3B12,2009_E3B13,2009_E3B14,2009_E3B2,2009_E3B16,2009_E3B1,2009_E4A1,2009_E4A2,2009_E4B1,2009_E4B2,2009_E4C1,2009_E4C2,2009_E4D,2009_E4E1,2009_E4E2,2009_E61,2009_E62,2009_E63,2009_E7A1,2009_E7A2,2009_E81,2009_E82,2009_E9A,2009_E9B,2009_E9C,2009_E9D,2009_E91,2009_X12C,2009_X12D,2009_X12E,2009_X12F,2009_TX12,2009_NCE13,2009_ADA,2009_A14A,2009_A14B,2009_PPE15,2009_MEMBR
alabama,147099193,96426640,9553397,195007438,9012202,289313,448375981,,,,,,,,,,,,,,,,,840542112,35492724,1216950,140620613,287969119,3556058,,2347106,53209557,,55894641,73718,190070673,15232367,,3414143,511893572,6171949738,712179,,712179,8666,745668
alaska,18038538,10086332,1100120,24076638,261765,53590,53355218,609279,261762,3047920,4735511,321630,324489,8978961,,,,,,,,,,202241622,71781215,13053051,40925998,53833959,7546438,99223,,419596,,,,47108596,73713,799521,132378,70891210,1936427828,119330,119330,,16228,130662
arizona,113707273,34977773,59541573,173188861,17429067,666304,382081784,46874991,,,,88927,877528,47752519,,,,,,,,,,921316860,96428545,7886302,585779013,231642142,51661585,1065373,,,,,,285219003,,2489284,,528610182,8198145231,999386,999386,,8203,1087817
arkansas,80330214,23484992,5646810,129831335,2131257,178662,239472013,16270,2725,1546600,2684127,13754,41371,4291093,,,,,,,,,,281648480,115475234,9117022,119908975,110710445,14320482,152283,,14181030,,,105330,137850945,,,,283356961,3957482520,439432,439432,,9006,478965
california,764859382,311523217,78556093,1081647005,18919951,199836,2236785533,80855814,34732942,20647466,11694078,1974040,251365,148181665,,,,,,,,,,7774882836,722148919,159280002,1898636874,2046700899,488677912,848612,,746376315,,,1309791,1620080439,267066740,6680407,2228027,2423825859,57657103460,6365278,6365278,,9058,6322528
colorado,82879620,23124670,13153222,123178507,5427584,1696352,244032371,24520422,5731502,4119532,3452253,1085897,1563468,39387177,,,,,,,,,,751003876,98926019,39720451,439863551,441944544,38108337,283691,,18157212,,,120868,153372612,1276370,439921,12717,483390306,6703876359,747845,747845,,8964,818443
connecticut,67949683,33082404,18219375,92788185,3293213,2998606,215038253,45605689,10573261,11469531,5884638,1512716,2278088,75811207,,,,,,,24797556,,,679752938,72999615,33996805,156445005,320384982,49557035,1022523,31985342,39746346,,,,86821634,32326773,,318609,245753341,8462540318,549776,,549776,15393,567198
delaware,22211188,6118122,3025410,28600567,1432521,787006,60742293,,,,,,,,,,,,,,2232137,,,245864270,4020202,1318705,46082709,90874615,212168,,4839776,13636386,,,,20641829,17712039,,,57126933,1461658949,119092,,119092,12273,125430
district of columbia,3782215,2357143,33065711,1997003,65710,184206,41386278,299689,47020,28640,1219161,839356,32135,1626645,,,,,,,,,,347947661,37366584,17402071,13253684,4779401,14855533,174498,,9864179,,34531,2675130,41848253,4933666,282333,261127,58173324,1294731452,68447,68447,,18916,68681
florida,310260947,151112536,74849293,464660395,3494003,26565479,1027448650,,,,,,,,,,,,,,,,,3481103878,290267426,647708619,835471439,938533125,232960452,968726,,277589616,,,8427589,580902463,99016700,,,1647367138,21680661085,2468060,2468060,,8784,2631020
georgia,276239308,60583096,35952174,415709025,10591603,7480300,795963903,5820771,467029,5350929,23769682,841773,11384616,46793027,,,,,,,,,,2333191169,96476370,96915047,260776093,557482569,31430493,56868,,5312725,,,,380422452,43828249,811695,425553,903977160,15072967379,1569767,1569767,,9602,1655792
hawaii,44957139,17526927,3291622,39017092,199557,30613,104823393,,,,,,,,,,,,,,582370,,,57915063,,492710,103059999,133836512,13027583,150998,,11451684,,169852,119217,42221475,31410867,,197467,98345160,2127092849,166118,,166118,12805,179478
idaho,30816553,13713853,4033054,48323045,1864548,13012,96899517,223307,70533,124948,10718,20171,,429506,,,,,,,,,,248403694,31804381,36557511,56158986,100447568,3943002,386888,,322963,,,1219,51238072,,94418,,89188155,1868552145,258712,258712,,7223,275051
illinois,201338397,69431401,183949604,277206065,4644253,663215,732588682,,,,,,,,,,,,,,,,,2090194820,224468935,6247719,728795758,1121920155,137763787,1106995,,27095142,458711,,164803,568377203,66923552,502039,235272,1145852119,22349418812,1881276,1881276,,11880,2117291
indiana,143572115,36909180,17834502,209430773,7137574,815944,408562514,,,,,,,,,,,,,,,,,385162755,230888342,102979432,317324505,742194848,108909232,410567,,33613834,,,788746,226928385,,10066719,,578395671,9102499397,973342,,973342,9352,1046147
iowa,71770891,22242624,5885552,111094140,4890856,273910,211267117,2480489,481572,274175,1403020,10796,20770,4660026,,,,,,,,,,533243407,9983612,32361042,81318083,338163310,21106939,242440,4813224,1586038,,,36424,72082858,1280632,306054,10639,220988060,4510475352,451403,,451403,9992,487559
kansas,75597542,22364237,4679079,114706998,2979656,1795947,219143803,,,,,,,,,,,,,,,,,211109991,23550983,3455172,168307991,336135360,1876366,208485,,2714952,,383928,22547,86869696,8706146,276995,558971,217246407,4589356965,418495,,418495,10966,471060
kentucky,117392819,50883704,11391515,164012835,6143042,549208,344230081,9060074,3180293,148005,876507,59628,94168,13359047,,,,,,,,,,545643563,36086931,21190709,151851946,217438637,69671202,433269,1468744,15595509,,,1327599,143882317,64775576,311886,125213,326671006,5560219251,585556,,585556,9496,670030
